id,nombre,lat,lon,provincia,tipo
abia-de-las-torres,Abia de las Torres,42.4202,-4.4213,Palencia,base
abiego,Abiego,42.1209,-0.0687,Huesca,base
abiegos,Abiegos,43.1948,-5.186,Asturias,aldea
abinzano,Abínzano,42.6641,-1.4503,Navarra,aldea
abio,Abió,38.55,-0.4512,Alicante,aldea
abion,Abión,41.5732,-2.2303,Soria,aldea
abioncillo,Abioncillo,41.7031,-2.8672,Soria,aldea
abizanda,Abizanda,42.2424,0.1972,Huesca,base
abla,Abla,37.1424,-2.7781,Almería,base
ablaneda,Ablaneda,43.2666,-6.5564,Asturias,aldea
ablanedo,Ablanedo,43.5212,-6.7834,Asturias,aldea
ablanque,Ablanque,40.8982,-2.2252,Guadalajara,base
ablitas,Ablitas,41.9745,-1.6405,Navarra,base
abornikano,Abornikano,42.9289,-2.8894,Araba,aldea
abragan,Abragán,42.8862,-7.4331,Lugo,aldea
abrantes,Abrantes,40.379,-3.7262,Madrid,base
abraveses-de-tera,Abraveses de Tera,41.993,-5.8951,Zamora,aldea
abrente,Abrente,42.9883,-6.9818,Lugo,aldea
abrera,Abrera,41.5168,1.901,Barcelona,base
abrucena,Abrucena,37.1323,-2.7971,Almería,base
abrucinos,Abruciños,42.4,-7.9333,Ourense,aldea
abusejo,Abusejo,40.709,-6.1407,Salamanca,base
abuzaderas,Abuzaderas,38.7502,-1.7807,Albacete,aldea
acacias,Acacias,40.4011,-3.7073,Madrid,base
acardece,Acardece,28.1382,-17.3127,Santa Cruz de Tenerife,aldea
acebedo,Acebedo,43.0397,-5.116,León,base
acebeiro,Acebeiro,42.6206,-8.3016,Pontevedra,aldea
acebes-del-paramo,Acebes del Páramo,42.4428,-5.844,León,aldea
acebo,Acebo,40.2011,-6.7169,Cáceres,base
aceboso,Aceboso,42.3,-7.25,Ourense,aldea
acebuchal,Acebuchal,36.8167,-3.95,Málaga,aldea
acebuche,Acebuche,38.8238,-2.0318,Albacete,aldea
acebuches,Acebuches,37.8833,-6.8,Huelva,aldea
aceca,Aceca,39.95,-3.85,Toledo,aldea
acedera,Acedera,39.0768,-5.5738,Badajoz,base
acedillo,Acedillo,42.5726,-3.8677,Burgos,aldea
acedo,Acedo,42.6663,-2.2499,Navarra,aldea
acedo-de-los-caballeros,Acedo de los Caballeros,43.0834,-5.8205,Asturias,aldea
acedre,Acedre,42.4485,-7.6429,Lugo,aldea
acehuche,Acehúche,39.7984,-6.6413,Cáceres,municipio
aceituna,Aceituna,40.1501,-6.3329,Cáceres,base
acellana,Acellana,43.3948,-6.2657,Asturias,aldea
acera-de-la-vega,Acera de la Vega,42.6155,-4.8174,Palencia,aldea
acered,Acered,41.1708,-1.604,Zaragoza,base
aces,Aces,43.4333,-6.0667,Asturias,aldea
aceuchal,Aceuchal,38.6463,-6.4864,Badajoz,base
aceveda,Aceveda,42.3314,-7.0557,Ourense,aldea
acevedo,Acevedo,43.5128,-6.9055,Asturias,aldea
acevedo-del-rio,Acevedo del Río,42.1519,-8.0158,Ourense,aldea
acojeja,Acojeja,28.195,-16.7662,Santa Cruz de Tenerife,aldea
acrijos,Acrijos,42.044,-2.17,Soria,aldea
acula,Ácula,37.084,-3.8075,Granada,aldea
acumuer,Acumuer,42.6209,-0.4068,Huesca,aldea
ada,Adá,42.6649,-7.8468,Lugo,aldea
