indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,region,dia_mas_frio,dia_mas_calido,desfase_invierno_dias,desfase_verano_dias,desfase_invierno_tmin,desfase_verano_tmin,desfase_invierno_tmax,desfase_verano_tmax,verano_termico_ini,verano_termico_fin,verano_termico_dias,invierno_termico_ini,invierno_termico_fin,invierno_termico_dias,cuartil_calido_ini,cuartil_calido_fin,amplitud_anual_c,tmed_min_c,tmed_max_c,fuente
1078I,GÜEÑES,BIZKAIA,208.0,43.2033,-3.1047,16.4,litoral,200-500,peninsula,18 de enero,24 de agosto,28,64,28,41,27,64,,,0,,,0,19 de junio,17 de septiembre,12.6,7.86,20.47,AEMET
C928I,VALVERDE,SANTA CRUZ DE TENERIFE,670.0,27.8108,-17.9194,2.9,litoral,500-800,canarias,8 de marzo,24 de agosto,77,64,77,65,77,63,,,0,,,0,17 de julio,15 de octubre,6.82,13.51,20.33,AEMET
C018J,TÍAS,LAS PALMAS,376.0,28.9697,-13.6903,5.5,litoral,200-500,canarias,23 de enero,21 de agosto,33,61,34,58,30,61,24 de julio,5 de octubre,74,,,0,16 de julio,14 de octubre,7.39,15.64,23.04,AEMET
C048W,TINAJO,LAS PALMAS,275.0,29.0425,-13.6808,4.2,litoral,200-500,canarias,25 de enero,21 de agosto,35,61,26,58,35,75,10 de agosto,11 de septiembre,33,,,0,22 de julio,20 de octubre,6.34,15.92,22.26,AEMET
C038N,HARÍA,LAS PALMAS,277.0,29.1436,-13.4892,2.7,litoral,200-500,canarias,23 de enero,20 de agosto,33,60,48,58,33,61,12 de julio,4 de octubre,85,,,0,9 de julio,7 de octubre,7.26,15.92,23.17,AEMET
C317B,AGULO,SANTA CRUZ DE TENERIFE,765.0,28.1789,-17.2131,1.3,litoral,500-800,canarias,25 de enero,20 de agosto,35,60,61,61,31,60,,,0,,,0,17 de julio,15 de octubre,7.07,13.93,21.0,AEMET
C457I,LA VICTORIA DE ACENTEJO,SANTA CRUZ DE TENERIFE,567.0,28.4344,-16.4544,1.8,litoral,500-800,canarias,25 de enero,20 de agosto,35,60,48,72,77,60,,,0,,,0,20 de julio,18 de octubre,6.07,14.12,20.19,AEMET
C939T,"FRONTERA, SABINOSA",SANTA CRUZ DE TENERIFE,20.0,27.7564,-18.1075,0.5,litoral,<200,canarias,7 de febrero,20 de agosto,48,60,52,60,81,56,4 de junio,9 de noviembre,159,,,0,13 de julio,11 de octubre,5.76,18.75,24.5,AEMET
6083X,MARBELLA,MALAGA,2.0,36.4833,-4.7403,0.7,litoral,<200,peninsula,21 de enero,19 de agosto,31,59,24,59,31,58,6 de junio,9 de octubre,126,,,0,24 de junio,22 de septiembre,11.73,14.47,26.2,AEMET
C459Z,PUERTO DE LA CRUZ,SANTA CRUZ DE TENERIFE,25.0,28.4181,-16.5483,0.9,litoral,<200,canarias,25 de enero,19 de agosto,35,59,34,58,35,76,2 de junio,11 de noviembre,163,,,0,17 de julio,15 de octubre,5.91,18.74,24.65,AEMET
C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14.0,28.9519,-13.6003,1.0,litoral,<200,canarias,16 de enero,18 de agosto,26,58,34,58,26,60,19 de mayo,6 de noviembre,172,,,0,6 de julio,4 de octubre,8.45,17.83,26.28,AEMET
C419X,ADEJE,SANTA CRUZ DE TENERIFE,130.0,28.0814,-16.7106,1.9,litoral,<200,canarias,24 de enero,18 de agosto,34,58,47,58,31,58,4 de junio,12 de noviembre,162,,,0,12 de julio,10 de octubre,6.38,18.65,25.03,AEMET
C447A,TENERIFE NORTE AEROPUERTO,SANTA CRUZ DE TENERIFE,632.0,28.4775,-16.3294,5.7,litoral,500-800,canarias,24 de enero,18 de agosto,34,58,61,58,32,60,7 de agosto,1 de septiembre,26,,,0,10 de julio,8 de octubre,8.52,13.93,22.45,AEMET
C839X,LA GRACIOSA,LAS PALMAS,19.0,29.2297,-13.5103,1.4,litoral,<200,canarias,23 de enero,18 de agosto,33,58,48,58,33,65,12 de junio,8 de noviembre,150,,,0,16 de julio,14 de octubre,5.99,18.4,24.39,AEMET
C019V,YAIZA PLAYA BLANCA,LAS PALMAS,6.0,28.8589,-13.835,0.5,litoral,<200,canarias,17 de enero,17 de agosto,27,57,47,58,26,61,11 de junio,2 de noviembre,145,,,0,10 de julio,8 de octubre,6.97,17.97,24.94,AEMET
C248E,ANTIGUA,LAS PALMAS,252.0,28.4169,-14.0192,9.9,litoral,200-500,canarias,17 de enero,17 de agosto,27,57,25,57,27,61,1 de julio,16 de octubre,108,,,0,8 de julio,6 de octubre,8.06,16.16,24.22,AEMET
C258K,LA OLIVA,LAS PALMAS,217.0,28.6125,-13.9317,9.1,litoral,200-500,canarias,24 de enero,17 de agosto,34,57,48,58,33,61,2 de julio,17 de octubre,108,,,0,10 de julio,8 de octubre,7.46,16.41,23.87,AEMET
C329Z,SAN SEBASTIÁN DE LA GOMERA,SANTA CRUZ DE TENERIFE,15.0,28.0897,-17.1114,0.1,litoral,<200,canarias,26 de enero,17 de agosto,36,57,42,66,36,57,23 de mayo,21 de noviembre,183,,,0,12 de julio,10 de octubre,7.04,19.04,26.08,AEMET
C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64.0,28.0469,-16.5611,1.9,litoral,<200,canarias,24 de enero,17 de agosto,34,57,48,65,26,57,23 de mayo,17 de noviembre,179,,,0,12 de julio,10 de octubre,7.09,18.87,25.96,AEMET
C449F,ANAGA,SANTA CRUZ DE TENERIFE,19.0,28.5081,-16.1956,0.5,litoral,<200,canarias,1 de febrero,17 de agosto,42,57,43,57,35,52,26 de mayo,10 de noviembre,169,,,0,7 de julio,5 de octubre,7.87,18.38,26.25,AEMET
C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24.0,27.9178,-15.3953,0.6,litoral,<200,canarias,24 de enero,17 de agosto,34,57,37,65,33,55,29 de mayo,12 de noviembre,168,,,0,9 de julio,7 de octubre,6.79,18.59,25.39,AEMET
2630X,PUERTO DE SAN ISIDRO,LEON,1510.0,43.0622,-5.3769,47.1,interior,>1200,peninsula,16 de enero,16 de agosto,26,56,31,56,27,52,,,0,5 de noviembre,21 de abril,168,11 de junio,9 de septiembre,13.83,1.23,15.07,AEMET
6076X,"MARBELLA, PUERTO",MALAGA,2.0,36.4844,-4.9531,0.9,litoral,<200,peninsula,15 de enero,16 de agosto,25,56,24,58,30,53,17 de junio,29 de septiembre,105,,,0,23 de junio,21 de septiembre,11.16,13.82,24.98,AEMET
C239N,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,1.0,28.2086,-14.0231,0.3,litoral,<200,canarias,16 de enero,16 de agosto,26,56,26,56,26,52,24 de mayo,5 de noviembre,166,,,0,3 de julio,1 de octubre,8.43,17.93,26.36,AEMET
C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25.0,28.4447,-13.8631,0.6,litoral,<200,canarias,24 de enero,16 de agosto,34,56,48,58,33,55,26 de mayo,5 de noviembre,164,,,0,5 de julio,3 de octubre,7.01,18.15,25.16,AEMET
C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",LAS PALMAS,41.0,27.8125,-15.4531,0.4,litoral,<200,canarias,25 de enero,16 de agosto,35,56,41,65,29,52,27 de mayo,11 de noviembre,169,,,0,6 de julio,4 de octubre,7.73,18.44,26.17,AEMET
C229J,PÁJARA,LAS PALMAS,15.0,28.0492,-14.3581,0.8,litoral,<200,canarias,18 de enero,15 de agosto,28,55,36,65,25,51,18 de mayo,23 de noviembre,190,,,0,11 de julio,9 de octubre,7.23,19.15,26.38,AEMET
C419L,LOMO DEL BALO,SANTA CRUZ DE TENERIFE,403.0,28.2069,-16.7919,3.3,litoral,200-500,canarias,7 de marzo,15 de agosto,76,55,77,58,26,55,4 de julio,16 de octubre,105,,,0,9 de julio,7 de octubre,6.99,17.13,24.12,AEMET
C639M,"MASPALOMAS, C. INSULAR TURISMO",LAS PALMAS,45.0,27.7581,-15.5756,0.6,litoral,<200,canarias,22 de enero,15 de agosto,32,55,43,56,26,55,16 de mayo,15 de noviembre,184,,,0,6 de julio,4 de octubre,7.35,18.74,26.09,AEMET
C668V,AGAETE - SUERTE ALTA,LAS PALMAS,352.0,28.0944,-15.675,2.5,litoral,200-500,canarias,22 de enero,15 de agosto,32,55,82,65,31,54,7 de julio,16 de octubre,102,,,0,10 de julio,8 de octubre,7.77,16.55,24.32,AEMET
1109,SANTANDER AEROPUERTO,CANTABRIA,3.0,43.4239,-3.8256,5.5,litoral,<200,peninsula,15 de enero,14 de agosto,25,54,21,41,27,54,,,0,,,0,23 de junio,21 de septiembre,11.55,9.83,21.38,AEMET
6058I,ESTEPONA,MALAGA,19.0,36.4169,-5.155,1.4,litoral,<200,peninsula,14 de enero,14 de agosto,24,54,24,54,20,42,29 de mayo,8 de octubre,133,,,0,19 de junio,17 de septiembre,12.77,13.86,26.64,AEMET
6084X,FUENGIROLA,MALAGA,8.0,36.5386,-4.6183,0.2,litoral,<200,peninsula,21 de enero,14 de agosto,31,54,31,57,31,39,7 de junio,3 de octubre,119,,,0,23 de junio,21 de septiembre,11.87,14.16,26.03,AEMET
6205X,TORROX,MALAGA,3.0,36.7264,-3.9572,0.5,litoral,<200,peninsula,14 de enero,14 de agosto,24,54,23,54,24,53,5 de junio,3 de octubre,121,,,0,22 de junio,20 de septiembre,11.96,13.98,25.93,AEMET
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250.0,43.3064,-2.0411,0.4,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,26,41,25,53,,,0,,,0,20 de junio,18 de septiembre,11.89,8.43,20.32,AEMET
1025A,SEGURA,GIPUZKOA,255.0,43.0156,-2.2567,31.0,interior,200-500,peninsula,15 de enero,13 de agosto,25,53,21,41,25,53,,,0,,,0,14 de junio,12 de septiembre,14.77,7.11,21.88,AEMET
1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255.0,43.0547,-2.2319,26.4,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,21,41,25,53,,,0,,,0,13 de junio,11 de septiembre,14.37,7.14,21.5,AEMET
1026X,ORDIZIA,GIPUZKOA,290.0,43.0581,-2.1842,25.8,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,24,41,25,53,,,0,,,0,18 de junio,14 de septiembre,14.09,7.25,21.34,AEMET
1037Y,ZUMARRAGA,GIPUZKOA,431.0,43.08,-2.3175,24.5,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,25,41,25,53,,,0,8 de enero,21 de enero,14,19 de junio,12 de septiembre,14.43,5.73,20.16,AEMET
1044X,"ARAMAIO, ETXAGUEN",ARABA/ALAVA,617.0,43.0578,-2.5897,31.6,interior,500-800,peninsula,15 de enero,13 de agosto,25,53,25,41,27,53,,,0,7 de enero,25 de enero,19,19 de junio,12 de septiembre,13.76,5.67,19.43,AEMET
1048X,ARETXABALETA,GIPUZKOA,308.0,43.025,-2.4658,31.6,interior,200-500,peninsula,14 de enero,13 de agosto,24,53,21,41,23,57,,,0,,,0,14 de junio,12 de septiembre,14.37,6.45,20.81,AEMET
1049N,ELGETA,GIPUZKOA,470.0,43.1383,-2.4958,20.6,litoral,200-500,peninsula,13 de enero,13 de agosto,23,53,24,41,22,53,,,0,,,0,19 de junio,15 de septiembre,13.51,6.41,19.92,AEMET
1050J,ELGOIBAR,GIPUZKOA,119.0,43.2092,-2.4133,10.7,litoral,<200,peninsula,14 de enero,13 de agosto,24,53,21,41,25,64,,,0,,,0,22 de junio,20 de septiembre,12.23,8.11,20.34,AEMET
1052A,MUTRIKU,GIPUZKOA,150.0,43.3172,-2.3972,0.8,litoral,<200,peninsula,17 de enero,13 de agosto,27,53,26,52,27,53,,,0,,,0,22 de junio,20 de septiembre,11.71,9.51,21.22,AEMET
1069Y,"ABADIÑO, URKIOLA",BIZKAIA,747.0,43.0992,-2.6442,29.6,litoral,500-800,peninsula,15 de enero,13 de agosto,25,53,25,40,25,53,,,0,26 de diciembre,2 de febrero,39,18 de junio,13 de septiembre,13.77,4.68,18.45,AEMET
1083B,SOPUERTA,BIZKAIA,177.0,43.2797,-3.1686,7.8,litoral,<200,peninsula,15 de enero,13 de agosto,25,53,24,41,25,53,,,0,,,0,20 de junio,18 de septiembre,12.16,8.88,21.04,AEMET
1083L,CASTRO URDIALES,CANTABRIA,45.0,43.3947,-3.2339,0.6,litoral,<200,peninsula,15 de enero,13 de agosto,25,53,24,52,27,53,,,0,,,0,23 de junio,21 de septiembre,10.93,10.36,21.29,AEMET
1096X,"BARCENA DE CICERO, TRETO",CANTABRIA,10.0,43.3967,-3.4697,3.5,litoral,<200,peninsula,14 de enero,13 de agosto,24,53,21,41,27,53,,,0,,,0,20 de junio,18 de septiembre,11.36,9.19,20.55,AEMET
1111,SANTANDER,CANTABRIA,52.0,43.4911,-3.8006,0.9,litoral,<200,peninsula,17 de enero,13 de agosto,27,53,30,52,27,53,,,0,,,0,26 de junio,24 de septiembre,10.32,10.38,20.71,AEMET
1111X,SANTANDER,CANTABRIA,51.0,43.4911,-3.8006,0.9,litoral,<200,peninsula,20 de enero,13 de agosto,30,53,30,52,28,53,,,0,,,0,23 de junio,21 de septiembre,10.28,10.54,20.82,AEMET
1154H,"TORRELAVEGA, SIERRAPANDO",CANTABRIA,110.0,43.3586,-4.0275,7.9,litoral,<200,peninsula,21 de enero,13 de agosto,31,53,21,41,31,53,,,0,,,0,21 de junio,19 de septiembre,11.12,9.49,20.61,AEMET
1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100.0,43.1439,-4.8128,29.7,litoral,800-1200,peninsula,21 de enero,13 de agosto,31,53,31,52,25,53,,,0,29 de diciembre,3 de febrero,37,12 de junio,10 de septiembre,13.57,4.85,18.42,AEMET
1176A,TRESVISO,CANTABRIA,940.0,43.2558,-4.6683,15.4,litoral,800-1200,peninsula,21 de enero,13 de agosto,31,53,34,53,27,53,,,0,,,0,21 de junio,19 de septiembre,11.46,6.16,17.62,AEMET
1179B,CABRALES,ASTURIAS,458.0,43.3111,-4.8528,13.1,litoral,200-500,peninsula,16 de enero,13 de agosto,26,53,26,40,26,53,,,0,,,0,19 de junio,16 de septiembre,11.89,8.09,19.97,AEMET
1186P,"AMIEVA, PANIZALES",ASTURIAS,370.0,43.2667,-5.1192,21.6,litoral,200-500,peninsula,15 de enero,13 de agosto,25,53,20,39,25,53,,,0,,,0,19 de junio,17 de septiembre,11.82,8.35,20.18,AEMET
