indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,n_veranos,anio_ini,anio_fin,noches_posibles,nivel_partida,nivel_final,cambio_absoluto,pendiente_noches_anio,ic95_inf,ic95_sup,ic95_excluye_cero,r2,error_std,cerca_del_techo,posible_inhomogeneidad,salto_max_veranos,serie,fuente
3254Y,MORA,TOLEDO,717.0,39.6869,-3.7806,296.9,interior,500-800,10,2017,2026,81,27.33,42.67,15.33,2.6061,0.5511,4.661,si,0.5167,0.8911,no,no,23.0,2017:32;2018:20;2019:30;2020:29;2021:20;2022:43;2023:44;2024:31;2025:44;2026:53,AEMET
5270B,JAÉN,JAEN,580.0,37.7775,-3.8092,114.3,interior,500-800,10,2017,2026,81,43.33,58.67,15.33,2.0364,-0.4825,4.5553,no,0.3029,1.0923,no,si,-32.0,2017:62;2018:30;2019:38;2020:47;2021:46;2022:52;2023:57;2024:49;2025:65;2026:62,AEMET
5279X,LINARES,JAEN,515.0,38.1511,-3.6294,155.8,interior,500-800,9,2017,2025,81,39.0,54.33,15.33,2.0667,-1.2297,5.3631,no,0.239,1.3938,no,si,-31.0,2017:58;2018:27;2019:32;2020:48;2021:46;2022:53;2023:55;2024:46;2025:62,AEMET
5412X,PRIEGO DE CÓRDOBA,CORDOBA,550.0,37.4847,-4.2078,82.5,interior,500-800,10,2017,2026,81,14.0,29.33,15.33,1.8242,-0.2777,3.9262,no,0.3336,0.9115,no,no,21.0,2017:26;2018:12;2019:4;2020:25;2021:15;2022:22;2023:29;2024:24;2025:38;2026:26,AEMET
5726X,GUADALCANAL,SEVILLA,720.0,38.0994,-5.8192,99.9,interior,500-800,9,2018,2026,81,16.0,31.33,15.33,2.8167,1.0973,4.536,si,0.682,0.727,no,si,20.0,2018:12;2019:15;2020:21;2021:9;2022:29;2023:30;2024:29;2025:35;2026:30,AEMET
9574B,"CASPE, PLANA DEL PILÓN",ZARAGOZA,215.0,41.2425,-0.0686,82.0,interior,200-500,8,2019,2026,81,28.33,43.67,15.33,2.9167,-0.2483,6.0817,no,0.4587,1.2934,no,no,16.0,2019:37;2020:25;2021:23;2022:39;2023:34;2024:33;2025:41;2026:57,AEMET
4497X,VILLANUEVA DEL FRESNO,BADAJOZ,247.0,38.3722,-7.1581,22.7,litoral,200-500,9,2017,2026,81,8.67,23.67,15.0,2.1208,0.3043,3.9374,si,0.5213,0.7681,no,no,18.0,2017:13;2018:8;2019:5;2020:15;2021:5;2022:22;2024:14;2025:32;2026:25,AEMET
6281X,VÁLOR,GRANADA,1020.0,37.0053,-3.0714,27.6,litoral,800-1200,10,2017,2026,81,33.0,48.0,15.0,2.3455,0.2808,4.4101,si,0.4617,0.8953,no,no,20.0,2017:40;2018:28;2019:31;2020:34;2021:26;2022:46;2023:42;2024:34;2025:53;2026:57,AEMET
6375X,FUENTE DE PIEDRA,MALAGA,420.0,37.1322,-4.7419,54.5,interior,200-500,10,2017,2026,81,12.67,27.67,15.0,1.9212,-0.1491,3.9915,no,0.364,0.8978,no,no,20.0,2017:19;2018:14;2019:5;2020:25;2021:19;2022:35;2023:25;2024:19;2025:38;2026:26,AEMET
0120X,MOIÀ,BARCELONA,742.0,41.8133,2.0953,40.8,interior,500-800,10,2017,2026,81,7.0,21.67,14.67,2.297,0.6972,3.8967,si,0.5781,0.6937,no,no,13.0,2017:7;2018:5;2019:9;2020:4;2021:5;2022:18;2023:8;2024:12;2025:20;2026:33,AEMET
5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA,750.0,38.3331,-4.6089,179.3,interior,500-800,9,2017,2026,81,16.67,31.33,14.67,1.7583,-0.6955,4.2122,no,0.2909,1.0376,no,no,20.0,2017:28;2018:10;2019:12;2020:32;2021:13;2022:31;2024:25;2025:39;2026:30,AEMET
5996B,BARBATE,CADIZ,4.0,36.1847,-5.9094,0.6,litoral,<200,10,2017,2026,81,36.67,51.33,14.67,1.9333,-0.422,4.2887,no,0.3093,1.0214,no,no,-23.0,2017:51;2018:28;2019:31;2020:42;2021:30;2022:47;2023:48;2024:43;2025:60;2026:51,AEMET
8025,ALACANT/ALICANTE,ALICANTE,81.0,38.3725,-0.4942,2.8,litoral,<200,10,2017,2026,81,54.67,69.33,14.67,2.1394,1.2271,3.0517,si,0.7852,0.3956,no,no,11.0,2017:56;2018:53;2019:55;2020:58;2021:54;2022:61;2023:66;2024:63;2025:74;2026:71,AEMET
9898,"HUESCA, AEROPUERTO",HUESCA,546.0,42.0844,-0.3256,158.7,interior,500-800,10,2017,2026,81,12.0,26.67,14.67,2.4485,0.4274,4.4696,si,0.4938,0.8765,no,no,23.0,2017:11;2018:9;2019:16;2020:10;2021:4;2022:27;2023:15;2024:16;2025:24;2026:40,AEMET
B103B,ANDRATX - SANT ELM,BALEARES,52.0,39.5794,2.3689,1.9,litoral,<200,9,2018,2026,81,25.67,40.33,14.67,2.4833,0.253,4.7137,si,0.4976,0.9431,no,no,13.0,2018:32;2019:28;2020:17;2021:24;2022:37;2023:45;2024:34;2025:42;2026:45,AEMET
B760X,POLLENÇA,BALEARES,45.0,39.8769,3.0242,4.2,litoral,<200,10,2017,2026,81,35.33,50.0,14.67,2.6,0.436,4.764,si,0.4897,0.9384,no,no,23.0,2017:41;2018:27;2019:38;2020:31;2021:29;2022:52;2023:53;2024:42;2025:47;2026:61,AEMET
C329B,"LA GOMERA, AEROPUERTO",SANTA CRUZ DE TENERIFE,219.0,28.0317,-17.2108,0.9,litoral,200-500,9,2017,2026,81,22.33,37.0,14.67,2.4667,-1.2693,6.2027,no,0.2583,1.5797,no,no,35.0,2017:37;2018:12;2019:18;2021:28;2022:30;2023:65;2024:30;2025:37;2026:44,AEMET
C629X,"MOGÁN, PUERTO",LAS PALMAS,10.0,27.8164,-15.7642,0.6,litoral,<200,10,2017,2026,81,41.0,55.67,14.67,1.8182,-1.5052,5.1416,no,0.1659,1.4412,no,no,28.0,2017:50;2018:27;2019:46;2020:74;2021:52;2022:53;2023:73;2024:52;2025:62;2026:53,AEMET
5983X,MEDINA SIDONIA,CADIZ,70.0,36.4061,-5.9203,21.3,litoral,<200,10,2017,2026,81,19.33,33.67,14.33,1.8,-0.5537,4.1537,no,0.2799,1.0207,no,no,24.0,2017:31;2018:15;2019:12;2020:31;2021:23;2022:38;2023:28;2024:21;2025:45;2026:35,AEMET
7007Y,MAZARRÓN,MURCIA,66.0,37.5881,-1.2306,0.9,litoral,<200,9,2018,2026,81,55.67,70.0,14.33,2.2333,0.906,3.5606,si,0.6935,0.5612,no,no,10.0,2018:59;2019:58;2020:50;2021:60;2022:62;2023:66;2024:64;2025:74;2026:72,AEMET
7218Y,TOTANA,MURCIA,281.0,37.7586,-1.5128,26.8,litoral,200-500,8,2019,2026,81,48.0,62.33,14.33,2.6667,0.2944,5.0389,si,0.5577,0.9694,no,no,16.0,2019:53;2020:48;2021:43;2022:59;2023:64;2024:54;2025:67;2026:66,AEMET
9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249.0,41.6606,-1.0042,172.7,interior,200-500,10,2017,2026,81,31.67,46.0,14.33,2.2788,-0.0082,4.5658,no,0.3976,0.9918,no,no,20.0,2017:33;2018:27;2019:35;2020:29;2021:24;2022:44;2023:28;2024:33;2025:45;2026:60,AEMET
9573X,ALCAÑIZ,TERUEL,334.0,41.0581,-0.1417,78.7,interior,200-500,10,2017,2026,81,5.67,20.0,14.33,2.2667,0.8414,3.692,si,0.627,0.6181,no,si,19.0,2017:5;2018:7;2019:5;2020:2;2021:0;2022:19;2023:12;2024:15;2025:18;2026:27,AEMET
0411X,CASTELLÓ D'EMPÚRIES,GIRONA,2.0,42.2247,3.0931,2.2,litoral,<200,9,2017,2026,81,16.67,30.67,14.0,2.0703,1.532,2.6086,si,0.922,0.2276,no,si,11.0,2017:15;2018:17;2019:18;2020:17;2022:28;2023:25;2024:28;2025:30;2026:34,AEMET
3386A,NAVALVILLAR DE IBOR,CACERES,923.0,39.5917,-5.3917,205.6,interior,800-1200,10,2017,2026,81,17.67,31.67,14.0,1.6061,-0.4915,3.7037,no,0.2804,0.9096,no,no,20.0,2017:27;2018:11;2019:15;2020:33;2021:14;2022:34;2023:22;2024:27;2025:37;2026:31,AEMET
4075Y,VILLARES DEL SAZ,CUENCA,870.0,39.8403,-2.5033,190.0,interior,800-1200,9,2017,2026,81,8.33,22.33,14.0,2.1735,0.9312,3.4159,si,0.7098,0.5253,no,no,14.0,2017:11;2018:6;2019:8;2020:12;2021:8;2022:22;2023:15;2025:28;2026:24,AEMET
4245X,GUADALUPE,CACERES,660.0,39.4553,-5.3333,198.2,interior,500-800,10,2017,2026,81,12.67,26.67,14.0,1.7879,0.0585,3.5172,si,0.4154,0.7499,no,no,18.0,2017:19;2018:10;2019:9;2020:24;2021:10;2022:28;2023:21;2024:20;2025:34;2026:26,AEMET
5733X,ALMADÉN DE LA PLATA,SEVILLA,450.0,37.7911,-6.075,84.9,interior,200-500,10,2017,2026,81,18.33,32.33,14.0,1.7758,-0.2686,3.8202,no,0.334,0.8866,no,no,18.0,2017:29;2018:12;2019:14;2020:32;2021:14;2022:31;2023:30;2024:25;2025:38;2026:34,AEMET
5973,CÁDIZ,CADIZ,2.0,36.4997,-6.2578,1.1,litoral,<200,10,2017,2026,81,55.67,69.67,14.0,1.9091,-0.7859,4.604,no,0.2501,1.1687,no,no,-29.0,2017:75;2018:46;2019:46;2020:62;2021:60;2022:63;2023:76;2024:59;2025:74;2026:76,AEMET
9294E,"BARDENAS REALES, BASE AÉREA",NAVARRA,295.0,42.1986,-1.4753,123.8,interior,200-500,10,2017,2026,81,10.67,24.67,14.0,2.1152,0.1746,4.0557,si,0.4412,0.8415,no,no,19.0,2017:6;2018:10;2019:16;2020:13;2021:8;2022:22;2023:6;2024:17;2025:19;2026:38,AEMET
9729X,MOLLERUSSA,LLEIDA,252.0,41.6169,0.8667,62.5,interior,200-500,9,2017,2026,81,12.33,26.33,14.0,2.4405,0.5132,4.3679,si,0.5616,0.815,no,no,18.0,2017:15;2018:10;2019:12;2020:6;2022:17;2023:29;2024:17;2025:22;2026:40,AEMET
9908X,LANAJA,HUESCA,380.0,41.7739,-0.3331,135.0,interior,200-500,10,2017,2026,81,14.0,28.0,14.0,2.4182,0.3046,4.5318,si,0.4653,0.9166,no,no,27.0,2017:11;2018:12;2019:19;2020:11;2021:5;2022:32;2023:17;2024:16;2025:30;2026:38,AEMET
C258K,LA OLIVA,LAS PALMAS,217.0,28.6125,-13.9317,9.1,litoral,200-500,10,2017,2026,81,5.33,19.33,14.0,2.3818,0.4398,4.3238,si,0.5,0.8421,no,no,19.0,2017:11;2018:3;2019:2;2020:5;2021:5;2022:10;2023:29;2024:10;2025:18;2026:30,AEMET
C459Z,PUERTO DE LA CRUZ,SANTA CRUZ DE TENERIFE,25.0,28.4181,-16.5483,0.9,litoral,<200,9,2017,2025,81,50.33,64.33,14.0,1.1667,-2.9915,5.3248,no,0.0592,1.7582,no,no,30.0,2017:65;2018:43;2019:43;2020:73;2021:44;2022:52;2023:77;2024:52;2025:64,AEMET
C648C,AGÜIMES,LAS PALMAS,306.0,27.9025,-15.4539,6.3,litoral,200-500,10,2017,2026,81,17.0,31.0,14.0,1.9576,0.6203,3.2948,si,0.5875,0.5799,no,no,-13.0,2017:24;2018:11;2019:16;2020:26;2021:23;2022:29;2023:31;2024:27;2025:27;2026:39,AEMET
C658L,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,269.0,28.075,-15.4508,3.1,litoral,200-500,10,2017,2026,81,6.67,20.67,14.0,2.2364,-0.0028,4.4755,no,0.3987,0.971,no,no,24.0,2017:15;2018:2;2019:3;2020:13;2021:6;2022:8;2023:32;2024:12;2025:18;2026:32,AEMET
1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,4.0,43.3569,-1.7922,0.4,litoral,<200,10,2017,2026,81,12.0,25.67,13.67,2.1333,-0.5995,4.8662,no,0.2883,1.1851,no,si,32.0,2017:6;2018:19;2019:11;2020:14;2021:5;2022:17;2023:7;2024:15;2025:15;2026:47,AEMET
1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4.0,43.3569,-1.7922,0.4,litoral,<200,10,2017,2026,81,15.33,29.0,13.67,1.9939,-0.8903,4.8782,no,0.2411,1.2508,no,no,31.0,2017:11;2018:24;2019:11;2020:15;2021:5;2022:25;2023:7;2024:24;2025:16;2026:47,AEMET
1057B,MATXITXAKO,BIZKAIA,93.0,43.4539,-2.7528,0.5,litoral,<200,9,2018,2026,81,7.33,21.0,13.67,2.55,-0.5595,5.6595,no,0.3495,1.3148,no,si,30.0,2018:9;2019:6;2020:7;2021:1;2022:14;2023:3;2024:11;2025:11;2026:41,AEMET
3191E,COLMENAR VIEJO,MADRID,1004.0,40.6961,-3.765,299.2,interior,800-1200,10,2017,2026,81,21.67,35.33,13.67,2.1515,-0.2873,4.5903,no,0.3409,1.0576,no,no,30.0,2017:31;2018:12;2019:22;2020:23;2021:12;2022:42;2023:29;2024:26;2025:35;2026:45,AEMET
3423I,MADRIGAL DE LA VERA,CACERES,464.0,40.1539,-5.3733,256.2,interior,200-500,10,2017,2026,81,20.33,34.0,13.67,1.5879,-0.9151,4.0909,no,0.2111,1.0854,no,no,29.0,2017:27;2018:17;2019:17;2020:37;2021:15;2022:44;2023:23;2024:28;2025:42;2026:32,AEMET
3455X,JARAICEJO,CACERES,559.0,39.67,-5.8083,190.9,interior,500-800,10,2017,2026,81,24.67,38.33,13.67,1.6606,-0.427,3.7482,no,0.2961,0.9053,no,no,23.0,2017:32;2018:24;2019:18;2020:36;2021:19;2022:42;2023:30;2024:32;2025:46;2026:37,AEMET
3514B,TORNAVACAS,CACERES,991.0,40.2586,-5.6783,253.5,interior,800-1200,10,2017,2026,81,12.33,26.0,13.67,1.5879,-0.4463,3.6221,no,0.2883,0.8821,no,no,21.0,2017:21;2018:7;2019:9;2020:23;2021:9;2022:30;2023:15;2024:22;2025:33;2026:23,AEMET
3565X,BROZAS,CACERES,425.0,39.6181,-6.745,157.8,interior,200-500,10,2017,2026,81,13.67,27.33,13.67,1.703,-0.4869,3.8929,no,0.2867,0.9497,no,no,23.0,2017:22;2018:11;2019:8;2020:24;2021:8;2022:31;2023:19;2024:19;2025:37;2026:26,AEMET
4347X,ZORITA,CACERES,413.0,39.2828,-5.7103,161.8,interior,200-500,10,2017,2026,81,25.33,39.0,13.67,1.6909,-1.1136,4.4954,no,0.1946,1.2162,no,no,29.0,2017:41;2018:19;2019:16;2020:34;2021:13;2022:42;2023:35;2024:33;2025:46;2026:38,AEMET
6143X,COÍN,MALAGA,230.0,36.6578,-4.7608,17.3,litoral,200-500,10,2017,2026,81,46.0,59.67,13.67,2.1152,0.1286,4.1017,si,0.4297,0.8615,no,no,18.0,2017:55;2018:38;2019:45;2020:48;2021:40;2022:55;2023:61;2024:49;2025:67;2026:63,AEMET
7012D,"CARTAGENA, TENTEGORRA",MURCIA,56.0,37.6044,-1.0233,2.2,litoral,<200,10,2017,2026,81,49.67,63.33,13.67,2.1273,-0.1091,4.3637,no,0.3756,0.9698,no,no,19.0,2017:54;2018:43;2019:52;2020:41;2021:41;2022:43;2023:53;2024:52;2025:71;2026:67,AEMET
8036Y,BENIDORM,ALICANTE,36.0,38.5436,-0.1378,1.5,litoral,<200,8,2017,2026,81,48.67,62.33,13.67,1.9722,0.4579,3.4865,si,0.6286,0.6188,no,no,13.0,2017:52;2018:46;2021:48;2022:52;2023:61;2024:54;2025:67;2026:66,AEMET
9911X,BALLOBAR,HUESCA,178.0,41.6194,0.1878,91.9,interior,<200,9,2017,2026,81,19.67,33.33,13.67,2.1054,0.2795,3.9314,si,0.5151,0.7721,no,no,16.0,2017:21;2018:18;2019:20;2020:18;2021:8;2023:24;2024:26;2025:34;2026:40,AEMET
0260X,FOGARS DE MONTCLÚS,BARCELONA,936.0,41.76,2.4311,21.7,litoral,800-1200,9,2017,2026,81,11.0,24.33,13.33,2.1375,-0.1469,4.4219,no,0.4116,0.9659,no,no,17.0,2017:10;2018:7;2019:16;2021:6;2022:23;2023:9;2024:11;2025:24;2026:38,AEMET
3337U,CEBREROS,AVILA,850.0,40.4675,-4.4558,325.0,interior,800-1200,10,2017,2026,81,13.67,27.0,13.33,1.8606,0.2577,3.4635,si,0.4725,0.6951,no,no,21.0,2017:19;2018:6;2019:16;2020:16;2021:8;2022:29;2023:20;2024:26;2025:29;2026:26,AEMET
3576X,VALENCIA DE ALCÁNTARA,CACERES,444.0,39.4147,-7.2311,135.4,interior,200-500,10,2017,2026,81,7.67,21.0,13.33,1.703,-0.347,3.7531,no,0.3145,0.889,no,no,22.0,2017:12;2018:5;2019:6;2020:16;2021:4;2022:22;2023:13;2024:13;2025:35;2026:15,AEMET
4007Y,OSSA DE MONTIEL,ALBACETE,905.0,38.9658,-2.745,198.4,interior,800-1200,10,2017,2026,81,6.0,19.33,13.33,1.703,0.6577,2.7484,si,0.6382,0.4533,no,no,-10.0,2017:10;2018:5;2019:3;2020:12;2021:11;2022:20;2023:10;2024:16;2025:20;2026:22,AEMET
7103Y,TOBARRA,ALBACETE,615.0,38.5881,-1.6894,103.9,interior,500-800,10,2017,2026,81,18.33,31.67,13.33,2.2061,0.1301,4.282,si,0.4288,0.9002,no,si,27.0,2017:24;2018:14;2019:17;2020:11;2021:18;2022:14;2023:41;2024:28;2025:33;2026:34,AEMET
7261X,ROJALES,ALICANTE,31.0,38.0881,-0.7153,6.5,litoral,<200,10,2017,2026,81,54.67,68.0,13.33,2.0242,0.8135,3.235,si,0.6501,0.5251,no,si,13.0,2017:56;2018:53;2019:55;2020:52;2021:51;2022:58;2023:61;2024:60;2025:73;2026:71,AEMET
9901X,HUESCA,HUESCA,463.0,42.1389,-0.395,167.0,interior,200-500,10,2017,2026,81,24.67,38.0,13.33,2.1515,-0.3181,4.6212,no,0.3353,1.071,no,no,25.0,2017:26;2018:20;2019:28;2020:23;2021:11;2022:36;2023:21;2024:24;2025:40;2026:50,AEMET
1041A,ZUMAIA,GIPUZKOA,28.0,43.3022,-2.2511,0.3,litoral,<200,8,2017,2026,81,6.33,19.33,13.0,3.2563,0.0683,6.4443,si,0.5101,1.3028,no,si,39.0,2017:4;2018:8;2019:7;2020:8;2021:2;2022:11;2023:4;2026:43,AEMET
3436D,GARGANTA LA OLLA,CACERES,690.0,40.1111,-5.7847,234.8,interior,500-800,10,2017,2026,81,23.0,36.0,13.0,1.7636,-0.2783,3.8056,no,0.3315,0.8855,no,no,22.0,2017:33;2018:14;2019:22;2020:31;2021:22;2022:44;2023:33;2024:30;2025:42;2026:36,AEMET
3469A,CÁCERES,CACERES,394.0,39.4714,-6.3389,150.5,interior,200-500,10,2017,2026,81,23.67,36.67,13.0,1.7273,-0.547,4.0015,no,0.2771,0.9862,no,no,28.0,2017:34;2018:16;2019:21;2020:32;2021:13;2022:41;2023:30;2024:31;2025:40;2026:39,AEMET
5514,GRANADA BASE AÉREA,GRANADA,687.0,37.1372,-3.6314,43.1,interior,500-800,10,2017,2026,81,10.33,23.33,13.0,1.7697,0.4763,3.0631,si,0.5545,0.5609,no,si,-13.0,2017:19;2018:6;2019:6;2020:12;2021:10;2022:16;2023:21;2024:20;2025:24;2026:26,AEMET
5788X,"TOMARES, ZAUDÍN",SEVILLA,84.0,37.3617,-6.0597,58.7,interior,<200,8,2019,2026,81,24.0,37.0,13.0,2.7857,-0.8672,6.4386,no,0.3672,1.4928,no,no,26.0,2019:13;2020:39;2021:20;2022:40;2023:35;2024:26;2025:44;2026:41,AEMET
6325O,ALMERÍA AEROPUERTO,ALMERIA,21.0,36.8464,-2.3569,0.8,litoral,<200,10,2017,2026,81,60.0,73.0,13.0,1.9091,0.2799,3.5382,si,0.4772,0.7065,no,si,-13.0,2017:69;2018:56;2019:55;2020:56;2021:61;2022:61;2023:70;2024:65;2025:75;2026:79,AEMET
9569A,CALANDA,TERUEL,466.0,40.9467,-0.2378,77.6,interior,200-500,10,2017,2026,81,22.0,35.0,13.0,2.2848,0.1505,4.4192,si,0.4324,0.9256,no,no,20.0,2017:23;2018:19;2019:24;2020:12;2021:13;2022:33;2023:24;2024:25;2025:32;2026:48,AEMET
C038N,HARÍA,LAS PALMAS,277.0,29.1436,-13.4892,2.7,litoral,200-500,10,2017,2026,81,4.33,17.33,13.0,1.9818,0.8293,3.1344,si,0.6628,0.4998,no,no,10.0,2017:9;2018:1;2019:3;2020:7;2021:9;2022:10;2023:18;2024:10;2025:16;2026:26,AEMET
C129Z,TAZACORTE,SANTA CRUZ DE TENERIFE,62.0,28.5958,-17.9153,0.7,litoral,<200,8,2017,2025,81,50.0,63.0,13.0,1.4135,-2.6132,5.4403,no,0.1095,1.6456,no,no,26.0,2017:61;2019:41;2020:48;2021:42;2022:47;2023:73;2024:52;2025:64,AEMET
3503,GUIJO DE GRANADILLA,CACERES,393.0,40.1894,-6.1675,230.7,interior,200-500,10,2017,2026,81,25.0,37.67,12.67,1.3939,-0.7858,3.5737,no,0.2137,0.9452,no,no,-21.0,2017:33;2018:24;2019:18;2020:36;2021:15;2022:27;2023:34;2024:37;2025:45;2026:31,AEMET
4499X,MONESTERIO,BADAJOZ,771.0,38.0814,-6.2719,60.4,interior,500-800,10,2017,2026,81,14.33,27.0,12.67,1.6788,-0.5118,3.8694,no,0.2808,0.95,no,no,25.0,2017:26;2018:7;2019:10;2020:21;2021:5;2022:30;2023:23;2024:22;2025:31;2026:28,AEMET
7096B,HELLÍN,ALBACETE,605.0,38.5419,-1.7031,102.8,interior,500-800,10,2017,2026,81,23.33,36.0,12.67,1.9152,-0.3863,4.2166,no,0.3152,0.998,no,no,17.0,2017:33;2018:17;2019:20;2020:10;2021:17;2022:19;2023:36;2024:38;2025:34;2026:36,AEMET
7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75.0,37.9578,-1.2286,40.5,interior,<200,10,2017,2026,81,48.67,61.33,12.67,2.0182,-0.2421,4.2784,no,0.3464,0.9802,no,no,14.0,2017:56;2018:46;2019:44;2020:32;2021:43;2022:44;2023:58;2024:57;2025:64;2026:63,AEMET
8050X,JÁVEA/ XÀBIA,ALICANTE,15.0,38.7842,0.1667,2.1,litoral,<200,10,2017,2026,81,38.67,51.33,12.67,1.7333,0.8017,2.665,si,0.697,0.404,no,si,-9.0,2017:44;2018:35;2019:37;2020:41;2021:41;2022:41;2023:49;2024:49;2025:51;2026:54,AEMET
9561X,CASTELLOTE,TERUEL,755.0,40.7983,-0.3153,75.3,interior,500-800,10,2017,2026,81,17.0,29.67,12.67,2.1333,0.4328,3.8339,si,0.5113,0.7375,no,no,20.0,2017:19;2018:10;2019:22;2020:13;2021:10;2022:30;2023:23;2024:23;2025:28;2026:38,AEMET
9718X,TORDERA - GRANYANELLA,LLEIDA,463.0,41.6811,1.2231,60.3,interior,200-500,9,2017,2026,81,19.33,32.0,12.67,2.5581,-0.297,5.4131,no,0.3908,1.2072,no,no,28.0,2017:21;2018:12;2019:25;2020:14;2021:9;2022:37;2023:31;2024:20;2026:45,AEMET
B780X,PORT DE POLLENÇA,BALEARES,2.0,39.9094,3.1003,1.2,litoral,<200,10,2017,2026,81,39.33,52.0,12.67,2.1455,0.3896,3.9013,si,0.4981,0.7614,no,si,21.0,2017:43;2018:39;2019:36;2020:37;2021:35;2022:56;2023:52;2024:43;2025:52;2026:61,AEMET
0284X,CASTELL D'ARO,GIRONA,14.0,41.8078,3.0308,2.5,litoral,<200,9,2017,2026,81,19.0,31.33,12.33,2.0574,0.0799,4.0348,si,0.4638,0.8361,no,si,23.0,2017:21;2018:17;2020:19;2021:7;2022:30;2023:30;2024:25;2025:31;2026:38,AEMET
3434X,NAVALMORAL DE LA MATA,CACERES,269.0,39.9458,-5.5825,227.1,interior,200-500,10,2017,2026,81,12.33,24.67,12.33,1.5394,0.0243,3.0545,si,0.407,0.657,no,no,-17.0,2017:12;2018:13;2019:12;2020:22;2021:5;2022:20;2023:16;2024:22;2025:31;2026:21,AEMET
3512X,MONTEHERMOSO,CACERES,351.0,40.0808,-6.3389,215.0,interior,200-500,10,2017,2026,81,13.67,26.0,12.33,1.2303,-0.8863,3.3469,no,0.1834,0.9179,no,no,-19.0,2017:21;2018:9;2019:11;2020:28;2021:9;2022:24;2023:11;2024:22;2025:34;2026:22,AEMET
3540X,ZARZA LA MAYOR,CACERES,336.0,39.8714,-6.86,185.0,interior,200-500,10,2017,2026,81,17.67,30.0,12.33,1.3939,-0.829,3.6169,no,0.2072,0.964,no,no,-18.0,2017:27;2018:15;2019:11;2020:28;2021:10;2022:28;2023:19;2024:22;2025:40;2026:28,AEMET
4121,CIUDAD REAL,CIUDAD REAL,626.0,38.9892,-3.9203,249.0,interior,500-800,10,2017,2026,81,34.67,47.0,12.33,1.9939,0.3144,3.6734,si,0.4837,0.7283,no,no,-18.0,2017:41;2018:23;2019:40;2020:33;2021:31;2022:43;2023:45;2024:40;2025:49;2026:52,AEMET
4501X,FUENTE DE CANTOS,BADAJOZ,602.0,38.2086,-6.3114,56.7,interior,500-800,10,2017,2026,81,17.67,30.0,12.33,1.297,-1.0209,3.6149,no,0.1723,1.0052,no,no,-21.0,2017:31;2018:10;2019:12;2020:31;2021:13;2022:32;2023:23;2024:27;2025:37;2026:26,AEMET
4589X,"ALOSNO, THARSIS",HUELVA,276.0,37.5978,-7.1194,29.7,litoral,200-500,10,2017,2026,81,10.33,22.67,12.33,1.5939,-0.1542,3.3421,no,0.3559,0.7581,no,no,17.0,2017:16;2018:10;2019:5;2020:20;2021:8;2022:25;2023:17;2024:14;2025:31;2026:23,AEMET
5835X,CARRIÓN DE LOS CÉSPEDES,SEVILLA,76.0,37.36,-6.3342,44.1,interior,<200,10,2017,2026,81,5.0,17.33,12.33,1.6788,0.2039,3.1537,si,0.4627,0.6396,no,no,16.0,2017:8;2018:3;2019:4;2020:16;2021:8;2022:13;2023:21;2024:11;2025:27;2026:14,AEMET
6272X,CASTELL DE FERRO,GRANADA,235.0,36.7342,-3.38,1.0,litoral,200-500,9,2017,2026,81,53.33,65.67,12.33,2.1471,-0.0455,4.3397,no,0.4338,0.9271,no,no,22.0,2017:57;2018:46;2020:57;2021:46;2022:63;2023:66;2024:53;2025:75;2026:69,AEMET
7012C,CARTAGENA,MURCIA,17.0,37.6011,-0.9878,2.4,litoral,<200,8,2018,2025,81,61.33,73.67,12.33,2.381,0.9564,3.8055,si,0.736,0.5822,no,no,9.0,2018:63;2019:59;2020:62;2021:71;2022:74;2023:72;2024:70;2025:79,AEMET
8416,VALÈNCIA,VALENCIA,13.0,39.4806,-0.3664,4.0,litoral,<200,10,2017,2026,81,59.0,71.33,12.33,1.9333,0.8204,3.0463,si,0.6673,0.4826,no,si,16.0,2017:58;2018:60;2019:59;2020:59;2021:55;2022:71;2023:67;2024:65;2025:75;2026:74,AEMET
B986,FORMENTERA,BALEARES,24.0,38.6936,1.4636,1.5,litoral,<200,10,2017,2026,81,53.33,65.67,12.33,1.9818,0.8735,3.0902,si,0.68,0.4806,no,si,15.0,2017:54;2018:51;2019:55;2020:51;2021:53;2022:61;2023:63;2024:57;2025:72;2026:68,AEMET
0421X,ESPOLLA,GIRONA,100.0,42.39,3.0061,7.1,litoral,<200,10,2017,2026,81,29.0,41.0,12.0,2.097,-0.1838,4.3777,no,0.3598,0.989,no,no,26.0,2017:24;2018:30;2019:33;2020:22;2021:15;2022:41;2023:26;2024:30;2025:44;2026:49,AEMET
3475X,CAÑAVERAL,CACERES,373.0,39.7906,-6.3764,183.1,interior,200-500,9,2017,2025,81,29.33,41.33,12.0,1.7333,-1.5183,4.985,no,0.185,1.3749,no,no,23.0,2017:45;2018:23;2019:20;2020:38;2021:23;2022:46;2023:37;2024:37;2025:50,AEMET
