indicativo_alta,nombre_alta,provincia_alta,altitud_alta_m,lat_alta,lon_alta,indicativo_baja,nombre_baja,provincia_baja,altitud_baja_m,lat_baja,lon_baja,distancia_km,delta_altitud_m,delta_tmin_c,gradiente_c_por_100m,veranos_comunes,anio_ini,anio_fin,tmin_alta_comun_c,tmin_baja_comun_c,tmin_alta_serie_c,tmin_baja_serie_c,dist_costa_baja_km,dist_costa_alta_km,grupo_altitud,grupo_costa,delta_esperado_c,anomalia_c,inversion_pura,fuente
1037X,LEGAZPI,GIPUZKOA,460.0,43.05166666666666,-2.3372222222222225,1025A,SEGURA,GIPUZKOA,255.0,43.01555555555556,-2.256666666666667,7.68,205.0,-0.847,-0.413,10,2017,2026,13.64,14.49,13.64,14.49,31.0,27.6,<400,interior,-0.718,-0.129,no,AEMET
1037Y,ZUMARRAGA,GIPUZKOA,431.0,43.080000000000005,-2.3175,1025A,SEGURA,GIPUZKOA,255.0,43.01555555555556,-2.256666666666667,8.71,176.0,-0.759,-0.431,10,2017,2026,13.73,14.49,13.73,14.49,31.0,24.5,<400,interior,-0.617,-0.142,no,AEMET
1037X,LEGAZPI,GIPUZKOA,460.0,43.05166666666666,-2.3372222222222225,1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255.0,43.05472222222222,-2.2319444444444447,8.56,205.0,-0.987,-0.481,10,2017,2026,13.64,14.63,13.64,14.63,26.4,27.6,<400,litoral,-0.718,-0.269,no,AEMET
1037Y,ZUMARRAGA,GIPUZKOA,431.0,43.080000000000005,-2.3175,1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255.0,43.05472222222222,-2.2319444444444447,7.5,176.0,-0.899,-0.511,10,2017,2026,13.73,14.63,13.73,14.63,26.4,24.5,<400,litoral,-0.617,-0.282,no,AEMET
1037X,LEGAZPI,GIPUZKOA,460.0,43.05166666666666,-2.3372222222222225,1026X,ORDIZIA,GIPUZKOA,290.0,43.058055555555555,-2.1841666666666666,12.46,170.0,-1.269,-0.747,10,2017,2026,13.64,14.91,13.64,14.91,25.8,27.6,<400,litoral,-0.596,-0.673,no,AEMET
1037Y,ZUMARRAGA,GIPUZKOA,431.0,43.080000000000005,-2.3175,1026X,ORDIZIA,GIPUZKOA,290.0,43.058055555555555,-2.1841666666666666,11.1,141.0,-1.181,-0.838,10,2017,2026,13.73,14.91,13.73,14.91,25.8,24.5,<400,litoral,-0.494,-0.687,no,AEMET
1026X,ORDIZIA,GIPUZKOA,290.0,43.058055555555555,-2.1841666666666666,1038X,AZPEITIA,GIPUZKOA,180.0,43.1725,-2.2672222222222222,14.4,110.0,-0.322,-0.293,10,2017,2026,14.91,15.23,14.91,15.23,14.2,25.8,<400,litoral,-0.385,0.063,no,AEMET
1037X,LEGAZPI,GIPUZKOA,460.0,43.05166666666666,-2.3372222222222225,1038X,AZPEITIA,GIPUZKOA,180.0,43.1725,-2.2672222222222222,14.59,280.0,-1.591,-0.568,10,2017,2026,13.64,15.23,13.64,15.23,14.2,27.6,<400,litoral,-0.981,-0.61,no,AEMET
1037X,LEGAZPI,GIPUZKOA,460.0,43.05166666666666,-2.3372222222222225,1048X,ARETXABALETA,GIPUZKOA,308.0,43.025,-2.4658333333333333,10.86,152.0,-0.331,-0.218,10,2017,2026,13.64,13.97,13.64,13.97,31.6,27.6,<400,interior,-0.533,0.202,no,AEMET
1037Y,ZUMARRAGA,GIPUZKOA,431.0,43.080000000000005,-2.3175,1038X,AZPEITIA,GIPUZKOA,180.0,43.1725,-2.2672222222222222,11.07,251.0,-1.503,-0.599,10,2017,2026,13.73,15.23,13.73,15.23,14.2,24.5,<400,litoral,-0.88,-0.623,no,AEMET
1037Y,ZUMARRAGA,GIPUZKOA,431.0,43.080000000000005,-2.3175,1048X,ARETXABALETA,GIPUZKOA,308.0,43.025,-2.4658333333333333,13.52,123.0,-0.243,-0.197,10,2017,2026,13.73,13.97,13.73,13.97,31.6,24.5,<400,interior,-0.431,0.188,no,AEMET
1038X,AZPEITIA,GIPUZKOA,180.0,43.1725,-2.2672222222222222,1041A,ZUMAIA,GIPUZKOA,28.0,43.30222222222222,-2.2511111111111113,14.48,152.0,-1.778,-1.17,8,2017,2026,15.31,17.09,15.23,17.09,0.3,14.2,<400,litoral,-0.533,-1.245,no,AEMET
1052A,MUTRIKU,GIPUZKOA,150.0,43.31722222222223,-2.397222222222222,1041A,ZUMAIA,GIPUZKOA,28.0,43.30222222222222,-2.2511111111111113,11.94,122.0,0.019,0.016,8,2017,2026,17.11,17.09,17.04,17.09,0.3,0.8,<400,litoral,-0.427,0.446,si,AEMET
1044X,"ARAMAIO, ETXAGUEN",ARABA/ALAVA,617.0,43.05777777777777,-2.5897222222222225,1048X,ARETXABALETA,GIPUZKOA,308.0,43.025,-2.4658333333333333,10.71,309.0,-0.564,-0.183,10,2017,2026,13.41,13.97,13.41,13.97,31.6,31.6,<400,interior,-1.083,0.519,no,AEMET
1044X,"ARAMAIO, ETXAGUEN",ARABA/ALAVA,617.0,43.05777777777777,-2.5897222222222225,1049N,ELGETA,GIPUZKOA,470.0,43.138333333333335,-2.4958333333333336,11.76,147.0,-0.57,-0.388,10,2017,2026,13.41,13.98,13.41,13.98,20.6,31.6,400-800,litoral,-0.515,-0.055,no,AEMET
1069Y,"ABADIÑO, URKIOLA",BIZKAIA,747.0,43.09916666666667,-2.6441666666666666,1044X,"ARAMAIO, ETXAGUEN",ARABA/ALAVA,617.0,43.05777777777777,-2.5897222222222225,6.38,130.0,-0.618,-0.476,10,2017,2026,12.79,13.41,12.79,13.41,31.6,29.6,400-800,interior,-0.456,-0.162,no,AEMET
1049N,ELGETA,GIPUZKOA,470.0,43.138333333333335,-2.4958333333333336,1048X,ARETXABALETA,GIPUZKOA,308.0,43.025,-2.4658333333333333,12.84,162.0,0.006,0.004,10,2017,2026,13.98,13.97,13.98,13.97,31.6,20.6,<400,interior,-0.568,0.574,si,AEMET
1049N,ELGETA,GIPUZKOA,470.0,43.138333333333335,-2.4958333333333336,1050J,ELGOIBAR,GIPUZKOA,119.0,43.20916666666667,-2.413333333333333,10.33,351.0,-0.794,-0.226,8,2017,2026,14.04,14.84,13.98,14.84,10.7,20.6,<400,litoral,-1.23,0.436,no,AEMET
1069Y,"ABADIÑO, URKIOLA",BIZKAIA,747.0,43.09916666666667,-2.6441666666666666,1049N,ELGETA,GIPUZKOA,470.0,43.138333333333335,-2.4958333333333336,12.8,277.0,-1.189,-0.429,10,2017,2026,12.79,13.98,12.79,13.98,20.6,29.6,400-800,litoral,-0.971,-0.218,no,AEMET
1052A,MUTRIKU,GIPUZKOA,150.0,43.31722222222223,-2.397222222222222,1055B,LEKEITIO,BIZKAIA,12.0,43.37694444444445,-2.5102777777777776,11.3,138.0,0.198,0.143,3,2017,2019,16.62,16.42,17.04,16.42,0.8,0.8,<400,litoral,-0.484,0.682,si,AEMET
1069Y,"ABADIÑO, URKIOLA",BIZKAIA,747.0,43.09916666666667,-2.6441666666666666,1074C,AMOREBIETA-ETXANO,BIZKAIA,100.0,43.20277777777778,-2.7061111111111114,12.57,647.0,-2.179,-0.337,10,2017,2026,12.79,14.97,12.79,14.97,21.5,29.6,<400,litoral,-2.267,0.088,no,AEMET
1083B,SOPUERTA,BIZKAIA,177.0,43.27972222222222,-3.168611111111111,1083L,CASTRO URDIALES,CANTABRIA,45.0,43.39472222222222,-3.233888888888889,13.83,132.0,-2.528,-1.915,8,2017,2026,14.49,17.02,14.43,17.02,0.6,7.8,<400,litoral,-0.463,-2.065,no,AEMET
1103X,SAN ROQUE DE RIOMIERA,CANTABRIA,849.0,43.2275,-3.721111111111111,1124E,VILLACARRIEDO,CANTABRIA,196.0,43.245555555555555,-3.8494444444444444,10.59,653.0,-1.837,-0.281,4,2023,2026,12.84,14.68,12.84,14.14,23.7,25.9,<400,litoral,-2.288,0.451,no,AEMET
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1910.0,43.155,-4.803055555555555,1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100.0,43.14388888888889,-4.812777777777778,1.47,810.0,-1.831,-0.226,4,2021,2026,8.99,10.82,8.99,10.73,29.7,28.3,>800,litoral,-2.838,1.007,no,AEMET
1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722.0,43.08916666666667,-4.773888888888889,1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100.0,43.14388888888889,-4.812777777777778,6.85,622.0,-1.003,-0.161,3,2024,2026,10.11,11.11,10.11,10.73,29.7,34.9,>800,litoral,-2.179,1.176,no,AEMET
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236.0,43.237500000000004,-4.736666666666666,1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100.0,43.14388888888889,-4.812777777777778,12.1,136.0,-0.254,-0.187,4,2021,2026,10.57,10.82,10.57,10.73,29.7,18.2,>800,litoral,-0.477,0.223,no,AEMET
1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100.0,43.14388888888889,-4.812777777777778,1178Y,"POSADA DE VALDEÓN, SOTO ",LEON,953.0,43.14527777777778,-4.931666666666667,9.65,147.0,0.493,0.336,10,2017,2026,10.73,10.23,10.73,10.23,32.6,29.7,>800,interior,-0.515,1.008,si,AEMET
