indicativo_alta,nombre_alta,provincia_alta,altitud_alta_m,lat_alta,lon_alta,indicativo_baja,nombre_baja,provincia_baja,altitud_baja_m,lat_baja,lon_baja,distancia_km,delta_altitud_m,delta_tmin_c,gradiente_c_por_100m,veranos_comunes,anio_ini,anio_fin,tmin_alta_comun_c,tmin_baja_comun_c,tmin_alta_serie_c,tmin_baja_serie_c,dist_costa_baja_km,dist_costa_alta_km,grupo_altitud,grupo_costa,delta_esperado_c,anomalia_c,inversion_pura,fuente
3266A,PUERTO ALTO DEL LEÓN,MADRID,1530.0,40.70638888888889,-4.14138888888889,2471Y,SAN RAFAEL,SEGOVIA,1237.0,40.718611111111116,-4.211944444444445,6.1,293.0,0.372,0.127,9,2017,2026,12.38,12.01,12.4,12.01,297.0,298.4,>800,interior,-1.027,1.399,si,AEMET
2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,1960.0,40.355000000000004,-5.69,2828Y,BARCO DE AVILA,AVILA,1012.0,40.35527777777778,-5.519166666666667,14.48,948.0,0.665,0.07,6,2017,2026,10.82,10.15,10.82,9.92,269.2,262.7,>800,interior,-3.322,3.987,si,AEMET
2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,1960.0,40.355000000000004,-5.69,3514B,TORNAVACAS,CACERES,991.0,40.25861111111111,-5.678333333333334,10.76,969.0,-5.982,-0.617,6,2017,2026,10.82,16.8,10.82,16.38,253.5,262.7,>800,interior,-3.395,-2.587,no,AEMET
2737E,LAGUNAS DE SOMOZA,LEON,1020.0,42.3775,-6.196666666666667,2734D,ASTORGA,LEON,919.0,42.47666666666667,-6.0744444444444445,14.91,101.0,-1.197,-1.185,7,2018,2026,10.12,11.32,10.1,11.22,119.4,130.5,>800,interior,-0.354,-0.843,no,AEMET
2882D,PEÑAUSENDE,ZAMORA,1003.0,41.23888888888889,-5.8975,2885K,FRESNO DE SAYAGO,ZAMORA,804.0,41.30444444444444,-6.022222222222222,12.72,199.0,2.347,1.179,10,2017,2026,13.76,11.42,13.76,11.42,200.5,213.1,>800,interior,-0.697,3.044,si,AEMET
2930Y,NAVASFRÍAS,SALAMANCA,880.0,40.29666666666667,-6.812777777777778,3547X,VALVERDE DEL FRESNO,CACERES,450.0,40.20722222222223,-6.896111111111111,12.2,430.0,-8.554,-1.989,10,2017,2026,8.79,17.35,8.79,17.35,222.2,231.3,400-800,interior,-1.507,-7.047,no,AEMET
3111D,SOMOSIERRA,MADRID,1454.0,41.13583333333333,-3.5802777777777774,3110C,BUITRAGO DEL LOZOYA,MADRID,1030.0,41.00694444444444,-3.613888888888889,14.61,424.0,0.08,0.019,5,2017,2025,11.99,11.91,11.8,11.92,263.1,248.5,>800,interior,-1.486,1.566,si,AEMET
3266A,PUERTO ALTO DEL LEÓN,MADRID,1530.0,40.70638888888889,-4.14138888888889,3268C,ALPEDRETE,MADRID,924.0,40.65972222222222,-4.0175,11.66,606.0,-3.767,-0.622,10,2017,2026,12.4,16.16,12.4,16.16,303.9,298.4,>800,interior,-2.123,-1.644,no,AEMET
3298X,SAN PABLO DE LOS MONTES,TOLEDO,917.0,39.54694444444444,-4.350555555555555,3305Y,NAVAHERMOSA,TOLEDO,750.0,39.63055555555555,-4.476944444444444,14.27,167.0,-0.015,-0.009,5,2017,2025,17.29,17.3,17.29,17.62,267.3,271.0,400-800,interior,-0.585,0.57,no,AEMET
3423I,MADRIGAL DE LA VERA,CACERES,464.0,40.153888888888886,-5.373333333333333,3422D,CANDELEDA,AVILA,350.0,40.13916666666667,-5.311388888888889,5.51,114.0,1.597,1.401,10,2017,2026,17.94,16.34,17.94,16.34,257.8,256.2,<400,interior,-0.399,1.996,si,AEMET
3516X,PIORNAL,CACERES,1260.0,40.12083333333334,-5.8325,3436D,GARGANTA LA OLLA,CACERES,690.0,40.111111111111114,-5.784722222222222,4.2,570.0,-3.383,-0.594,10,2017,2026,14.68,18.06,14.68,18.06,234.8,234.0,400-800,interior,-1.997,-1.386,no,AEMET
4089A,ALBERCA DE ZANCARA,CUENCA,858.0,39.51694444444444,-2.4958333333333336,4090Y,SAN CLEMENTE,CUENCA,728.0,39.416666666666664,-2.4205555555555556,12.89,130.0,-0.284,-0.218,7,2019,2026,16.03,16.32,16.06,16.2,180.4,186.6,400-800,interior,-0.456,0.172,no,AEMET
4499X,MONESTERIO,BADAJOZ,771.0,38.081388888888895,-6.271944444444444,4501X,FUENTE DE CANTOS,BADAJOZ,602.0,38.20861111111111,-6.311388888888889,14.56,169.0,-0.525,-0.31,10,2017,2026,16.72,17.25,16.72,17.25,56.7,60.4,400-800,interior,-0.592,0.067,no,AEMET
4499X,MONESTERIO,BADAJOZ,771.0,38.081388888888895,-6.271944444444444,5769X,CALA,HUELVA,618.0,37.97361111111111,-6.322222222222222,12.77,153.0,-0.069,-0.045,10,2017,2026,16.72,16.79,16.72,16.79,58.5,60.4,400-800,interior,-0.536,0.467,no,AEMET
5103E,"CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2152.0,37.15833333333333,-3.2569444444444446,5103F,"CAMARATE, PARQUE NACIONAL SIERRA NEVADA",GRANADA,1534.0,37.191111111111105,-3.253888888888889,3.65,618.0,-3.697,-0.598,3,2024,2026,12.57,16.26,12.57,16.26,47.9,44.3,>800,interior,-2.165,-1.532,no,AEMET
5279X,LINARES,JAEN,515.0,38.151111111111106,-3.6294444444444447,5281X,BAILÉN,JAEN,345.0,38.09305555555556,-3.7824999999999998,14.86,170.0,-0.258,-0.152,8,2017,2025,20.15,20.41,20.03,20.62,149.3,155.8,<400,interior,-0.596,0.338,no,AEMET
5515D,VÍZNAR,GRANADA,1258.0,37.23694444444445,-3.5505555555555555,5514,GRANADA BASE AÉREA,GRANADA,687.0,37.13722222222222,-3.631388888888889,13.2,571.0,1.04,0.182,10,2017,2026,17.9,16.86,17.9,16.86,43.1,54.3,400-800,interior,-2.001,3.041,si,AEMET
5515D,VÍZNAR,GRANADA,1258.0,37.23694444444445,-3.5505555555555555,5514Z,GRANADA BASE AÉREA,GRANADA,695.0,37.13611111111111,-3.6333333333333333,13.4,563.0,0.86,0.153,4,2020,2023,17.28,16.42,17.9,16.42,42.9,54.3,400-800,interior,-1.973,2.833,si,AEMET
5515D,VÍZNAR,GRANADA,1258.0,37.23694444444445,-3.5505555555555555,5515X,GRANADA-CARTUJA,GRANADA,775.0,37.189722222222215,-3.595555555555556,6.59,483.0,-0.506,-0.105,10,2017,2026,17.9,18.41,17.9,18.41,48.9,54.3,400-800,interior,-1.692,1.186,no,AEMET
5516D,SIERRA NEVADA 'RADIOTELESCOPIO',GRANADA,2856.0,37.06305555555555,-3.3869444444444445,6248D,"CAÑAR, PARQUE NACIONAL SIERRA NEVADA",GRANADA,1732.0,36.952222222222225,-3.4302777777777775,12.91,1124.0,-3.511,-0.312,3,2024,2026,10.44,13.95,10.25,13.95,24.2,35.2,>800,litoral,-3.938,0.427,no,AEMET
5911A,GRAZALEMA,CADIZ,913.0,36.760555555555555,-5.3741666666666665,5941X,EL BOSQUE,CADIZ,295.0,36.72944444444445,-5.512222222222222,12.78,618.0,-1.361,-0.22,10,2017,2026,16.3,17.66,16.3,17.66,45.4,41.4,<400,interior,-2.165,0.804,no,AEMET
5995B,VEJER DE LA FRONTERA,CADIZ,183.0,36.24527777777778,-5.965277777777778,5996B,BARBATE,CADIZ,4.0,36.18472222222222,-5.9094444444444445,8.39,179.0,-0.395,-0.22,10,2017,2026,19.64,20.03,19.64,20.03,0.6,6.2,<400,litoral,-0.627,0.232,no,AEMET
6040X,CORTES DE LA FRONTERA,MALAGA,315.0,36.544444444444444,-5.386388888888889,6042I,JIMENA DE LA FRONTERA,CADIZ,42.0,36.43555555555555,-5.3950000000000005,12.13,273.0,0.881,0.323,10,2017,2026,17.39,16.51,17.39,16.51,16.5,23.1,<400,litoral,-0.957,1.838,si,AEMET
6050X,GAUCÍN,MALAGA,594.0,36.51861111111111,-5.318611111111111,6040X,CORTES DE LA FRONTERA,MALAGA,315.0,36.544444444444444,-5.386388888888889,6.7,279.0,0.786,0.282,10,2017,2026,18.17,17.39,18.17,17.39,23.1,16.5,<400,litoral,-0.978,1.764,si,AEMET
6050X,GAUCÍN,MALAGA,594.0,36.51861111111111,-5.318611111111111,6042I,JIMENA DE LA FRONTERA,CADIZ,42.0,36.43555555555555,-5.3950000000000005,11.49,552.0,1.666,0.302,10,2017,2026,18.17,16.51,18.17,16.51,16.5,16.5,<400,litoral,-1.934,3.6,si,AEMET
6057X,MANILVA,MALAGA,140.0,36.37833333333333,-5.26,6056X,SAN ROQUE,CADIZ,1.0,36.27305555555555,-5.2844444444444445,11.91,139.0,1.056,0.76,8,2017,2026,20.6,19.54,20.6,19.5,0.6,2.8,<400,litoral,-0.487,1.543,si,AEMET
6057X,MANILVA,MALAGA,140.0,36.37833333333333,-5.26,6058I,ESTEPONA,MALAGA,19.0,36.41694444444444,-5.155,10.33,121.0,0.28,0.231,8,2017,2026,20.6,20.32,20.6,20.33,1.4,2.8,<400,litoral,-0.424,0.704,si,AEMET
6069X,BENAHAVÍS,MALAGA,392.0,36.54361111111111,-5.0247222222222225,6076X,"MARBELLA, PUERTO",MALAGA,2.0,36.48444444444444,-4.953055555555555,9.18,390.0,-0.582,-0.149,10,2017,2026,20.0,20.59,20.0,20.59,0.9,8.1,<400,litoral,-1.367,0.785,no,AEMET
6213X,NERJA,MALAGA,169.0,36.76277777777778,-3.845277777777778,6205X,TORROX,MALAGA,3.0,36.72638888888889,-3.957222222222222,10.76,166.0,0.902,0.544,5,2019,2025,21.01,20.11,21.22,20.11,0.5,1.5,<400,litoral,-0.582,1.484,si,AEMET
6248D,"CAÑAR, PARQUE NACIONAL SIERRA NEVADA",GRANADA,1732.0,36.952222222222225,-3.4302777777777775,6258X,LANJARÓN,GRANADA,708.0,36.92305555555555,-3.4925,6.41,1024.0,-2.48,-0.242,3,2024,2026,13.95,16.43,13.95,15.74,21.5,24.2,400-800,litoral,-3.588,1.108,no,AEMET
6272X,CASTELL DE FERRO,GRANADA,235.0,36.73416666666667,-3.38,6268Y,"MOTRIL, PUERTO",GRANADA,3.0,36.723888888888894,-3.529166666666667,13.34,232.0,0.335,0.145,7,2017,2026,21.68,21.34,21.47,21.34,0.4,1.0,<400,litoral,-0.813,1.148,si,AEMET
6307X,LÁUJAR DE ANDARAX,ALMERIA,1510.0,37.03333333333333,-2.9125,6281X,VÁLOR,GRANADA,1020.0,37.00527777777778,-3.071388888888889,14.45,490.0,-2.42,-0.494,10,2017,2026,16.67,19.09,16.67,19.09,27.6,31.5,>800,litoral,-1.717,-0.703,no,AEMET
6307C,"LAÚJAR, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,1713.0,37.05305555555555,-2.897222222222222,6307X,LÁUJAR DE ANDARAX,ALMERIA,1510.0,37.03333333333333,-2.9125,2.58,203.0,-0.766,-0.377,3,2024,2026,16.83,17.6,16.83,16.67,31.5,33.7,>800,interior,-0.711,-0.055,no,AEMET
6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970.0,37.11,-2.6991666666666667,6312E,"RÁGOL, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,601.0,37.020833333333336,-2.677222222222222,10.1,369.0,-2.081,-0.564,3,2024,2026,18.99,21.07,18.99,21.07,24.5,34.2,400-800,litoral,-1.293,-0.788,no,AEMET
7072Y,YESTE,ALBACETE,960.0,38.294999999999995,-2.2938888888888886,7066Y,"YESTE, EMBALSE FUENSANTA",ALBACETE,680.0,38.39333333333333,-2.218888888888889,12.74,280.0,-0.648,-0.231,9,2017,2026,16.76,17.41,16.67,17.41,120.1,115.3,400-800,interior,-0.981,0.333,no,AEMET
7211B,PUERTO LUMBRERAS,MURCIA,445.0,37.56805555555556,-1.797222222222222,7209,LORCA,MURCIA,312.0,37.656388888888884,-1.6872222222222222,13.8,133.0,0.947,0.712,9,2017,2026,20.47,19.52,20.48,19.52,27.2,25.1,<400,litoral,-0.466,1.413,si,AEMET
7250C,ABANILLA,MURCIA,174.0,38.19444444444444,-1.033888888888889,7244X,ORIHUELA,ALICANTE,26.0,38.06777777777778,-0.9813888888888889,14.81,148.0,-1.657,-1.119,10,2017,2026,18.93,20.59,18.93,20.59,26.6,35.0,<400,litoral,-0.519,-1.138,no,AEMET
8013X,NOVELDA,ALICANTE,233.0,38.385555555555555,-0.7577777777777778,8018X,ELX/ELCHE,ALICANTE,110.0,38.2875,-0.6805555555555555,12.82,123.0,1.072,0.871,10,2017,2026,20.57,19.5,20.57,19.5,12.9,22.0,<400,litoral,-0.431,1.503,si,AEMET
8203O,ZARRA,VALENCIA,856.0,39.08305555555556,-1.1011111111111112,8193E,JALANCE,VALENCIA,372.0,39.208333333333336,-1.0944444444444443,13.94,484.0,1.148,0.237,9,2017,2026,18.1,16.95,18.1,16.94,68.8,73.5,<400,interior,-1.696,2.844,si,AEMET
9027X,SARGENTES DE LA LORA,BURGOS,1017.0,42.746944444444445,-3.8844444444444446,9016X,"VALDERREDIBLE, CUBILLO DE EBRO",CANTABRIA,770.0,42.80972222222222,-4.032222222222222,13.94,247.0,0.232,0.094,6,2017,2022,10.05,9.82,10.05,10.21,65.8,75.7,400-800,interior,-0.865,1.097,si,AEMET
9027X,SARGENTES DE LA LORA,BURGOS,1017.0,42.746944444444445,-3.8844444444444446,9019B,"VALDERREDIBLE, POLIENTES",CANTABRIA,720.0,42.80611111111111,-3.933888888888889,7.72,297.0,-0.184,-0.062,6,2017,2022,10.05,10.24,10.05,10.45,68.2,75.7,400-800,interior,-1.041,0.857,no,AEMET
9115X,VALDEZCARAY,LA RIOJA,1630.0,42.255,-2.968055555555556,9136X,"ANGUIANO, VALVANERA",LA RIOJA,1006.0,42.23083333333334,-2.871111111111111,8.42,624.0,-0.724,-0.116,10,2017,2026,10.78,11.5,10.78,11.5,125.7,122.4,>800,interior,-2.186,1.462,no,AEMET
9122I,LABASTIDA,ARABA/ALAVA,612.0,42.60388888888889,-2.7766666666666664,9121X,HARO,LA RIOJA,465.0,42.57527777777778,-2.854722222222222,7.14,147.0,-0.697,-0.474,9,2017,2026,13.81,14.51,13.84,14.51,88.5,84.2,400-800,interior,-0.515,-0.182,no,AEMET
9145X,LEZA,ARABA/ALAVA,575.0,42.56722222222223,-2.6327777777777777,9145Y,CENICERO,LA RIOJA,429.0,42.48277777777778,-2.6394444444444445,9.41,146.0,-1.504,-1.03,10,2017,2026,13.88,15.38,13.88,15.38,93.5,84.2,400-800,interior,-0.512,-0.992,no,AEMET
9287A,SAN PEDRO MANRIQUE,SORIA,1096.0,42.02638888888889,-2.2308333333333334,9188,ENCISO,LA RIOJA,855.0,42.14944444444444,-2.2733333333333334,14.13,241.0,-2.961,-1.229,10,2017,2026,9.4,12.36,9.4,12.36,127.0,140.5,>800,interior,-0.844,-2.117,no,AEMET
9195C,"ASTÚN, LA RACA",HUESCA,2276.0,42.793055555555554,-0.5052777777777778,9198X,CANFRANC,HUESCA,1197.0,42.74944444444444,-0.5161111111111111,4.93,1079.0,-3.331,-0.309,5,2022,2026,8.85,12.18,8.85,11.49,114.1,112.3,>800,interior,-3.781,0.45,no,AEMET
9195C,"ASTÚN, LA RACA",HUESCA,2276.0,42.793055555555554,-0.5052777777777778,9445L,"FORMIGAL, SARRIOS",HUESCA,1800.0,42.7625,-0.3927777777777778,9.79,476.0,-2.535,-0.533,5,2022,2026,8.85,11.39,8.85,11.39,121.9,112.3,>800,interior,-1.668,-0.867,no,AEMET
9198X,CANFRANC,HUESCA,1197.0,42.74944444444444,-0.5161111111111111,9208E,ARAGÜÉS DEL PUERTO,HUESCA,1025.0,42.70861111111111,-0.6727777777777777,13.58,172.0,-2.188,-1.272,10,2017,2026,11.49,13.68,11.49,13.68,106.3,114.1,>800,interior,-0.603,-1.585,no,AEMET
9445L,"FORMIGAL, SARRIOS",HUESCA,1800.0,42.7625,-0.3927777777777778,9198X,CANFRANC,HUESCA,1197.0,42.74944444444444,-0.5161111111111111,10.17,603.0,-0.796,-0.132,5,2022,2026,11.39,12.18,11.39,11.49,114.1,121.9,>800,interior,-2.113,1.317,no,AEMET
9208E,ARAGÜÉS DEL PUERTO,HUESCA,1025.0,42.70861111111111,-0.6727777777777777,9207,"VALLE DE HECHO, HECHO",HUESCA,860.0,42.74055555555556,-0.7505555555555555,7.28,165.0,2.059,1.248,10,2017,2026,13.68,11.62,13.68,11.62,99.1,106.3,>800,interior,-0.578,2.637,si,AEMET
9228T,RONCESVALLES/ORREAGA,NAVARRA,947.0,43.007777777777775,-1.3255555555555556,9228J,OROZ-BETELU/OROTZ-BETELU,NAVARRA,635.0,42.89611111111111,-1.3002777777777779,12.59,312.0,-1.168,-0.374,10,2017,2026,11.46,12.63,11.46,12.63,55.4,44.5,400-800,interior,-1.093,-0.075,no,AEMET
9228T,RONCESVALLES/ORREAGA,NAVARRA,947.0,43.007777777777775,-1.3255555555555556,9995Y,VALCARLOS/LUZAIDE,NAVARRA,334.0,43.09111111111111,-1.3008333333333333,9.48,613.0,-2.949,-0.481,10,2017,2026,11.46,14.41,11.46,14.41,39.8,44.5,<400,interior,-2.148,-0.801,no,AEMET
9244X,SOS DEL REY CATÓLICO,ZARAGOZA,626.0,42.490833333333335,-1.2133333333333334,9245X,CÁSEDA,NAVARRA,440.0,42.521388888888886,-1.3663888888888889,13.0,186.0,-0.78,-0.419,9,2017,2026,14.53,15.31,14.53,15.21,90.7,98.3,400-800,interior,-0.652,-0.128,no,AEMET
9263X,"ARANGUREN, ILUNDAIN",NAVARRA,572.0,42.77611111111111,-1.5325,9262,PAMPLONA,NAVARRA,450.0,42.81777777777778,-1.6383333333333332,9.8,122.0,-2.377,-1.948,7,2017,2025,13.23,15.61,13.53,15.47,53.9,59.8,400-800,interior,-0.427,-1.95,no,AEMET
9263X,"ARANGUREN, ILUNDAIN",NAVARRA,572.0,42.77611111111111,-1.5325,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459.0,42.776944444444446,-1.65,9.59,113.0,-0.801,-0.709,8,2017,2026,13.53,14.33,13.53,14.1,58.3,59.8,400-800,interior,-0.396,-0.405,no,AEMET
9301X,MONTEAGUDO,NAVARRA,410.0,41.95888888888889,-1.6905555555555556,9302Y,TUDELA,NAVARRA,297.0,42.05555555555555,-1.6094444444444445,12.67,113.0,-1.728,-1.529,10,2017,2026,15.59,17.32,15.59,17.32,138.6,149.1,<400,interior,-0.396,-1.332,no,AEMET
9445L,"FORMIGAL, SARRIOS",HUESCA,1800.0,42.7625,-0.3927777777777778,9453X,"BIESCAS, EMBALSE DE BÚBAL",HUESCA,1100.0,42.69916666666666,-0.3188888888888889,9.27,700.0,-0.068,-0.01,5,2022,2026,11.39,11.46,11.39,10.95,130.7,121.9,>800,interior,-2.453,2.385,no,AEMET
9451F,"PANTICOSA, PETROSOS",HUESCA,1850.0,42.70444444444445,-0.2752777777777778,9453X,"BIESCAS, EMBALSE DE BÚBAL",HUESCA,1100.0,42.69916666666666,-0.3188888888888889,3.61,750.0,0.413,0.055,7,2020,2026,11.5,11.09,11.5,10.95,130.7,133.4,>800,interior,-2.628,3.041,si,AEMET
9550C,"ANDORRA, HORCALLANA",TERUEL,762.0,40.974444444444444,-0.4077777777777778,9569A,CALANDA,TERUEL,466.0,40.946666666666665,-0.23777777777777778,14.61,296.0,-1.379,-0.466,10,2017,2026,16.44,17.82,16.44,17.82,77.6,91.3,400-800,interior,-1.037,-0.342,no,AEMET
9569A,CALANDA,TERUEL,466.0,40.946666666666665,-0.23777777777777778,9573X,ALCAÑIZ,TERUEL,334.0,41.058055555555555,-0.14166666666666666,14.78,132.0,1.522,1.153,9,2017,2026,17.93,16.41,17.82,16.41,78.7,77.6,<400,interior,-0.463,1.985,si,AEMET
9590D,CAP DE REC,LLEIDA,1940.0,42.430277777777775,1.6674999999999998,9590,MARTINET,LLEIDA,1038.0,42.36222222222222,1.6933333333333334,7.86,902.0,-2.168,-0.24,6,2021,2026,8.73,10.9,8.73,10.56,14.5,8.0,>800,litoral,-3.161,0.993,no,AEMET
9660,SANT MAURICI (LLAC),LLEIDA,1907.0,42.58083333333334,1.0075,9657X,ESTERRI D'ÀNEU,LLEIDA,952.0,42.625,1.126111111111111,10.88,955.0,-1.682,-0.176,3,2019,2025,8.56,10.25,9.11,10.55,48.2,56.6,>800,interior,-3.346,1.664,no,AEMET
9660,SANT MAURICI (LLAC),LLEIDA,1907.0,42.58083333333334,1.0075,9689X,TORRE DE CABDELLA,LLEIDA,1273.0,42.46638888888889,0.9908333333333332,12.8,634.0,-2.644,-0.417,8,2017,2025,9.11,11.75,9.11,11.75,57.5,56.6,>800,interior,-2.222,-0.422,no,AEMET
9988B,CAP DE VAQUÈIRA,LLEIDA,2467.0,42.69194444444444,0.9738888888888889,9660,SANT MAURICI (LLAC),LLEIDA,1907.0,42.58083333333334,1.0075,12.66,560.0,-1.799,-0.321,4,2022,2025,7.39,9.19,7.39,9.11,56.6,62.4,>800,interior,-1.962,0.163,no,AEMET
9756X,BENABARRE,HUESCA,765.0,42.112500000000004,0.48,9855E,"CAPELLA, LAGUARRES",HUESCA,600.0,42.20138888888889,0.46611111111111114,9.95,165.0,0.149,0.09,10,2017,2026,14.8,14.66,14.8,14.66,105.9,108.4,400-800,interior,-0.578,0.727,si,AEMET
9776D,ELS TORMS,LLEIDA,495.0,41.39388888888889,0.7347222222222222,9775X,EL SOLERÀS,LLEIDA,392.0,41.41361111111111,0.6783333333333333,5.19,103.0,0.14,0.136,8,2017,2025,17.1,16.96,17.1,17.13,48.6,44.1,<400,interior,-0.361,0.501,si,AEMET
9814I,"TORLA-ORDESA, EL CEBOLLAR",HUESCA,1905.0,42.65611111111111,-0.12444444444444444,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206.0,42.655277777777776,-0.09916666666666667,2.07,699.0,-1.67,-0.239,4,2023,2026,11.27,12.94,10.74,12.94,147.5,146.8,>800,interior,-2.449,0.779,no,AEMET
9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206.0,42.655277777777776,-0.09916666666666667,9814X,TORLA - ORDESA,HUESCA,1076.0,42.6375,-0.11194444444444446,2.24,130.0,-0.271,-0.209,3,2023,2025,12.3,12.57,12.94,12.29,148.4,147.5,>800,interior,-0.456,0.185,no,AEMET
9814I,"TORLA-ORDESA, EL CEBOLLAR",HUESCA,1905.0,42.65611111111111,-0.12444444444444444,9814X,TORLA - ORDESA,HUESCA,1076.0,42.6375,-0.11194444444444446,2.31,829.0,-2.057,-0.248,6,2020,2025,10.29,12.34,10.74,12.29,148.4,146.8,>800,interior,-2.905,0.848,no,AEMET
9839V,"CERLER, COGULLA",HUESCA,2374.0,42.555,0.5430555555555555,9838B,BENASQUE,HUESCA,1120.0,42.599444444444444,0.5205555555555557,5.27,1254.0,-1.438,-0.115,7,2020,2026,8.32,9.76,8.32,9.62,96.4,94.2,>800,interior,-4.394,2.956,no,AEMET
9839V,"CERLER, COGULLA",HUESCA,2374.0,42.555,0.5430555555555555,9843A,SEIRA,HUESCA,825.0,42.47694444444445,0.4341666666666667,12.45,1549.0,-4.658,-0.301,7,2020,2026,8.32,12.98,8.32,12.8,103.0,94.2,>800,interior,-5.428,0.77,no,AEMET
B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,842.0,39.79277777777778,2.7877777777777775,B013X,"ESCORCA, LLUC",ILLES BALEARS,490.0,39.82333333333334,2.8858333333333333,9.04,352.0,-2.949,-0.838,10,2017,2026,13.16,16.11,13.16,16.11,5.1,4.4,400-800,litoral,-1.233,-1.716,no,AEMET
B013X,"ESCORCA, LLUC",ILLES BALEARS,490.0,39.82333333333334,2.8858333333333333,B691Y,SA POBLA,BALEARES,32.0,39.74916666666667,3.0166666666666666,13.89,458.0,-2.794,-0.61,10,2017,2026,16.11,18.9,16.11,18.9,10.7,5.1,<400,litoral,-1.605,-1.189,no,AEMET
B013X,"ESCORCA, LLUC",ILLES BALEARS,490.0,39.82333333333334,2.8858333333333333,B760X,POLLENÇA,ILLES BALEARS,45.0,39.87694444444445,3.0241666666666664,13.23,445.0,-3.565,-0.801,10,2017,2026,16.11,19.67,16.11,19.67,4.2,5.1,<400,litoral,-1.559,-2.006,no,AEMET
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030.0,39.735,2.7130555555555556,B051A,"SÓLLER, PUERTO",BALEARES,5.0,39.79555555555555,2.691388888888889,6.98,1025.0,-4.32,-0.422,5,2021,2025,17.77,22.09,17.25,22.33,0.6,6.0,<400,litoral,-3.592,-0.728,no,AEMET
B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,842.0,39.79277777777778,2.7877777777777775,B051A,"SÓLLER, PUERTO",BALEARES,5.0,39.79555555555555,2.691388888888889,8.24,837.0,-8.825,-1.054,6,2021,2026,13.5,22.33,13.16,22.33,0.6,4.4,<400,litoral,-2.933,-5.892,no,AEMET
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030.0,39.735,2.7130555555555556,B236C,"PALMA, UNIVERSITAT",ILLES BALEARS,95.0,39.64222222222222,2.6438888888888887,11.89,935.0,0.155,0.017,9,2017,2025,17.25,17.09,17.25,17.22,9.1,6.0,<400,litoral,-3.276,3.431,si,AEMET
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030.0,39.735,2.7130555555555556,B275E,"SON BONET, AEROPUERTO",BALEARES,47.0,39.60583333333334,2.706666666666667,14.37,983.0,-3.114,-0.317,4,2022,2025,17.99,21.1,17.25,21.37,5.6,6.0,<400,litoral,-3.444,0.33,no,AEMET
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030.0,39.735,2.7130555555555556,B656A,SANTA MARÍA DEL CAMÍ,BALEARES,121.0,39.652499999999996,2.8002777777777776,11.83,909.0,-1.485,-0.163,9,2017,2025,17.25,18.74,17.25,18.9,14.3,6.0,<400,litoral,-3.185,1.7,no,AEMET
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030.0,39.735,2.7130555555555556,B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,842.0,39.79277777777778,2.7877777777777775,9.06,188.0,4.282,2.278,9,2017,2025,17.25,12.97,17.25,13.16,4.4,6.0,>800,litoral,-0.659,4.941,si,AEMET
B656A,SANTA MARÍA DEL CAMÍ,BALEARES,121.0,39.652499999999996,2.8002777777777776,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5.0,39.56083333333333,2.736666666666667,11.56,116.0,-0.382,-0.329,10,2017,2026,18.9,19.28,18.9,19.28,3.3,14.3,<400,litoral,-0.406,0.024,no,AEMET
B341X,PORRERES,BALEARES,149.0,39.50611111111111,3.0055555555555555,B362X,"CAMPOS, CAN SION",ILLES BALEARS,40.0,39.405833333333334,3.0641666666666665,12.23,109.0,2.314,2.123,4,2023,2026,19.92,17.6,19.92,17.48,9.5,16.5,<400,litoral,-0.382,2.696,si,AEMET
B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,842.0,39.79277777777778,2.7877777777777775,B662X,BINISSALEM,BALEARES,105.0,39.67805555555555,2.8738888888888887,14.73,737.0,-5.256,-0.713,10,2017,2026,13.16,18.41,13.16,18.41,19.1,4.4,<400,litoral,-2.582,-2.674,no,AEMET
C018J,TÍAS,LAS PALMAS,376.0,28.96972222222222,-13.690277777777778,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14.0,28.951944444444443,-13.600277777777777,8.98,362.0,-2.961,-0.818,10,2017,2026,17.75,20.71,17.75,20.71,1.0,5.5,<400,litoral,-1.268,-1.693,no,AEMET
