indicativo,mes,tm_mes,tm_max,tm_min,ta_max,ta_min,p_mes,p_max,hr,n_llu,n_nie,n_tor
C249I,04,,,,,,,,,,,
C249I,05,,,,,,,,,,,
C249I,06,,,,,,,,,,,
C249I,07,,,,,,,,,,,
C249I,08,,,,,,,,,,,
C249I,09,,,,,,,,,,,
C249I,10,,,,,,,,,,,
C249I,11,,,,,,,,,,,
C249I,12,,,,,,,,,,,
C249I,13,,,,,,,,,,,
C258K,01,,,,,,,,,,,
C258K,02,,,,,,,,,,,
C258K,03,,,,,,,,,,,
C258K,04,,,,,,,,,,,
C258K,05,,,,,,,,,,,
C258K,06,,,,,,,,,,,
C258K,07,,,,,,,,,,,
C258K,08,,,,,,,,,,,
C258K,09,,,,,,,,,,,
C258K,10,,,,,,,,,,,
C258K,11,,,,,,,,,,,
C258K,12,,,,,,,,,,,
C258K,13,,,,,,,,,,,
C314Z,01,,,,,,,,,,,
