estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Cervera de Pisuerga,1140,0.0,0.0,42.871,-4.52,10.0
Aguilar de Campoo,910,0.0,0.0,42.798,-4.277,10.0
Villaeles de Valdavia,908,0.0,0.0,42.569,-4.575,10.0
Palencia,736,0.2,0.0,42.009,-4.561,10.0
"Santervás de la Vega, Villapún",985,0.3,0.0,42.524,-4.851,10.0
Carrión de los Condes,830,0.4,0.0,42.351,-4.617,10.0
"Velilla del Río Carrión, Camporredondo de Alba",1575,0.5,0.0,42.894,-4.714,10.0
Autilla del Pino,874,1.3,0.0,41.996,-4.603,10.0
