estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
"Anguiano, Valvanera",1006,0.2,0.0,42.231,-2.871,9.0
Enciso,855,0.8,0.0,42.149,-2.273,9.0
Nájera,500,0.8,0.0,42.414,-2.727,9.0
Haro,465,1.6,0.1,42.575,-2.855,9.0
Valdezcaray,1630,2.9,0.0,42.255,-2.968,9.0
"Logroño, Aeropuerto",353,4.0,0.0,42.452,-2.331,9.0
Cenicero,429,4.8,0.0,42.483,-2.639,9.0
"Alfaro, la Plana",371,13.2,0.4,42.176,-1.744,5.0
