estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Sardón de Duero,725,0.1,0.0,41.612,-4.406,10.0
Valladolid Aeropuerto,846,0.2,0.0,41.712,-4.856,10.0
Villalón de Campos,782,0.8,0.0,42.094,-5.041,10.0
Peñafiel,756,0.8,0.0,41.593,-4.125,10.0
Medina de Rioseco,731,0.8,0.0,41.876,-5.04,10.0
Fuente el Sol,755,1.5,0.0,41.173,-4.94,10.0
Rueda,724,2.4,0.0,41.419,-4.964,10.0
"Olmedo, Depósito de Agua",786,3.1,0.0,41.28,-4.692,10.0
Valladolid,734,4.5,0.0,41.641,-4.754,10.0
