estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Villafranca del Cid/Vilafranca,1130,0.7,0.0,40.433,-0.256,10.0
La Pobla de Benifassà-Fredes,1165,3.9,0.0,40.694,0.165,10.0
Segorbe,400,5.4,0.0,39.796,-0.485,10.0
Atzeneta del Maestrat,420,6.8,0.0,40.227,-0.17,10.0
Montanejos,601,10.0,0.0,40.088,-0.547,10.0
Castellfort,1220,11.1,0.1,40.499,-0.187,10.0
Morella,990,13.1,0.0,40.622,-0.102,10.0
Torreblanca,35,65.6,2.6,40.211,0.184,10.0
Castelló - Almassora,43,70.6,5.5,39.957,-0.072,10.0
