indicativo,nombre,provincia,altitud,temporadas,calefaccion_mediana,calefaccion_peor,calefaccion_peor_temporada,calefaccion_mejor,calefaccion_ultima,terraza_mediana,terraza_peor,terraza_mejor,racha_sin_terraza_max,racha_terraza_max,heladas_mediana,heladas_peor,temporadas_sin_helada,racha_heladas_max,lluvia_mediana,tmin_p05_peor,tmin_min,tmin_min_fecha,calefaccion_fuera_nucleo,calefaccion_total
5910,"ROTA, BASE NAVAL",CADIZ,21,9,86.0,104,2017-18,69,86,96.0,65,113,28,31,0.0,3,6,2,31.0,1.8,-0.6,2021-01-16,210,785
5911A,GRAZALEMA,CADIZ,913,9,142.0,144,2018-19,121,136,23.0,20,41,70,13,5.0,29,1,10,44.0,-1.4,-3.0,2018-02-03,473,1234
5919X,OLVERA,CADIZ,530,9,114.0,131,2017-18,90,114,53.0,32,67,35,15,0.0,2,6,1,36.0,1.0,-1.0,2021-01-03,339,994
5941X,EL BOSQUE,CADIZ,295,9,107.0,128,2018-19,96,105,66.0,45,81,51,28,0.0,6,5,3,40.0,0.1,-2.2,2021-01-03,337,1012
5950X,SAN JOSÉ DEL VALLE,CADIZ,105,9,88.0,104,2017-18,65,88,91.0,60,105,30,31,0.0,0,9,0,36.0,2.9,0.9,2018-02-09,234,791
5960,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,9,116.0,131,2018-19,101,107,105.0,67,118,28,55,2.0,14,0,7,31.0,-1.2,-3.1,2021-01-03,341,1031
5972X,SAN FERNANDO,CADIZ,28,9,41.0,63,2017-18,34,50,77.0,47,102,64,29,0.0,0,9,0,32.0,4.8,2.4,2021-01-13,77,394
5973,CÁDIZ,CADIZ,2,9,25.0,58,2017-18,14,32,83.0,48,99,64,37,0.0,0,9,0,34.0,5.9,3.6,2021-01-15,30,260
5983X,MEDINA SIDONIA,CADIZ,70,9,90.0,105,2017-18,76,97,67.0,46,91,35,29,1.0,5,3,3,30.0,0.9,-2.0,2023-03-03,255,819
5995B,VEJER DE LA FRONTERA,CADIZ,186,9,42.0,78,2017-18,24,51,61.0,36,83,69,22,0.0,0,9,0,39.0,5.0,2.4,2026-01-06,103,406
5996B,BARBATE,CADIZ,4,9,69.0,88,2017-18,57,74,90.0,64,103,27,29,0.0,0,9,0,34.0,2.9,0.7,2021-01-04,173,613
5998X,OSUNA,SEVILLA,255,9,73.0,102,2017-18,57,78,63.0,38,78,44,25,0.0,0,9,0,36.0,2.8,0.3,2018-02-08,194,676
6000A,MELILLA,MELILLA,52,9,29.0,44,2017-18,18,29,87.0,63,124,24,44,0.0,0,9,0,23.0,7.2,5.6,2023-01-23,42,262
6001,TARIFA,CADIZ,32,9,48.0,58,2025-26,26,58,33.0,14,74,65,33,0.0,0,9,0,38.0,4.8,2.2,2023-01-26,117,406
6032X,RONDA INSTITUTO,MALAGA,760,7,131.0,142,2017-18,100,131,34.0,29,53,49,14,0.0,8,4,4,39.0,0.0,-1.3,2026-01-07,327,883
6040X,CORTES DE LA FRONTERA,MALAGA,315,9,116.0,129,2018-19,101,116,56.0,41,74,38,25,1.0,2,4,1,38.0,1.0,-1.1,2018-02-09,339,1030
6042I,JIMENA DE LA FRONTERA,CADIZ,42,9,112.0,125,2019-20,105,113,89.0,68,109,28,31,2.0,10,1,4,34.0,-0.6,-2.5,2023-01-26,343,1004
6045X,ALPANDEIRE,MALAGA,676,9,121.0,132,2017-18,88,123,58.0,38,72,35,16,0.0,1,8,1,38.0,1.4,-0.2,2021-01-03,355,1044
6050X,GAUCÍN,MALAGA,594,7,114.0,131,2017-18,102,126,32.0,24,42,69,11,0.0,4,4,2,43.0,0.7,-1.5,2018-02-05,260,810
6056X,SAN ROQUE  ,CADIZ,1,9,71.0,94,2017-18,60,81,82.0,73,113,38,31,0.0,0,9,0,33.0,3.9,1.8,2021-01-03,201,656
6057X,MANILVA,MALAGA,140,8,42.0,66,2025-26,33,66,74.0,54,91,31,26,0.0,0,8,0,30.0,5.9,3.2,2026-01-07,98,343
6058I,ESTEPONA,MALAGA,19,9,24.0,50,2017-18,16,40,89.0,72,105,29,32,0.0,0,9,0,31.0,6.0,4.5,2026-01-07,47,265
6069X,BENAHAVÍS,MALAGA,392,9,87.0,105,2018-19,70,101,71.0,46,85,53,22,0.0,0,9,0,29.0,3.6,1.9,2021-01-03,237,794
6076X,"MARBELLA, PUERTO",MALAGA,2,9,24.0,49,2017-18,12,27,76.0,64,105,19,32,0.0,0,9,0,24.0,6.5,2.7,2025-03-13,35,246
6083X,MARBELLA,MALAGA,2,9,11.0,28,2017-18,3,12,90.0,65,115,24,47,0.0,0,9,0,20.0,7.2,3.4,2018-03-21,14,108
6088X,TORREMOLINOS,MALAGA,85,9,29.0,62,2017-18,26,41,90.0,77,104,20,29,0.0,0,9,0,25.0,6.8,3.8,2018-02-05,68,316
6100B,ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES),MALAGA,515,7,130.0,137,2017-18,97,125,50.0,35,68,32,15,1.0,3,3,2,30.0,0.7,-1.2,2023-01-27,303,856
6106X,ANTEQUERA,MALAGA,408,7,116.0,136,2018-19,111,120,38.0,23,50,45,12,12.0,17,0,9,34.0,-2.3,-3.9,2021-01-03,300,841
6127X,ÁLORA,MALAGA,172,9,82.0,98,2017-18,63,97,94.0,71,113,20,31,0.0,0,9,0,27.0,3.3,1.6,2023-01-29,219,757
6143X,COÍN,MALAGA,230,9,86.0,101,2017-18,64,98,102.0,90,121,18,31,0.0,0,9,0,22.0,3.8,1.4,2021-01-03,214,767
6155A,MÁLAGA AEROPUERTO,MALAGA,7,9,70.0,95,2017-18,63,89,101.0,86,109,17,31,0.0,0,9,0,23.0,3.8,1.1,2023-01-29,173,679
6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,9,62.0,80,2017-18,52,73,110.0,80,120,18,32,0.0,0,9,0,25.0,4.6,1.7,2023-03-03,132,565
6172X,MÁLAGA,MALAGA,25,9,24.0,48,2017-18,15,24,85.0,70,111,24,38,0.0,0,9,0,20.0,7.0,5.4,2018-02-05,27,229
6175X,RINCÓN DE LA VICTORIA,MALAGA,7,9,26.0,37,2017-18,18,26,128.0,105,141,13,57,0.0,0,9,0,20.0,6.8,5.5,2018-01-09,31,225
6201X,ALGARROBO,MALAGA,35,9,78.0,104,2018-19,61,78,100.0,85,116,26,32,0.0,0,9,0,23.0,4.5,2.0,2021-01-03,179,721
6213X,NERJA,MALAGA,169,9,35.0,58,2017-18,21,37,88.0,73,110,28,29,0.0,0,9,0,23.0,6.8,4.5,2021-01-10,50,325
6258X,LANJARÓN,GRANADA,708,9,139.0,150,2018-19,111,139,45.0,32,69,46,17,4.0,17,1,10,29.0,-0.8,-3.0,2026-01-07,480,1223
6267X,SALOBREÑA,GRANADA,20,8,98.5,114,2021-22,87,93,106.0,84,130,16,40,0.0,0,8,0,22.5,4.5,1.8,2025-01-16,234,799
6268Y,"MOTRIL, PUERTO",GRANADA,3,6,47.5,58,2021-22,43,43,102.5,88,118,23,40,0.0,0,6,0,18.5,6.2,4.4,2023-01-23,46,290
6272X,CASTELL DE FERRO,GRANADA,235,8,42.0,67,2017-18,27,48,65.5,46,85,29,21,0.0,0,8,0,24.0,6.8,4.4,2021-01-10,55,344
6277B,ADRA,ALMERIA,8,6,14.0,32,2017-18,5,6,86.5,78,103,19,26,0.0,0,6,0,13.5,8.2,6.8,2021-01-10,2,95
6281X,VÁLOR,GRANADA,1020,8,126.5,138,2017-18,111,123,50.0,29,67,47,13,1.5,7,2,3,26.0,0.4,-1.6,2018-02-05,381,1015
6291B,EL EJIDO,ALMERIA,98,9,44.0,78,2017-18,33,47,122.0,98,138,14,46,0.0,0,9,0,13.0,6.5,5.0,2021-01-03,60,432
6293X,ROQUETAS DE MAR,ALMERIA,3,6,95.0,102,2018-19,67,95,91.5,75,101,24,39,0.0,0,6,0,6.0,3.1,2.0,2023-01-23,159,545
6302A,ABLA,ALMERIA,869,8,132.0,145,2017-18,111,138,62.0,46,80,33,26,3.5,10,2,4,17.5,-0.3,-3.4,2023-01-24,380,1038
6307X,LÁUJAR DE ANDARAX,ALMERIA,1510,6,140.5,143,2018-19,126,140,22.0,13,46,89,12,18.5,29,0,10,22.0,-2.3,-4.6,2021-01-10,330,822
6325O,ALMERÍA AEROPUERTO,ALMERIA,21,9,62.0,91,2017-18,50,54,103.0,76,119,20,39,0.0,0,9,0,15.0,5.8,3.8,2021-01-04,112,598
6329X,CABO DE GATA,ALMERIA,42,9,4.0,16,2017-18,0,4,75.0,63,89,26,40,0.0,0,9,0,8.0,8.9,6.2,2023-01-24,3,56
6340X,GARRUCHA,ALMERIA,28,9,63.0,97,2025-26,48,97,81.0,50,95,35,26,0.0,0,9,0,14.0,4.4,2.8,2019-01-12,135,607
6364X,ALBOX,ALMERIA,508,9,117.0,132,2018-19,95,121,79.0,62,113,23,31,0.0,2,6,2,13.0,1.2,-0.5,2019-01-11,331,1033
6367B,HUÉRCAL-OVERA,ALMERIA,300,9,122.0,135,2018-19,108,126,91.0,62,119,20,32,1.0,5,3,3,13.0,0.1,-2.5,2020-12-27,345,1077
6375X,FUENTE DE PIEDRA,MALAGA,420,9,126.0,139,2018-19,108,121,51.0,29,68,57,17,16.0,29,0,10,34.0,-3.0,-4.9,2025-01-16,422,1145
7002Y,ÁGUILAS,MURCIA,32,9,67.0,86,2018-19,58,67,101.0,92,124,28,39,0.0,0,9,0,12.0,4.8,2.0,2020-12-27,123,618
7007Y,MAZARRÓN,MURCIA,66,9,69.0,83,2018-19,57,73,107.0,91,131,17,42,0.0,0,9,0,14.0,5.0,2.0,2026-01-07,134,626
7012C,CARTAGENA,MURCIA,17,9,64.0,85,2017-18,52,62,64.0,56,102,36,38,0.0,0,9,0,13.0,4.2,1.9,2020-12-27,120,597
7012D,CARTAGENA,MURCIA,56,9,103.0,128,2018-19,88,103,83.0,63,109,29,32,0.0,2,7,2,16.0,0.8,-0.9,2020-12-27,290,971
7020C,MURCIA AEROPUERTO,MURCIA,205,7,104.0,110,2025-26,87,110,76.0,64,102,29,31,0.0,0,7,0,12.0,2.8,0.1,2020-12-27,193,699
7023X,FUENTE ÁLAMO DE MURCIA,MURCIA,140,9,107.0,128,2018-19,92,115,96.0,74,118,20,32,0.0,1,5,1,14.0,1.8,-1.1,2025-01-15,283,968
7026X,TORRE-PACHECO,MURCIA,50,9,111.0,129,2018-19,95,111,96.0,77,123,18,33,0.0,1,6,1,14.0,1.9,-0.7,2017-12-04,306,995
7031,SAN JAVIER AEROPUERTO,MURCIA,4,9,105.0,120,2018-19,93,105,82.0,62,103,21,38,1.0,2,4,2,16.0,1.1,-2.0,2021-01-04,279,943
7031X,SAN JAVIER AEROPUERTO,MURCIA,4,9,102.0,123,2018-19,87,107,92.0,69,109,20,38,0.0,2,6,2,15.0,1.4,-1.2,2021-01-04,273,929
7066Y,"YESTE, EMBALSE FUENSANTA",ALBACETE,680,9,135.0,147,2021-22,129,138,47.0,37,69,50,24,23.0,37,0,17,29.0,-3.2,-6.1,2019-01-11,457,1230
7067Y,NERPIO,ALBACETE,1485,8,149.0,151,2017-18,144,149,9.0,1,21,150,6,80.5,104,0,36,28.5,-10.1,-14.8,2018-02-06,483,1193
7072Y,YESTE,ALBACETE,960,9,141.0,149,2017-18,130,146,34.0,20,53,69,12,12.0,35,0,9,29.0,-2.5,-5.0,2019-01-11,488,1261
7080X,MORATALLA,MURCIA,955,9,141.0,148,2025-26,127,148,22.0,14,48,76,12,7.0,27,0,8,26.0,-1.8,-4.5,2019-01-11,483,1255
7096B,HELLÍN,ALBACETE,605,9,137.0,147,2021-22,120,124,41.0,24,59,56,13,4.0,12,1,9,22.0,-0.6,-2.6,2021-01-12,433,1204
7103Y,TOBARRA,ALBACETE,615,9,133.0,145,2021-22,125,142,50.0,34,68,50,25,9.0,17,0,7,18.0,-1.3,-3.9,2022-01-19,439,1217
7119B,CARAVACA DE LA CRUZ,MURCIA,643,9,142.0,149,2017-18,137,146,47.0,41,81,47,13,15.0,26,0,9,21.0,-2.2,-6.0,2019-01-11,493,1278
7121A,CALASPARRA,MURCIA,350,9,134.0,141,2018-19,120,134,66.0,52,92,46,25,8.0,11,1,6,19.0,-0.5,-3.6,2017-12-05,412,1181
7127X,BULLAS,MURCIA,690,9,130.0,142,2018-19,117,139,47.0,31,68,42,13,1.0,8,4,3,15.0,-0.1,-2.3,2021-01-12,421,1177
7138B,JUMILLA,MURCIA,485,9,144.0,148,2017-18,134,144,56.0,37,87,49,25,27.0,36,0,16,18.0,-4.2,-6.7,2025-01-15,493,1287
7145D,CIEZA,MURCIA,265,9,128.0,141,2018-19,117,132,83.0,68,114,26,31,7.0,12,1,6,15.0,-0.5,-3.7,2017-12-05,393,1150
7158X,ARCHENA,MURCIA,150,9,94.0,110,2017-18,81,104,99.0,81,120,26,31,0.0,0,9,0,14.0,3.0,0.3,2021-01-04,247,865
7172X,MULA,MURCIA,255,8,117.5,133,2018-19,104,104,84.0,63,107,23,31,0.5,2,4,1,12.0,1.1,-1.1,2017-12-05,309,942
7178I,MURCIA,MURCIA,62,9,105.0,125,2018-19,88,115,104.0,83,126,20,33,1.0,3,3,2,16.0,1.3,-1.4,2019-01-12,277,956
7195X,"CARAVACA DE LA CRUZ, LOS ROYOS",MURCIA,985,9,149.0,151,2017-18,143,148,28.0,16,50,63,12,31.0,43,0,16,18.0,-4.5,-7.2,2022-01-19,528,1333
7203A,"LORCA, ZARCILLA DE RAMOS",MURCIA,646,9,140.0,147,2018-19,124,144,64.0,46,88,47,15,12.0,22,0,7,16.0,-1.3,-4.8,2017-12-05,449,1230
7209,LORCA,MURCIA,312,9,124.0,141,2018-19,106,124,86.0,62,116,29,32,5.0,7,1,5,13.0,0.0,-3.4,2019-01-11,363,1103
7211B,PUERTO LUMBRERAS,MURCIA,445,9,113.0,122,2017-18,91,121,78.0,58,106,29,24,0.0,1,8,1,12.0,2.4,-0.2,2020-12-27,298,982
7218Y,TOTANA,MURCIA,281,7,92.0,108,2025-26,83,108,98.0,82,123,19,32,0.0,0,7,0,14.0,2.5,0.5,2020-12-27,181,655
7227X,ALHAMA DE MURCIA,MURCIA,157,9,125.0,137,2018-19,113,125,94.0,76,119,20,31,6.0,9,1,6,15.0,-0.2,-4.0,2025-01-15,374,1123
7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,9,119.0,134,2018-19,105,118,100.0,84,125,26,32,7.0,10,1,6,15.0,-0.4,-3.8,2017-12-05,358,1082
7237E,MOLINA DE SEGURA,MURCIA,170,9,113.0,130,2018-19,98,119,85.0,75,109,26,31,0.0,2,7,1,15.0,1.7,-0.3,2017-12-05,334,1016
7244X,ORIHUELA,ALICANTE,26,9,108.0,127,2018-19,93,110,87.0,77,112,26,31,1.0,5,3,2,14.0,0.7,-2.4,2019-01-12,310,975
7247X,EL PINÓS/PINOSO,ALICANTE,577,8,138.0,151,2017-18,130,139,57.5,19,86,59,25,22.5,66,0,16,20.0,-5.2,-8.6,2019-01-11,420,1109
7250C,ABANILLA,MURCIA,174,9,118.0,137,2018-19,106,123,99.0,75,118,20,37,4.0,9,1,6,16.0,-0.5,-2.7,2025-01-15,369,1070
7261X,ROJALES,ALICANTE,31,9,88.0,105,2017-18,74,94,82.0,68,114,21,37,0.0,1,8,1,17.0,2.3,-0.5,2025-01-15,208,800
7275C,YECLA,MURCIA,640,9,140.0,148,2017-18,134,140,41.0,32,67,58,24,23.0,42,0,11,19.0,-3.8,-7.9,2019-01-11,481,1266
8005X,FONTANARS DELS ALFORINS,VALENCIA,622,9,141.0,150,2017-18,131,146,39.0,27,59,57,12,33.0,56,0,18,17.0,-5.5,-8.5,2019-01-11,489,1274
8008Y,VILLENA,ALICANTE,486,9,145.0,148,2017-18,129,145,60.0,34,73,36,25,45.0,66,0,17,16.0,-6.0,-9.6,2025-01-15,490,1282
8013X,NOVELDA,ALICANTE,233,9,106.0,117,2017-18,82,111,86.0,71,115,23,31,0.0,0,9,0,16.0,2.3,0.5,2017-12-05,280,915
8018X,ELX/ELCHE,ALICANTE,110,9,109.0,123,2025-26,93,123,108.0,73,122,21,38,0.0,1,6,1,13.0,1.3,-0.4,2025-01-15,310,994
8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,9,100.0,122,2017-18,85,98,88.0,60,108,23,37,0.0,0,9,0,17.0,2.6,0.2,2020-12-27,280,921
8025,ALACANT/ALICANTE,ALICANTE,81,9,94.0,123,2018-19,77,93,92.0,73,116,23,33,0.0,0,9,0,17.0,2.2,0.0,2019-01-12,250,868
8036Y,BENIDORM,ALICANTE,36,8,98.5,127,2018-19,91,99,84.5,66,109,27,33,0.0,1,7,1,16.0,2.4,-0.1,2023-02-28,238,801
8050X,JÁVEA/ XÀBIA,ALICANTE,15,9,99.0,125,2017-18,88,111,85.0,69,114,21,32,1.0,4,4,2,22.0,0.6,-1.6,2021-01-06,278,936
8057C,PEGO,ALICANTE,60,9,71.0,88,2018-19,56,71,84.0,70,113,28,33,0.0,0,9,0,26.0,4.5,2.0,2021-01-13,160,652
8058Y,MIRAMAR,VALENCIA,12,9,70.0,91,2017-18,58,66,77.0,55,99,28,20,0.0,0,9,0,19.0,4.2,1.8,2021-01-06,155,646
8059C,ALCOI/ALCOY,ALICANTE,530,9,126.0,133,2018-19,104,133,51.0,35,77,34,13,2.0,9,3,4,25.0,-0.3,-2.6,2021-01-06,398,1102
8072Y,BARX,VALENCIA,340,9,117.0,135,2018-19,107,123,53.0,30,84,33,25,3.0,9,1,4,22.0,-0.4,-3.5,2019-01-11,370,1061
8096,CUENCA,CUENCA,949,9,148.0,151,2018-19,143,149,25.0,20,37,100,13,40.0,59,0,23,37.0,-4.5,-10.9,2021-01-12,524,1333
8155Y,MOTILLA DEL PALANCAR,CUENCA,830,9,148.0,151,2018-19,132,148,18.0,13,35,100,12,44.0,66,0,24,35.0,-6.7,-15.5,2021-01-12,524,1310
8175,ALBACETE BASE AÉREA,ALBACETE,702,9,148.0,149,2018-19,140,145,27.0,19,46,99,13,41.0,65,0,24,25.0,-6.3,-14.1,2021-01-12,516,1316
8177A,CHINCHILLA,ALBACETE,880,6,142.0,151,2020-21,123,136,12.0,6,25,89,12,35.0,46,0,25,28.0,-5.2,-8.0,2021-01-12,334,844
8178D,ALBACETE,ALBACETE,674,9,145.0,149,2018-19,134,145,35.0,22,46,99,13,25.0,42,0,16,25.0,-4.6,-11.3,2021-01-12,497,1296
8193E,JALANCE,VALENCIA,372,9,134.0,146,2017-18,125,134,46.0,39,71,74,24,27.0,59,0,21,27.0,-5.8,-8.2,2022-01-19,461,1225
8198Y,ALMANSA,ALBACETE,710,9,145.0,148,2018-19,122,147,33.0,15,56,69,24,38.0,64,0,27,23.0,-5.2,-8.7,2019-01-11,496,1283
8203O,ZARRA,VALENCIA,856,9,126.0,137,2021-22,112,112,16.0,10,32,55,8,5.0,16,1,9,22.0,-1.6,-4.5,2021-01-12,426,1128
8210Y,SALVACAÑETE,CUENCA,1160,7,151.0,152,2023-24,145,151,12.0,6,30,100,11,88.0,113,0,25,40.0,-10.6,-16.3,2021-01-12,420,1051
8245Y,MIRA,CUENCA,815,8,149.0,151,2017-18,145,149,28.5,18,44,99,13,80.0,106,0,24,33.0,-8.3,-11.9,2021-01-13,477,1189
8270X,BICORP,VALENCIA,305,9,124.0,140,2018-19,107,128,64.0,52,101,32,25,4.0,11,0,5,25.0,-1.2,-3.0,2021-01-12,396,1111
8283X,ONTINYENT,VALENCIA,350,9,132.0,138,2017-18,114,135,64.0,47,93,32,28,6.0,16,1,9,21.0,-1.9,-4.3,2021-01-06,409,1151
8293X,XÀTIVA,VALENCIA,88,9,113.0,133,2018-19,97,120,87.0,79,116,28,35,3.0,8,0,4,18.0,-0.1,-2.9,2023-01-23,331,1028
8300X,CARCAIXENT,VALENCIA,25,9,115.0,137,2018-19,110,123,93.0,79,122,28,33,3.0,12,1,6,22.0,-0.7,-4.0,2023-01-22,373,1081
8309X,UTIEL,VALENCIA,758,9,145.0,151,2017-18,138,145,30.0,20,44,75,11,30.0,66,0,19,26.0,-4.6,-11.5,2021-01-12,517,1311
8325X,POLINYÀ DE XÚQUER,VALENCIA,11,8,98.5,120,2018-19,82,97,61.5,45,86,29,20,0.0,2,7,1,19.0,2.0,-0.6,2023-01-23,256,809
8337X,TURÍS,VALENCIA,186,9,121.0,133,2018-19,115,126,73.0,61,102,32,27,4.0,23,0,14,11.0,-1.4,-5.1,2023-01-23,396,1100
8354X,ALBARRACÍN,TERUEL,1130,9,150.0,151,2021-22,142,150,13.0,5,32,99,9,66.0,92,0,32,26.0,-7.2,-17.2,2021-01-12,530,1339
8368U,TERUEL,TERUEL,902,9,151.0,151,2017-18,149,151,27.0,16,44,74,12,67.0,96,0,29,21.0,-8.1,-21.0,2021-01-12,543,1354
8376,JABALOYAS,TERUEL,1430,9,149.0,151,2024-25,147,151,3.0,0,13,150,7,46.0,75,0,21,29.0,-6.4,-9.7,2023-03-01,540,1343
8381X,ADEMUZ,VALENCIA,705,9,150.0,151,2018-19,145,150,36.0,24,53,69,13,67.0,90,0,24,28.0,-8.4,-15.5,2021-01-12,535,1342
8395X,CHELVA,VALENCIA,515,9,130.0,144,2018-19,117,128,55.0,41,84,32,25,11.0,18,0,9,19.0,-1.1,-4.5,2021-01-12,423,1175
8409X,LLÍRIA,VALENCIA,198,9,128.0,138,2017-18,119,134,83.0,69,111,29,32,4.0,14,1,9,23.0,-1.1,-4.1,2026-01-07,407,1156
8414A,VALENCIA AEROPUERTO,VALENCIA,56,9,112.0,132,2017-18,100,109,87.0,64,113,24,32,3.0,13,0,5,20.0,-0.6,-2.3,2021-01-06,334,1022
8416,VALÈNCIA,VALENCIA,13,9,84.0,109,2018-19,62,77,91.0,72,117,22,37,0.0,0,9,0,21.0,3.2,0.8,2021-01-12,193,746
8416X,"VALENCIA, UPV",VALENCIA,6,8,79.0,108,2018-19,58,58,63.5,51,81,22,18,0.0,0,8,0,14.5,4.0,1.2,2018-02-09,163,654
8416Y,"VALÈNCIA, VIVEROS",VALENCIA,13,9,82.0,112,2018-19,65,84,86.0,65,114,22,33,0.0,0,9,0,19.0,3.6,1.1,2021-01-12,207,764
8439X,SEGORBE,CASTELLON,400,9,141.0,145,2020-21,126,137,50.0,32,79,58,14,8.0,16,0,6,21.0,-1.2,-4.0,2021-01-12,468,1241
8446Y,SAGUNT/SAGUNTO,VALENCIA,24,9,112.0,130,2018-19,100,114,82.0,68,115,20,37,3.0,6,1,3,20.0,0.7,-2.6,2021-01-12,322,1011
8458X,CEDRILLAS,TERUEL,1380,9,151.0,152,2023-24,149,151,6.0,0,17,150,7,82.0,101,0,39,29.0,-7.6,-15.1,2021-01-12,545,1356
8472A,MONTANEJOS,CASTELLON,601,9,138.0,146,2018-19,128,137,37.0,26,68,62,13,7.0,20,0,5,23.0,-1.0,-3.8,2021-01-06,477,1246
8486X,MOSQUERUELA,TERUEL,1515,9,151.0,151,2017-18,146,146,7.0,0,16,151,4,59.0,94,0,20,28.0,-7.9,-10.7,2023-02-27,544,1351
8489X,VILLAFRANCA DEL CID/VILAFRANCA,CASTELLON,1130,9,150.0,151,2017-18,129,150,10.0,5,34,108,10,59.0,77,0,32,27.0,-6.2,-10.0,2021-01-12,542,1331
8492X,ATZENETA DEL MAESTRAT,CASTELLON,420,9,145.0,147,2017-18,138,145,58.0,52,95,28,25,22.0,34,0,10,22.0,-3.3,-5.6,2021-01-12,501,1293
8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,9,93.0,124,2017-18,82,92,72.0,55,102,27,32,0.0,0,9,0,17.0,2.8,0.8,2021-01-05,242,871
8503Y,TORREBLANCA,CASTELLON,35,9,96.0,114,2017-18,82,100,63.0,53,95,27,18,0.0,0,9,0,17.0,3.2,0.7,2026-01-05,254,859
8520X,LA POBLA DE BENIFASSÀ-FREDES,CASTELLON,1165,7,150.0,151,2017-18,143,151,4.0,1,12,150,3,36.0,62,0,23,38.0,-5.2,-8.4,2023-02-27,415,1042
9001D,REINOSA,CANTABRIA,870,9,146.0,151,2018-19,137,149,6.0,1,9,121,5,76.0,87,0,30,41.0,-7.0,-17.5,2021-01-07,522,1311
9001S,ALTO CAMPOO,CANTABRIA,1650,9,147.0,151,2017-18,135,135,0.0,0,3,151,2,73.0,111,0,27,65.0,-7.4,-13.1,2018-02-27,527,1307
9012E,SANTA GADEA DE ALFOZ,BURGOS,915,9,150.0,151,2018-19,143,148,4.0,0,7,151,5,32.0,57,0,17,52.0,-4.2,-9.0,2021-01-07,541,1342
9016X,"VALDERREDIBLE, CUBILLO DE EBRO",CANTABRIA,770,9,147.0,151,2018-19,143,143,14.0,4,21,130,5,63.0,88,0,25,44.0,-8.6,-11.3,2019-01-06,526,1325
9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,720,9,146.0,151,2018-19,135,140,15.0,5,21,126,7,54.0,81,0,25,42.0,-7.7,-10.9,2019-01-06,522,1303
9027X,SARGENTES DE LA LORA,BURGOS,1017,5,143.0,151,2019-20,133,143,6.0,2,11,135,4,62.0,94,0,19,46.0,-6.6,-10.6,2021-01-07,284,713
9031C,BRIVIESCA,BURGOS,730,9,147.0,151,2021-22,143,148,8.0,0,18,151,6,36.0,55,0,27,38.0,-4.9,-7.6,2018-02-27,525,1325
9051,MEDINA DE POMAR,BURGOS,580,8,144.0,148,2024-25,139,140,16.5,9,22,123,10,39.5,57,0,19,43.5,-6.0,-8.6,2019-01-04,452,1150
9060X,LALASTRA,ARABA/ALAVA,910,9,148.0,151,2018-19,134,148,5.0,0,11,151,5,51.0,69,0,24,56.0,-5.1,-10.7,2021-01-07,523,1324
9069C,MIRANDA DE EBRO,BURGOS,460,9,142.0,147,2018-19,131,141,28.0,11,45,75,13,33.0,51,0,17,35.0,-4.9,-8.1,2019-01-06,503,1267
9073X,"AGURAIN/SALVATIERRA, OPAKUA",ARABA/ALAVA,660,9,145.0,149,2019-20,134,145,9.0,1,18,130,10,24.0,40,0,12,58.0,-3.3,-11.0,2021-01-07,499,1296
9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,9,146.0,149,2021-22,143,145,13.0,4,27,124,10,38.0,47,0,17,49.0,-4.4,-7.7,2019-01-06,518,1315
9091R,VITORIA-GASTEIZ AEROPUERTO,ARABA/ALAVA,513,9,146.0,148,2021-22,140,144,15.0,5,28,124,10,45.0,55,0,20,48.0,-5.9,-8.7,2017-12-03,514,1307
9111,BELORADO,BURGOS,820,7,148.0,150,2021-22,136,145,6.0,1,18,130,6,36.0,48,0,18,39.0,-3.7,-8.9,2018-02-27,398,1012
9115X,VALDEZCARAY,LA RIOJA,1630,9,151.0,152,2019-20,145,151,0.0,0,0,152,0,71.0,112,0,26,61.0,-8.2,-12.0,2018-02-27,539,1351
9121X,HARO,LA RIOJA,465,9,142.0,149,2018-19,136,145,19.0,5,31,125,10,19.0,32,0,9,39.0,-3.1,-4.9,2018-02-27,501,1284
9122I,LABASTIDA,ARABA/ALAVA,612,9,140.0,150,2018-19,135,139,13.0,2,29,119,9,22.0,34,0,14,44.0,-3.0,-6.4,2018-02-27,490,1273
9136X,"ANGUIANO, VALVANERA",LA RIOJA,1006,9,150.0,151,2017-18,147,150,5.0,0,11,151,7,46.0,72,0,22,55.0,-5.0,-8.0,2021-01-08,537,1348
9141V,NÁJERA,LA RIOJA,500,9,148.0,150,2018-19,145,147,22.0,9,34,98,10,24.0,35,0,10,38.0,-3.6,-5.3,2022-01-15,521,1329
9145X,LEZA,ARABA/ALAVA,575,9,144.0,149,2021-22,140,144,10.0,2,25,126,9,23.0,37,0,11,50.0,-3.5,-6.7,2021-01-07,498,1291
