indicativo,nombre,provincia,altitud,temporadas,calefaccion_mediana,calefaccion_peor,calefaccion_peor_temporada,calefaccion_mejor,calefaccion_ultima,terraza_mediana,terraza_peor,terraza_mejor,racha_sin_terraza_max,racha_terraza_max,heladas_mediana,heladas_peor,temporadas_sin_helada,racha_heladas_max,lluvia_mediana,tmin_p05_peor,tmin_min,tmin_min_fecha,calefaccion_fuera_nucleo,calefaccion_total
4093Y,OSA DE LA VEGA,CUENCA,763,9,147.0,150,2018-19,144,147,19.0,4,30,123,13,39.0,68,0,17,33.0,-6.0,-12.0,2021-01-12,523,1325
4095Y,BELMONTE,CUENCA,745,7,140.0,147,2018-19,130,146,24.0,5,37,122,13,24.0,47,0,14,32.0,-3.9,-7.0,2018-02-09,347,972
4096Y,MUNERA,ALBACETE,918,8,149.0,150,2017-18,142,149,18.5,10,28,100,12,62.0,89,0,31,33.5,-7.7,-13.0,2021-01-12,477,1182
4103X,TOMELLOSO,CIUDAD REAL,662,9,138.0,150,2018-19,116,130,26.0,13,46,80,13,32.0,63,0,27,28.0,-5.6,-8.0,2018-02-24,485,1231
4116I,ALMAGRO / FAMET,CIUDAD REAL,626,9,146.0,151,2018-19,138,141,31.0,15,46,122,13,45.0,61,0,26,31.0,-5.9,-7.7,2021-01-06,517,1303
4121,CIUDAD REAL,CIUDAD REAL,626,9,143.0,149,2018-19,129,146,29.0,15,46,100,13,24.0,33,0,17,33.0,-3.7,-6.3,2021-01-12,487,1271
4138Y,VILLANUEVA DE LOS INFANTES,CIUDAD REAL,900,9,141.0,149,2021-22,121,147,24.0,12,32,99,12,20.0,38,0,19,32.0,-3.9,-6.8,2023-02-28,488,1267
4147X,VALDEPEÑAS,CIUDAD REAL,700,9,144.0,148,2018-19,134,134,37.0,12,43,92,13,31.0,56,0,17,30.0,-4.6,-7.1,2021-01-12,499,1278
4148,VISO DEL MARQUÉS,CIUDAD REAL,804,9,150.0,151,2018-19,117,117,30.0,12,44,94,12,34.0,52,0,18,32.0,-4.3,-7.0,2025-01-14,497,1294
4193Y,EL ROBLEDO,CIUDAD REAL,587,8,140.0,148,2018-19,132,142,32.0,22,52,100,15,28.5,48,0,22,35.5,-4.2,-7.2,2021-01-06,434,1123
4210Y,ABENÓJAR,CIUDAD REAL,718,7,142.0,148,2021-22,137,145,31.0,15,42,99,13,18.0,27,0,22,37.0,-3.2,-6.0,2021-01-12,381,996
4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,533,8,141.0,146,2021-22,126,126,42.5,25,56,55,24,28.5,67,0,20,31.5,-5.2,-7.9,2018-02-24,425,1120
4236Y,PUERTO REY,CACERES,689,9,141.0,149,2021-22,131,139,28.0,17,34,93,13,15.0,24,1,10,38.0,-3.0,-5.5,2021-01-12,475,1267
4244X,HERRERA DEL DUQUE,BADAJOZ,447,9,131.0,142,2018-19,115,139,43.0,27,57,99,24,20.0,28,0,16,42.0,-3.4,-6.1,2021-01-12,444,1182
4245X,GUADALUPE,CACERES,660,9,142.0,149,2018-19,130,146,31.0,17,44,122,11,4.0,18,2,13,46.0,-1.6,-4.7,2021-01-05,483,1275
4260,PERALEDA DEL ZAUCEJO,BADAJOZ,542,9,142.0,148,2018-19,135,143,33.0,20,46,100,13,27.0,46,0,17,35.0,-4.5,-6.5,2018-02-24,500,1279
4263X,VALSEQUILLO,CORDOBA,575,9,142.0,147,2018-19,136,142,34.0,20,48,100,13,28.0,47,0,20,36.0,-4.6,-7.0,2023-02-28,494,1274
4267X,HINOJOSA DEL DUQUE,CORDOBA,551,9,137.0,145,2017-18,130,143,36.0,16,50,121,13,20.0,35,0,15,30.0,-3.6,-5.6,2021-01-06,476,1247
4300Y,ALMADÉN,CIUDAD REAL,535,9,130.0,142,2021-22,121,141,45.0,28,59,73,15,4.0,14,2,5,30.0,-1.5,-3.7,2021-01-03,431,1185
4325Y,CASTUERA,BADAJOZ,459,5,124.0,138,2021-22,109,134,33.0,19,50,99,15,2.0,9,0,4,35.0,-0.6,-1.8,2023-01-30,218,624
4339X,CAÑAMERO,CACERES,590,9,136.0,145,2021-22,125,136,28.0,17,30,107,10,3.0,14,0,5,44.0,-1.4,-3.7,2021-01-03,435,1207
4340,NAVALVILLAR DE PELA,BADAJOZ,313,9,126.0,139,2018-19,120,133,47.0,29,57,69,24,13.0,23,0,15,36.0,-2.8,-4.3,2021-01-12,414,1158
4347X,ZORITA,CACERES,413,9,122.0,138,2017-18,112,122,33.0,24,44,100,13,2.0,11,3,7,39.0,-0.6,-2.5,2021-01-06,391,1110
