indicativo,nombre,provincia,altitud_m,anio,dias_con_dato,noches_trop,noches_trop_jja,noches_ecua,noches_sobre_22,racha_max,tmin_minima,tmin_minima_fecha,tmin_maxima,tmin_maxima_fecha,tmin_p95,primera_trop,ultima_trop
0002I,VANDELLÒS,TARRAGONA,32.0,2018,363,79,64,4,37,24,0.5,2018-02-28,26.1,2018-08-08,22.8,2018-06-22,2018-09-22
0002I,VANDELLÒS,TARRAGONA,32.0,2019,364,69,60,2,29,16,3.0,2019-01-11,25.5,2019-08-10,22.8,2019-06-25,2019-10-13
0009X,ALFORJA,TARRAGONA,406.0,2017,365,5,5,0,0,3,-3.8,2017-01-18,21.8,2017-07-13,18.8,2017-07-13,2017-08-07
0009X,ALFORJA,TARRAGONA,406.0,2018,362,7,6,0,3,2,-1.5,2018-02-08,22.9,2018-08-08,18.5,2018-07-29,2018-09-03
0009X,ALFORJA,TARRAGONA,406.0,2019,364,4,4,0,1,2,-1.4,2019-01-11,22.7,2019-08-10,18.1,2019-08-07,2019-08-18
0009X,ALFORJA,TARRAGONA,406.0,2020,357,4,4,0,0,1,-0.7,2020-01-02,20.5,2020-08-22,18.3,2020-08-08,2020-08-22
0009X,ALFORJA,TARRAGONA,406.0,2021,307,1,1,0,0,1,-2.3,2021-01-06,21.2,2021-08-15,18.0,2021-08-15,2021-08-15
0009X,ALFORJA,TARRAGONA,406.0,2022,360,10,8,0,0,2,-2.8,2022-01-23,21.8,2022-09-05,19.7,2022-06-20,2022-09-05
0009X,ALFORJA,TARRAGONA,406.0,2023,351,15,14,0,5,4,-1.3,2023-01-23,22.6,2023-07-15,19.8,2023-07-14,2023-09-04
0009X,ALFORJA,TARRAGONA,406.0,2024,333,3,3,0,0,1,-0.5,2024-12-31,20.5,2024-08-13,18.6,2024-07-19,2024-08-28
0009X,ALFORJA,TARRAGONA,406.0,2025,365,13,13,0,1,4,-2.7,2025-01-15,22.7,2025-08-11,19.4,2025-07-01,2025-08-18
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2017,365,59,57,0,30,16,-5.3,2017-01-18,24.5,2017-08-07,22.7,2017-06-15,2017-09-06
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2018,365,60,54,3,23,22,-3.4,2018-02-09,25.7,2018-08-08,22.2,2018-06-23,2018-09-15
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2019,365,42,40,0,20,11,-2.7,2019-01-11,24.7,2019-08-07,22.2,2019-06-29,2019-09-02
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2020,366,36,36,0,10,9,-1.7,2020-01-04,23.2,2020-08-26,21.5,2020-06-28,2020-08-27
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2021,364,40,30,0,5,6,-5.1,2021-01-06,23.3,2021-08-23,21.3,2021-06-19,2021-09-25
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2022,365,57,48,0,25,18,-3.4,2022-01-16,24.1,2022-07-29,22.4,2022-06-18,2022-09-13
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2023,365,57,51,0,33,19,-4.0,2023-01-23,24.5,2023-07-15,23.3,2023-06-17,2023-09-17
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2024,365,47,45,0,12,18,-2.4,2024-01-13,23.1,2024-08-13,21.7,2024-06-08,2024-09-08
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2025,364,77,65,2,30,23,-2.9,2025-01-14,25.7,2025-07-19,22.7,2025-06-08,2025-09-28
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2017,365,71,67,3,53,18,0.2,2017-01-18,25.8,2017-08-03,23.3,2017-06-03,2017-09-08
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2018,365,92,69,7,51,32,1.2,2018-02-28,27.8,2018-08-05,23.5,2018-06-19,2018-09-30
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2019,365,76,63,0,45,18,2.1,2019-01-11,25.0,2019-07-23,23.5,2019-06-25,2019-10-13
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2020,366,77,61,4,50,23,3.7,2020-01-01,25.6,2020-08-01,24.3,2020-05-02,2020-09-24
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2021,352,70,52,0,44,14,1.8,2021-01-11,24.7,2021-08-14,23.2,2021-06-27,2021-09-28
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2022,364,113,82,20,73,42,3.0,2022-04-03,27.3,2022-08-14,25.1,2022-05-19,2022-10-23
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2023,365,100,70,12,61,24,2.0,2023-03-01,27.9,2023-08-22,24.6,2023-06-09,2023-10-18
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2024,366,72,65,8,52,22,4.6,2024-01-13,26.6,2024-08-01,24.4,2024-06-07,2024-10-16
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2025,334,101,81,16,63,31,3.3,2025-01-14,27.9,2025-08-11,24.8,2025-05-31,2025-10-22
0034X,VALLS,TARRAGONA,233.0,2017,365,20,19,0,2,8,-3.6,2017-01-17,22.9,2017-07-14,20.2,2017-06-25,2017-09-06
0034X,VALLS,TARRAGONA,233.0,2018,364,20,17,0,2,5,-2.6,2018-02-09,23.2,2018-08-08,20.1,2018-07-16,2018-09-03
0034X,VALLS,TARRAGONA,233.0,2019,365,20,20,0,3,5,-1.8,2019-02-17,23.2,2019-08-07,20.1,2019-07-06,2019-08-27
0034X,VALLS,TARRAGONA,233.0,2020,366,16,16,0,1,4,-1.7,2020-01-13,22.5,2020-08-22,19.9,2020-06-30,2020-08-27
0034X,VALLS,TARRAGONA,233.0,2021,365,18,12,0,0,4,-2.7,2021-01-05,21.8,2021-08-07,20.0,2021-07-03,2021-09-14
0034X,VALLS,TARRAGONA,233.0,2022,365,27,22,0,1,9,-3.3,2022-01-23,22.1,2022-07-30,20.4,2022-06-20,2022-09-13
0034X,VALLS,TARRAGONA,233.0,2023,365,34,33,0,14,7,-2.5,2023-01-23,23.7,2023-07-24,21.7,2023-06-22,2023-09-04
0034X,VALLS,TARRAGONA,233.0,2024,366,23,23,0,1,6,-0.9,2024-12-29,22.3,2024-08-18,20.3,2024-06-08,2024-08-28
0034X,VALLS,TARRAGONA,233.0,2025,364,32,27,0,4,7,-3.5,2025-01-15,23.5,2025-07-19,20.7,2025-06-29,2025-09-16
0042Y,TARRAGONA,TARRAGONA,55.0,2017,365,61,59,0,35,17,-2.8,2017-01-18,24.6,2017-08-03,22.8,2017-06-14,2017-09-06
0042Y,TARRAGONA,TARRAGONA,55.0,2018,363,74,60,2,31,21,-0.1,2018-02-13,27.2,2018-08-08,22.5,2018-06-22,2018-09-23
0042Y,TARRAGONA,TARRAGONA,55.0,2019,365,61,54,0,25,14,-1.0,2019-01-11,24.9,2019-08-07,22.6,2019-06-29,2019-10-13
0042Y,TARRAGONA,TARRAGONA,55.0,2020,366,55,54,0,25,19,1.6,2020-12-27,24.7,2020-08-14,22.3,2020-06-23,2020-09-16
0042Y,TARRAGONA,TARRAGONA,55.0,2021,365,69,56,0,25,13,-0.2,2021-01-11,24.0,2021-08-15,22.3,2021-06-12,2021-09-25
0042Y,TARRAGONA,TARRAGONA,55.0,2022,365,77,63,1,39,36,0.3,2022-01-06,25.1,2022-07-29,23.2,2022-06-08,2022-10-17
0042Y,TARRAGONA,TARRAGONA,55.0,2023,365,76,61,6,41,23,-0.6,2023-01-23,25.7,2023-07-15,24.0,2023-06-18,2023-10-06
0042Y,TARRAGONA,TARRAGONA,55.0,2024,346,55,49,0,29,22,2.3,2024-01-13,24.4,2024-07-19,22.7,2024-06-08,2024-10-15
0042Y,TARRAGONA,TARRAGONA,55.0,2025,365,76,66,3,30,18,1.5,2025-11-27,26.1,2025-07-19,22.7,2025-06-05,2025-09-20
0061X,PONTONS,BARCELONA,632.0,2017,316,1,1,0,0,1,-5.8,2017-01-17,20.3,2017-06-23,15.3,2017-06-23,2017-06-23
0061X,PONTONS,BARCELONA,632.0,2018,357,2,2,0,0,1,-4.3,2018-02-13,21.2,2018-08-08,16.9,2018-08-04,2018-08-08
0061X,PONTONS,BARCELONA,632.0,2019,325,1,1,0,0,1,-3.1,2019-01-04,20.1,2019-08-07,17.0,2019-08-07,2019-08-07
0061X,PONTONS,BARCELONA,632.0,2020,365,0,0,0,0,0,-3.1,2020-01-01,19.5,2020-08-09,16.6,,
0061X,PONTONS,BARCELONA,632.0,2021,364,0,0,0,0,0,-4.4,2021-01-06,19.2,2021-08-15,16.5,,
0061X,PONTONS,BARCELONA,632.0,2022,364,3,3,0,0,2,-3.8,2022-01-23,20.6,2022-08-12,17.8,2022-08-03,2022-08-13
0061X,PONTONS,BARCELONA,632.0,2023,365,7,6,0,0,4,-3.7,2023-02-11,21.6,2023-08-23,18.4,2023-07-21,2023-09-04
0061X,PONTONS,BARCELONA,632.0,2024,364,0,0,0,0,0,-2.5,2024-01-09,19.7,2024-07-19,16.9,,
0061X,PONTONS,BARCELONA,632.0,2025,328,3,3,0,0,1,-3.9,2025-01-13,20.5,2025-07-19,17.5,2025-07-02,2025-08-11
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2017,365,22,22,0,5,8,-3.8,2017-01-18,23.1,2017-07-14,20.2,2017-06-16,2017-08-29
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2018,361,26,23,0,5,8,-2.4,2018-02-09,23.1,2018-08-07,20.3,2018-07-07,2018-09-22
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2019,364,17,16,0,3,3,-3.2,2019-01-12,23.6,2019-08-07,19.8,2019-06-26,2019-09-02
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2020,361,20,20,0,2,5,-1.9,2020-12-27,22.6,2020-08-23,20.2,2020-06-30,2020-08-27
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2021,364,18,12,0,1,3,-4.0,2021-01-06,22.3,2021-07-06,20.0,2021-06-30,2021-09-15
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2022,364,31,24,0,2,8,-3.8,2022-01-15,22.6,2022-07-30,20.8,2022-06-15,2022-09-13
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2023,365,44,40,0,20,8,-4.6,2023-01-23,24.0,2023-07-21,22.2,2023-06-21,2023-09-05
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2024,366,28,27,0,3,8,-1.8,2024-01-13,22.5,2024-08-04,20.7,2024-06-08,2024-09-01
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177.0,2025,364,34,31,0,7,11,-3.1,2025-01-15,24.1,2025-07-19,20.7,2025-06-13,2025-09-15
0073X,SITGES,BARCELONA,58.0,2017,365,51,50,0,15,15,-0.8,2017-01-18,23.3,2017-07-20,21.7,2017-06-16,2017-09-06
0073X,SITGES,BARCELONA,58.0,2018,363,59,49,1,12,15,-0.5,2018-02-09,25.7,2018-08-04,21.7,2018-06-22,2018-09-24
0073X,SITGES,BARCELONA,58.0,2019,365,58,51,0,14,13,1.4,2019-01-24,23.7,2019-08-07,21.7,2019-06-25,2019-10-13
0073X,SITGES,BARCELONA,58.0,2020,366,50,48,0,16,22,1.8,2020-12-27,24.3,2020-08-12,21.9,2020-06-29,2020-09-18
0073X,SITGES,BARCELONA,58.0,2021,331,45,41,0,7,11,0.4,2021-01-06,23.2,2021-08-15,21.1,2021-06-13,2021-09-07
0073X,SITGES,BARCELONA,58.0,2022,364,67,54,0,24,35,1.5,2022-01-23,24.4,2022-08-12,22.2,2022-06-12,2022-09-16
0073X,SITGES,BARCELONA,58.0,2023,356,58,53,2,28,19,-1.8,2023-01-22,26.1,2023-09-04,22.8,2023-06-21,2023-09-13
0073X,SITGES,BARCELONA,58.0,2024,360,48,44,0,15,19,1.3,2024-01-13,23.9,2024-08-22,21.8,2024-06-08,2024-09-07
0073X,SITGES,BARCELONA,58.0,2025,362,74,63,0,32,22,1.4,2025-01-15,24.1,2025-08-16,22.6,2025-06-10,2025-10-11
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2017,361,74,70,4,50,19,-0.6,2017-01-18,26.1,2017-08-05,24.0,2017-06-03,2017-09-06
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2018,364,94,73,7,55,59,0.6,2018-02-09,27.3,2018-08-05,23.4,2018-06-12,2018-09-24
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2019,365,79,67,3,49,34,1.3,2019-01-11,26.0,2019-08-07,23.4,2019-06-23,2019-10-13
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2020,366,69,62,2,40,25,2.3,2020-12-27,25.2,2020-08-02,23.3,2020-06-22,2020-09-19
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2021,359,88,71,1,39,23,-0.5,2021-01-06,25.4,2021-08-15,23.1,2021-06-04,2021-09-26
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2022,355,100,81,6,72,45,1.3,2022-01-15,26.7,2022-08-02,24.3,2022-06-05,2022-10-17
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2023,360,86,72,10,54,34,-0.8,2023-01-22,26.8,2023-08-24,24.3,2023-06-09,2023-10-05
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2024,363,76,69,0,43,61,2.5,2024-01-09,24.9,2024-08-11,23.6,2024-06-08,2024-10-15
0076,BARCELONA AEROPUERTO,BARCELONA,4.0,2025,364,92,78,12,62,32,0.6,2025-01-14,26.6,2025-08-11,24.4,2025-06-01,2025-09-20
0092X,BERGA,BARCELONA,682.0,2017,365,6,6,0,0,4,-5.8,2017-01-18,21.8,2017-08-03,19.3,2017-07-14,2017-08-06
0092X,BERGA,BARCELONA,682.0,2018,349,6,6,0,0,5,-5.7,2018-02-09,21.5,2018-08-03,18.1,2018-07-30,2018-08-05
0092X,BERGA,BARCELONA,682.0,2019,365,5,5,0,1,4,-5.5,2019-01-11,22.6,2019-06-29,18.8,2019-06-25,2019-06-30
0092X,BERGA,BARCELONA,682.0,2020,366,2,2,0,0,1,-4.2,2020-12-27,21.5,2020-08-01,18.5,2020-08-01,2020-08-08
0092X,BERGA,BARCELONA,682.0,2021,365,4,4,0,2,4,-5.6,2021-01-08,23.6,2021-08-12,18.0,2021-08-12,2021-08-15
0092X,BERGA,BARCELONA,682.0,2022,345,9,9,0,0,3,-3.3,2022-01-06,21.8,2022-07-17,19.0,2022-06-15,2022-08-13
0092X,BERGA,BARCELONA,682.0,2023,353,20,20,0,3,5,-5.3,2023-01-30,22.9,2023-08-21,20.2,2023-06-21,2023-08-24
0092X,BERGA,BARCELONA,682.0,2024,363,10,10,0,0,3,-3.7,2024-01-09,22.0,2024-08-10,19.3,2024-07-19,2024-08-11
0092X,BERGA,BARCELONA,682.0,2025,364,11,11,0,1,3,-4.4,2025-01-14,22.7,2025-08-17,19.6,2025-06-14,2025-08-17
0106X,BALSARENY,BARCELONA,361.0,2017,364,3,3,0,1,1,-10.0,2017-01-18,22.7,2017-07-14,17.7,2017-07-14,2017-08-06
0106X,BALSARENY,BARCELONA,361.0,2018,358,1,0,0,0,1,-7.2,2018-02-09,20.1,2018-09-03,17.7,2018-09-03,2018-09-03
0106X,BALSARENY,BARCELONA,361.0,2019,362,2,2,0,0,2,-7.5,2019-01-11,21.3,2019-08-08,16.9,2019-08-07,2019-08-08
0106X,BALSARENY,BARCELONA,361.0,2020,345,2,2,0,0,1,-6.4,2020-12-27,20.8,2020-08-22,17.1,2020-06-30,2020-08-22
0106X,BALSARENY,BARCELONA,361.0,2021,363,3,3,0,1,1,-9.5,2021-01-06,22.2,2021-08-12,17.1,2021-08-07,2021-08-16
0106X,BALSARENY,BARCELONA,361.0,2022,362,0,0,0,0,0,-8.5,2022-01-16,20.0,2022-07-26,18.0,,
0106X,BALSARENY,BARCELONA,361.0,2023,365,12,12,0,0,5,-8.4,2023-01-23,21.9,2023-07-16,19.4,2023-07-11,2023-08-24
0106X,BALSARENY,BARCELONA,361.0,2024,362,1,1,0,0,1,-6.9,2024-01-09,20.6,2024-07-19,18.1,2024-07-19,2024-07-19
0106X,BALSARENY,BARCELONA,361.0,2025,361,2,2,0,1,1,-8.6,2025-01-14,22.1,2025-07-19,18.2,2025-07-10,2025-07-19
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2017,363,1,1,0,0,1,-8.2,2017-12-03,20.9,2017-07-14,16.9,2017-07-14,2017-07-14
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2018,365,0,0,0,0,0,-10.1,2018-02-27,19.8,2018-08-03,16.8,,
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2019,364,1,1,0,0,1,-7.5,2019-01-11,20.8,2019-06-25,17.2,2019-06-25,2019-06-25
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2020,365,0,0,0,0,0,-5.8,2020-12-27,18.9,2020-06-30,17.0,,
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2021,364,2,2,0,0,1,-7.9,2021-01-06,21.1,2021-08-12,16.4,2021-08-12,2021-08-15
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2022,365,1,1,0,0,1,-6.1,2022-01-16,20.3,2022-08-13,17.8,2022-08-13,2022-08-13
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2023,364,6,6,0,0,4,-7.5,2023-01-30,20.9,2023-08-21,18.3,2023-07-11,2023-08-23
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2024,365,0,0,0,0,0,-6.5,2024-01-09,19.7,2024-08-10,17.4,,
0114X,PRATS DE LLUÇANÈS,BARCELONA,700.0,2025,365,2,2,0,0,2,-7.3,2025-01-14,21.6,2025-07-18,18.3,2025-07-18,2025-07-19
0120X,MOIÀ,BARCELONA,742.0,2017,357,7,7,0,2,6,-6.0,2017-01-18,22.8,2017-08-03,18.7,2017-06-16,2017-08-05
0120X,MOIÀ,BARCELONA,742.0,2018,365,5,5,0,0,5,-4.8,2018-02-08,21.9,2018-08-05,17.9,2018-08-02,2018-08-06
0120X,MOIÀ,BARCELONA,742.0,2019,364,9,9,0,1,5,-5.2,2019-01-11,23.1,2019-06-29,19.2,2019-06-26,2019-08-09
0120X,MOIÀ,BARCELONA,742.0,2020,365,5,5,0,0,2,-2.5,2020-12-27,21.2,2020-08-01,18.3,2020-07-31,2020-08-26
0120X,MOIÀ,BARCELONA,742.0,2021,360,5,5,0,3,4,-5.6,2021-01-06,23.4,2021-08-12,17.7,2021-07-23,2021-08-15
0120X,MOIÀ,BARCELONA,742.0,2022,364,18,18,0,4,6,-3.7,2022-01-22,22.5,2022-08-13,20.0,2022-06-15,2022-08-13
0120X,MOIÀ,BARCELONA,742.0,2023,365,14,13,0,4,6,-4.7,2023-01-22,24.0,2023-08-21,19.7,2023-07-11,2023-09-04
0120X,MOIÀ,BARCELONA,742.0,2024,366,12,12,0,4,4,-2.9,2024-01-13,22.7,2024-08-01,19.3,2024-07-19,2024-08-13
0120X,MOIÀ,BARCELONA,742.0,2025,365,21,21,0,2,9,-2.4,2025-01-13,22.9,2025-08-17,20.3,2025-06-14,2025-08-26
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2017,365,16,16,0,4,6,-6.6,2017-01-18,23.2,2017-08-08,20.0,2017-06-16,2017-08-27
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2018,365,16,14,0,0,6,-4.5,2018-02-09,21.9,2018-08-12,19.8,2018-07-24,2018-09-04
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2019,355,7,7,0,2,5,-4.8,2019-01-11,22.7,2019-08-10,18.9,2019-08-07,2019-08-20
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2020,366,12,12,0,1,3,-3.6,2020-12-27,23.0,2020-08-22,19.2,2020-06-30,2020-08-28
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2021,355,6,6,1,1,2,-5.2,2021-01-06,26.0,2021-08-12,18.9,2021-08-07,2021-08-27
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2022,334,14,13,0,1,4,-2.8,2022-12-03,22.8,2022-06-15,20.0,2022-06-15,2022-09-06
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2023,354,23,23,0,8,8,-6.0,2023-01-21,24.0,2023-07-16,20.8,2023-06-22,2023-08-26
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2024,366,14,14,0,0,5,-4.1,2024-01-09,21.5,2024-07-16,19.8,2024-07-11,2024-08-27
0149D,MANRESA (LA CULLA),BARCELONA,291.0,2025,334,13,12,0,1,3,-2.9,2025-11-27,23.1,2025-07-19,19.9,2025-06-29,2025-09-08
0149X,MANRESA,BARCELONA,291.0,2017,352,13,13,0,3,6,-6.9,2017-01-18,22.8,2017-07-14,19.5,2017-06-25,2017-08-27
0149X,MANRESA,BARCELONA,291.0,2018,356,10,9,0,0,6,-4.6,2018-02-09,21.3,2018-08-05,19.3,2018-07-30,2018-09-03
0149X,MANRESA,BARCELONA,291.0,2019,358,5,5,0,2,2,-5.0,2019-01-11,22.5,2019-08-10,18.9,2019-08-07,2019-08-16
0149X,MANRESA,BARCELONA,291.0,2020,355,9,9,0,1,2,-3.6,2020-12-27,22.6,2020-08-22,19.0,2020-06-30,2020-08-27
0149X,MANRESA,BARCELONA,291.0,2021,364,8,7,0,1,3,-5.3,2021-01-06,24.7,2021-08-12,19.1,2021-08-07,2021-09-07
0149X,MANRESA,BARCELONA,291.0,2022,359,14,13,0,1,3,-6.2,2022-01-16,23.1,2022-06-15,19.8,2022-06-15,2022-09-06
0149X,MANRESA,BARCELONA,291.0,2023,360,25,25,0,9,6,-6.0,2023-01-21,23.6,2023-07-16,20.9,2023-06-22,2023-08-25
0149X,MANRESA,BARCELONA,291.0,2024,365,13,13,0,0,4,-4.4,2024-01-09,21.7,2024-07-19,19.7,2024-07-11,2024-08-27
0149X,MANRESA,BARCELONA,291.0,2025,365,11,10,0,1,3,-5.8,2025-01-14,23.1,2025-07-19,19.8,2025-06-29,2025-09-08
0158O,MONTSERRAT,BARCELONA,738.0,2017,365,25,25,0,8,8,-3.0,2017-12-02,24.5,2017-08-03,21.0,2017-06-11,2017-08-28
0158O,MONTSERRAT,BARCELONA,738.0,2018,365,15,15,0,7,10,-2.0,2018-02-28,25.0,2018-08-04,20.0,2018-07-14,2018-08-22
0158O,MONTSERRAT,BARCELONA,738.0,2019,361,28,27,3,9,8,-3.0,2019-02-04,26.8,2019-06-28,20.8,2019-06-26,2019-09-17
0158O,MONTSERRAT,BARCELONA,738.0,2020,365,22,21,0,6,7,-3.0,2020-12-27,23.5,2020-07-31,20.7,2020-07-10,2020-09-17
0158O,MONTSERRAT,BARCELONA,738.0,2021,365,13,13,2,8,5,-5.2,2021-01-12,25.7,2021-08-12,18.9,2021-06-14,2021-08-15
0158O,MONTSERRAT,BARCELONA,738.0,2022,343,34,32,1,13,11,-3.1,2022-01-22,26.0,2022-06-17,21.7,2022-05-22,2022-09-07
0158O,MONTSERRAT,BARCELONA,738.0,2023,353,31,28,4,14,6,-4.2,2023-01-30,28.0,2023-08-21,21.9,2023-06-21,2023-09-30
0158O,MONTSERRAT,BARCELONA,738.0,2024,366,23,23,2,11,9,-1.8,2024-01-13,27.2,2024-07-31,21.0,2024-07-11,2024-08-23
0158O,MONTSERRAT,BARCELONA,738.0,2025,359,33,33,4,18,14,-1.4,2025-01-03,27.8,2025-08-17,21.9,2025-06-11,2025-08-26
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2017,365,25,25,0,6,7,-3.0,2017-01-18,24.3,2017-08-03,20.6,2017-06-11,2017-08-28
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2018,365,14,14,0,7,9,-4.4,2018-02-13,24.2,2018-08-04,19.6,2018-07-14,2018-08-22
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2019,365,26,26,2,10,6,-3.2,2019-02-04,26.4,2019-06-29,20.4,2019-06-26,2019-08-31
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2020,366,21,20,0,7,6,-3.2,2020-12-27,23.1,2020-07-31,20.3,2020-07-10,2020-09-17
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2021,363,14,14,1,6,6,-5.0,2021-01-12,26.3,2021-08-12,18.9,2021-06-14,2021-08-15
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2022,363,35,33,1,13,16,-2.9,2022-01-22,25.7,2022-06-17,21.6,2022-05-22,2022-09-07
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2023,365,30,28,4,11,6,-3.9,2023-01-30,27.3,2023-08-21,21.4,2023-06-21,2023-09-05
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2024,364,23,23,2,11,9,-1.5,2024-01-13,26.2,2024-07-30,20.7,2024-07-11,2024-08-23
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,2025,363,36,36,3,19,11,-1.2,2025-01-03,27.0,2025-08-17,22.2,2025-06-11,2025-08-26
0171X,IGUALADA,BARCELONA,313.0,2017,343,22,22,0,3,9,-4.9,2017-01-18,23.3,2017-08-06,20.4,2017-06-25,2017-08-29
0171X,IGUALADA,BARCELONA,313.0,2018,363,18,15,0,4,7,-3.1,2018-02-09,22.6,2018-08-08,20.0,2018-07-11,2018-09-04
0171X,IGUALADA,BARCELONA,313.0,2019,363,6,6,0,2,2,-2.7,2019-02-15,22.8,2019-08-07,18.8,2019-08-07,2019-08-19
0171X,IGUALADA,BARCELONA,313.0,2020,366,5,5,0,0,1,-2.1,2020-01-15,21.6,2020-08-22,18.9,2020-07-24,2020-08-27
0171X,IGUALADA,BARCELONA,313.0,2021,365,19,14,0,2,5,-3.9,2021-01-06,24.0,2021-08-12,20.1,2021-06-30,2021-09-15
0171X,IGUALADA,BARCELONA,313.0,2022,364,19,14,0,0,3,-4.4,2022-01-23,21.5,2022-07-30,20.1,2022-06-15,2022-09-13
0171X,IGUALADA,BARCELONA,313.0,2023,365,31,30,0,10,8,-3.7,2023-01-23,23.5,2023-08-22,20.9,2023-06-22,2023-09-04
0171X,IGUALADA,BARCELONA,313.0,2025,333,13,12,0,2,3,-1.1,2025-11-28,22.3,2025-07-19,19.8,2025-06-29,2025-09-08
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,2017,358,15,15,0,2,7,-4.5,2017-01-18,24.7,2017-08-03,19.7,2017-06-11,2017-08-18
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,2018,346,17,17,0,6,10,-4.5,2018-02-27,25.0,2018-08-05,19.6,2018-06-21,2018-08-23
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,2019,360,21,21,2,6,5,-3.1,2019-01-11,27.1,2019-06-28,20.1,2019-06-27,2019-08-31
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,2020,362,14,13,0,3,6,-1.0,2020-12-27,23.0,2020-08-09,19.7,2020-07-23,2020-09-17
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,2022,365,41,39,0,12,11,-1.5,2022-01-22,25.0,2022-07-16,21.6,2022-05-22,2022-09-12
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,2023,360,20,19,3,6,7,-2.9,2023-03-01,26.9,2023-08-23,20.4,2023-06-25,2023-09-30
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,2024,331,16,16,0,4,6,-0.4,2024-01-12,24.8,2024-07-30,20.0,2024-07-19,2024-08-22
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647.0,2025,355,30,30,3,15,11,-0.2,2025-01-14,26.6,2025-08-16,21.5,2025-06-11,2025-08-18
