rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmax_media_verano,tmax_normal_verano,tmax_anomalia,tmax_tendencia,tmax_esperada,residual,score_refugio
197,0394X,LA VALL DE BIANYA,GIRONA,350,42.211,2.472,9.000,30.774,,,0.085,31.617,-0.843,-1.285
198,6057X,MANILVA,MALAGA,140,36.378,-5.260,9.000,29.769,,,0.097,31.001,-1.232,-1.280
199,1342X,RIBADEO,LUGO,43,43.541,-7.083,9.000,22.105,,,0.215,27.139,-5.033,-1.268
200,B228,"PALMA, PUERTO",BALEARES,3,39.554,2.625,9.000,30.462,,,0.154,33.508,-3.046,-1.266
201,0073X,SITGES,BARCELONA,58,41.244,1.853,9.000,28.658,,,0.173,32.295,-3.637,-1.259
202,9562X,MORELLA,CASTELLON,990,40.622,-0.102,9.000,27.176,,,0.148,29.954,-2.777,-1.246
203,8050X,JÁVEA/ XÀBIA,ALICANTE,15,38.784,0.167,9.000,31.355,,,0.104,32.685,-1.329,-1.243
204,B603X,ARTÀ-COLÒNIA DE SANT PERE,ILLES BALEARS,99,39.723,3.279,9.000,31.013,,,0.142,33.561,-2.548,-1.242
205,C329Z,SAN SEBASTIÁN DE LA GOMERA,STA. CRUZ DE TENERIFE,15,28.090,-17.111,9.000,27.407,,,0.125,29.405,-1.998,-1.242
206,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43,39.957,-0.072,9.000,30.635,,,0.106,32.000,-1.364,-1.234
207,C317B,AGULO,STA. CRUZ DE TENERIFE,765,28.179,-17.213,9.000,23.202,,,0.210,27.943,-4.742,-1.232
208,C430E,IZAÑA,SANTA CRUZ DE TENERIFE,2369,28.308,-16.500,9.000,22.078,,,0.163,25.278,-3.200,-1.225
209,1002Y,"BAZTAN, IRURITA",NAVARRA,183,43.136,-1.543,9.000,26.924,,,0.149,29.642,-2.718,-1.219
210,9012E,SANTA GADEA DE ALFOZ,BURGOS,915,42.951,-3.957,9.000,22.756,,,0.204,27.258,-4.503,-1.218
211,B614E,MANACOR,ILLES BALEARS,100,39.557,3.218,9.000,31.260,,,0.138,33.605,-2.345,-1.212
212,0114X,PRATS DE LLUÇANÈS,BARCELONA,700,42.007,2.027,9.000,30.204,,,0.088,30.859,-0.655,-1.205
213,0324A,RIPOLL,GIRONA,675,42.191,2.196,9.000,29.951,,,0.097,30.902,-0.950,-1.199
214,1475X,SANTIAGO DE COMPOSTELA,A CORUÑA,240,42.876,-8.556,9.000,25.092,,,0.108,26.388,-1.296,-1.193
215,0222X,CALDES DE MONTBUI,BARCELONA,175,41.613,2.168,9.000,31.097,,,0.098,32.063,-0.966,-1.192
216,6000A,MELILLA,MELILLA,52,35.276,-2.956,9.000,28.960,,,0.185,32.726,-3.766,-1.186
217,C406G,"LA OROTAVA, CAÑADAS TEIDE",STA. CRUZ DE TENERIFE,2150,28.224,-16.626,9.000,25.815,,,0.066,25.658,0.157,-1.179
218,0016A,REUS AEROPUERTO,TARRAGONA,71,41.145,1.164,9.000,30.742,,,0.109,31.994,-1.253,-1.171
219,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513,42.882,-2.735,9.000,26.862,,,0.125,28.595,-1.733,-1.165
220,C018J,TÍAS,LAS PALMAS,376,28.970,-13.690,9.000,25.658,,,0.203,29.944,-4.286,-1.162
221,C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,28.047,-16.561,9.000,28.507,,,0.105,29.591,-1.084,-1.162
222,1410X,SOBRADO,A CORUÑA,500,43.038,-8.022,9.000,24.354,,,0.126,26.088,-1.734,-1.153
223,C449F,ANAGA ,STA. CRUZ DE TENERIFE,19,28.508,-16.196,9.000,27.968,,,0.125,29.638,-1.670,-1.147
224,C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",LAS PALMAS,41,27.812,-15.453,9.000,29.010,,,0.112,30.253,-1.243,-1.140
225,9632X,TUIXENT,LLEIDA,1196,42.230,1.569,9.000,26.534,,,0.171,29.638,-3.104,-1.127
226,C117A,PUNTAGORDA,STA. CRUZ DE TENERIFE,684,28.761,-17.986,9.000,25.197,,,0.146,27.473,-2.276,-1.121
227,0252D,ARENYS DE MAR,BARCELONA,74,41.587,2.540,9.000,30.012,,,0.152,32.433,-2.420,-1.105
228,1399,VIMIANZO,A CORUÑA,287,43.057,-9.047,9.000,22.481,,,0.186,25.992,-3.512,-1.099
229,6076X,"MARBELLA, PUERTO",MALAGA,2,36.484,-4.953,9.000,26.651,,,0.223,31.349,-4.698,-1.096
230,1542,PUERTO DE LEITARIEGOS,ASTURIAS,1530,42.994,-6.414,9.000,19.981,,,0.233,24.968,-4.987,-1.080
231,0061X,PONTONS,BARCELONA,632,41.417,1.519,9.000,28.479,,,0.159,31.010,-2.532,-1.073
232,0429X,FIGUERES,GIRONA,45,42.259,2.960,9.000,30.930,,,0.126,32.382,-1.452,-1.070
233,B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,842,39.793,2.788,9.000,27.788,,,0.210,31.940,-4.152,-1.060
234,0016B,REUS (CENTRE LECTURA),TARRAGONA,118,41.154,1.109,9.000,30.238,,,0.133,31.879,-1.641,-1.056
235,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,43.523,-5.621,9.000,23.488,,,0.217,27.858,-4.370,-1.053
236,B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030,39.735,2.713,9.000,26.071,,,0.252,31.586,-5.515,-1.049
237,C117Z,TIJARAFE,STA. CRUZ DE TENERIFE,733,28.675,-17.937,9.000,25.483,,,0.145,27.444,-1.961,-1.042
238,B691,LA PUEBLA (SA CANOVA),BALEARES,40,39.748,3.015,9.000,33.244,,,0.094,33.535,-0.291,-1.041
239,1060X,AMURRIO,ARABA/ALAVA,240,43.050,-3.006,9.000,26.243,,,0.166,28.894,-2.651,-1.037
240,8036Y,BENIDORM,ALICANTE,36,38.544,-0.138,8.000,31.310,,,0.126,32.612,-1.301,-1.028
241,1078C,BALMASEDA,BIZKAIA,210,43.181,-3.210,9.000,26.073,,,0.170,28.796,-2.723,-1.026
242,8489X,VILLAFRANCA DEL CID/VILAFRANCA,CASTELLON,1130,40.433,-0.256,9.000,26.875,,,0.174,29.709,-2.835,-1.015
243,B925,SANT ANTONI DE PORTMANY,BALEARES,32,38.963,1.321,8.000,32.037,,,0.122,33.111,-1.074,-1.005
244,C101A,ROQUE DE LOS MUCHACHOS,SANTA CRUZ DE TENERIFE,2223,28.756,-17.895,6.000,22.246,,,0.164,24.696,-2.450,-1.003
245,8439X,SEGORBE,CASTELLON,400,39.796,-0.485,9.000,30.096,,,0.126,31.225,-1.128,-0.982
246,1135C,"LOS TOJOS, BÁRCENA MAYOR",CANTABRIA,460,43.147,-4.214,9.000,23.872,,,0.217,27.885,-4.013,-0.951
247,8325X,POLINYÀ DE XÚQUER,VALENCIA,11,39.184,-0.371,9.000,30.193,,,0.159,32.263,-2.070,-0.941
248,1083B,SOPUERTA,BIZKAIA,177,43.280,-3.169,9.000,25.600,,,0.195,28.832,-3.231,-0.934
249,9001D,REINOSA,CANTABRIA,870,42.992,-4.161,9.000,23.823,,,0.200,27.228,-3.405,-0.932
250,9091R,VITORIA-GASTEIZ AEROPUERTO,ARABA/ALAVA,513,42.872,-2.733,9.000,27.052,,,0.144,28.601,-1.549,-0.931
251,9451F,"PANTICOSA, PETROSOS",HUESCA,1850,42.704,-0.275,6.000,19.716,,,0.330,27.369,-7.653,-0.931
252,C419X,ADEJE,STA. CRUZ DE TENERIFE,130,28.081,-16.711,9.000,27.851,,,0.144,29.385,-1.534,-0.930
253,5973,CÁDIZ,CADIZ,2,36.500,-6.258,9.000,27.706,,,0.189,30.735,-3.029,-0.930
254,C316I,ARURE,STA. CRUZ DE TENERIFE,916,28.128,-17.315,8.000,26.067,,,0.145,27.642,-1.575,-0.929
255,5000C,CEUTA,CEUTA,87,35.889,-5.347,9.000,28.215,,,0.191,31.276,-3.060,-0.922
256,1199X,"PILOÑA, BARGAÉU",ASTURIAS,280,43.378,-5.397,9.000,23.736,,,0.215,27.562,-3.826,-0.911
257,6056X,SAN ROQUE  ,CADIZ,1,36.273,-5.284,9.000,28.905,,,0.172,31.291,-2.386,-0.909
258,0421E,ESPOLLA 'LES ALBERES',GIRONA,100,42.390,3.006,9.000,30.848,,,0.142,32.244,-1.397,-0.900
259,C648N,"TELDE, CENTRO FORESTAL DORAMAS",LAS PALMAS,344,27.988,-15.458,9.000,27.432,,,0.170,29.618,-2.186,-0.865
260,0349,SANT JULIÀ  DE VILATORTA,BARCELONA,578,41.926,2.317,8.000,30.046,,,0.141,31.254,-1.208,-0.863
261,C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",STA. CRUZ DE TENERIFE,868,28.526,-16.280,9.000,23.807,,,0.235,28.034,-4.227,-0.843
262,4061X,QUINTANAR DE LA ORDEN,TOLEDO,691,39.597,-3.048,9.000,30.753,,,0.071,29.586,1.166,-0.840
263,C668V,AGAETE - SUERTE ALTA,LAS PALMAS,352,28.094,-15.675,8.000,26.170,,,0.208,29.454,-3.285,-0.824
264,9453X,"BIESCAS, EMBALSE DE BÚBAL",HUESCA,1100,42.699,-0.319,9.000,25.884,,,0.195,28.725,-2.842,-0.819
265,1354C,FERROL,A CORUÑA,4,43.476,-8.262,9.000,23.732,,,0.199,26.690,-2.958,-0.817
266,6329X,CABO DE GATA,ALMERIA,42,36.722,-2.193,9.000,28.497,,,0.230,32.455,-3.958,-0.815
267,1719,A CAÑIZA,PONTEVEDRA,560,42.218,-8.281,9.000,24.991,,,0.147,26.223,-1.231,-0.813
268,6272X,CASTELL DE FERRO,GRANADA,235,36.734,-3.380,9.000,29.789,,,0.164,31.543,-1.755,-0.804
269,0321,CAMPDEVANOL,GIRONA,731,42.223,2.167,8.000,29.317,,,0.155,30.772,-1.455,-0.802
270,1078I,GÜEÑES,BIZKAIA,208,43.203,-3.105,8.000,25.115,,,0.224,28.839,-3.724,-0.800
271,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,36.718,-4.482,9.000,31.588,,,0.104,31.370,0.219,-0.796
272,6083X,MARBELLA,MALAGA,2,36.483,-4.740,9.000,27.111,,,0.245,31.449,-4.338,-0.776
273,5906X,CHIPIONA,CADIZ,10,36.750,-6.401,9.000,28.767,,,0.168,30.543,-1.776,-0.767
274,C639M,"MASPALOMAS, C. INSULAR TURISMO ",LAS PALMAS,45,27.758,-15.576,9.000,28.612,,,0.163,30.213,-1.601,-0.767
275,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,38.283,-0.571,9.000,31.090,,,0.158,32.513,-1.423,-0.761
276,6293X,ROQUETAS DE MAR,ALMERIA,3,36.687,-2.702,9.000,28.235,,,0.239,32.306,-4.071,-0.760
277,9698U,TALARN,LLEIDA,807,42.205,0.865,9.000,30.561,,,0.099,30.034,0.527,-0.756
278,9436X,FONFRÍA,TERUEL,1255,40.995,-1.087,9.000,26.950,,,0.173,28.843,-1.893,-0.755
279,C612F,"TEJEDA, CRUZ DE TEJEDA",LAS PALMAS,1514,28.007,-15.599,9.000,24.631,,,0.201,27.399,-2.767,-0.741
280,7031,SAN JAVIER AEROPUERTO,MURCIA,4,37.789,-0.803,9.000,29.496,,,0.214,32.697,-3.201,-0.739
281,9073X,"AGURAIN/SALVATIERRA, OPAKUA",ARABA/ALAVA,660,42.830,-2.360,9.000,25.979,,,0.195,28.524,-2.545,-0.732
282,9660,SANT MAURICI (LLAC),LLEIDA,1907,42.581,1.008,9.000,20.999,,,0.329,27.916,-6.917,-0.732
283,B526X,ARTÀ,ILLES BALEARS,110,39.689,3.351,9.000,30.889,,,0.201,33.590,-2.701,-0.723
284,3266A,PUERTO ALTO DEL LEÓN,MADRID,1532,40.706,-4.142,9.000,25.221,,,0.174,27.042,-1.820,-0.719
285,8416Y,"VALÈNCIA, VIVEROS",VALENCIA,13,39.481,-0.366,9.000,29.916,,,0.187,32.130,-2.214,-0.719
286,8416,VALÈNCIA,VALENCIA,13,39.481,-0.366,9.000,29.948,,,0.186,32.130,-2.182,-0.717
287,9726E,LLORAC,TARRAGONA,657,41.557,1.309,9.000,29.177,,,0.169,30.804,-1.627,-0.715
288,8446Y,SAGUNT/SAGUNTO,VALENCIA,24,39.701,-0.259,9.000,31.073,,,0.150,32.062,-0.988,-0.713
289,1387E,A CORUÑA AEROPUERTO,A CORUÑA,98,43.307,-8.372,9.000,23.457,,,0.215,26.542,-3.085,-0.702
290,0367,GIRONA AEROPUERTO,GIRONA,143,41.911,2.763,9.000,31.914,,,0.132,32.265,-0.351,-0.693
291,7127X,BULLAS,MURCIA,690,38.049,-1.695,9.000,32.208,,,0.084,30.908,1.300,-0.678
292,4089A,ALBERCA DE ZANCARA,CUENCA,858,39.517,-2.496,9.000,33.493,,,0.005,29.573,3.920,-0.669
293,9294E,"BARDENAS REALES, BASE AÉREA",NAVARRA,295,42.199,-1.475,9.000,31.843,,,0.065,29.886,1.957,-0.664
294,0294B,LA BISBAL (D'EMPORDA 3),GIRONA,51,41.968,3.042,9.000,31.027,,,0.171,32.539,-1.512,-0.663
295,4554X,CARTAYA,HUELVA,15,37.218,-7.084,9.000,29.677,,,0.135,30.007,-0.330,-0.659
296,3391,SOTILLO DE LA ADRADA,AVILA,630,40.289,-4.591,9.000,34.851,,,-0.063,28.672,6.179,-0.655
297,C319W,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,190,28.054,-17.306,9.000,28.415,,,0.145,29.010,-0.594,-0.648
298,1406X,MAZARICOS,A CORUÑA,340,42.935,-8.994,9.000,22.981,,,0.218,25.975,-2.994,-0.647
299,C648C,AGÜIMES,LAS PALMAS,306,27.902,-15.454,9.000,30.117,,,0.115,29.727,0.390,-0.644
300,6307X,LÁUJAR DE ANDARAX,ALMERIA,1510,37.033,-2.913,9.000,28.263,,,0.161,29.291,-1.028,-0.622
301,C916Q,"EL PINAR, DEPÓSITO",STA. CRUZ DE TENERIFE,948,27.719,-17.978,9.000,26.561,,,0.157,27.457,-0.896,-0.622
302,B644B,SINEU,ILLES BALEARS,120,39.643,3.002,9.000,31.840,,,0.178,33.429,-1.589,-0.622
303,1179B,CABRALES,ASTURIAS,458,43.311,-4.853,9.000,23.962,,,0.239,27.519,-3.556,-0.608
304,0421X,ESPOLLA,GIRONA,100,42.390,3.006,9.000,30.888,,,0.172,32.244,-1.356,-0.608
305,9027X,SARGENTES DE LA LORA,BURGOS,1017,42.747,-3.884,6.000,25.342,,,0.188,27.196,-1.855,-0.600
306,9274X,IRURTZUN,NAVARRA,432,42.919,-1.835,9.000,27.637,,,0.178,29.146,-1.509,-0.597
307,1297E,CERVANTES,LUGO,1020,42.769,-7.018,9.000,23.931,,,0.187,25.722,-1.792,-0.589
308,B800X,"LA MOLA, MAÓ",ILLES BALEARS,78,39.876,4.324,9.000,29.007,,,0.287,34.018,-5.011,-0.575
309,8058Y,MIRAMAR,VALENCIA,12,38.950,-0.138,9.000,30.870,,,0.184,32.474,-1.604,-0.568
310,1178Y,"POSADA DE VALDEÓN, SOTO ",LEON,953,43.145,-4.932,9.000,22.489,,,0.263,26.648,-4.160,-0.557
311,9262,PAMPLONA,NAVARRA,450,42.818,-1.638,9.000,28.572,,,0.157,29.250,-0.678,-0.555
312,0149X,MANRESA,BARCELONA,291,41.720,1.840,9.000,32.141,,,0.124,31.650,0.491,-0.527
313,B662X,BINISSALEM,ILLES BALEARS,105,39.678,2.874,9.000,32.854,,,0.157,33.382,-0.528,-0.509
314,9178X,CAMPEZO/KANPEZU,ARABA/ALAVA,570,42.671,-2.346,9.000,28.388,,,0.153,28.766,-0.377,-0.501
315,9208E,ARAGÜÉS DEL PUERTO,HUESCA,1025,42.709,-0.673,9.000,27.812,,,0.170,28.694,-0.881,-0.493
316,9381I,CALAMOCHA,TERUEL,884,40.926,-1.293,9.000,30.825,,,0.101,29.458,1.368,-0.492
317,9756X,BENABARRE,HUESCA,765,42.113,0.480,9.000,29.275,,,0.166,29.973,-0.698,-0.475
318,8458X,CEDRILLAS,TERUEL,1380,40.431,-0.849,9.000,26.573,,,0.219,28.976,-2.403,-0.468
319,6172X,MÁLAGA,MALAGA,25,36.717,-4.420,9.000,29.211,,,0.215,31.452,-2.241,-0.453
320,0106X,BALSARENY,BARCELONA,361,41.866,1.873,9.000,32.002,,,0.131,31.471,0.530,-0.449
321,9228J,OROZ-BETELU/OROTZ-BETELU,NAVARRA,635,42.896,-1.300,9.000,27.250,,,0.204,29.033,-1.784,-0.431
322,5910,"ROTA, BASE NAVAL",CADIZ,21,36.639,-6.332,9.000,30.189,,,0.163,30.604,-0.414,-0.426
323,2117D,ARANDA DE DUERO,BURGOS,790,41.666,-3.743,9.000,30.707,,,0.072,28.160,2.547,-0.424
324,9590,MARTINET  ,LLEIDA,1038,42.362,1.693,9.000,29.753,,,0.156,29.926,-0.173,-0.417
325,1186P,"AMIEVA, PANIZALES",ASTURIAS,370,43.267,-5.119,9.000,24.287,,,0.253,27.576,-3.289,-0.404
326,8503Y,TORREBLANCA,CASTELLON,35,40.211,0.184,9.000,29.498,,,0.231,32.020,-2.522,-0.386
327,7002Y,ÁGUILAS,MURCIA,32,37.417,-1.587,9.000,30.440,,,0.216,32.446,-2.006,-0.380
328,7026X,TORRE-PACHECO,MURCIA,50,37.739,-0.968,9.000,32.074,,,0.170,32.558,-0.485,-0.375
329,7012D,CARTAGENA,MURCIA,56,37.604,-1.023,9.000,30.415,,,0.223,32.581,-2.166,-0.360
330,9031C,BRIVIESCA,BURGOS,730,42.559,-3.309,9.000,27.592,,,0.172,28.074,-0.482,-0.358
331,6213X,NERJA,MALAGA,169,36.763,-3.845,9.000,29.326,,,0.222,31.435,-2.109,-0.349
332,2462,PUERTO DE NAVACERRADA,MADRID,1892,40.793,-4.011,9.000,22.893,,,0.266,26.404,-3.511,-0.345
333,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",SEGOVIA,1798,41.192,-3.475,9.000,22.945,,,0.272,26.648,-3.703,-0.343
334,9975X,RASQUERA,TARRAGONA,112,41.005,0.614,8.000,31.619,,,0.162,31.725,-0.106,-0.340
335,0149D,MANRESA (LA CULLA),BARCELONA,291,41.720,1.840,9.000,32.037,,,0.147,31.650,0.387,-0.339
336,1223P,"LENA, RONZÓN",ASTURIAS,370,43.133,-5.823,9.000,24.150,,,0.256,27.308,-3.158,-0.336
337,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459,42.777,-1.650,9.000,29.591,,,0.150,29.246,0.345,-0.330
338,3013,MOLINA DE ARAGÓN,GUADALAJARA,1062,40.842,-1.879,9.000,29.563,,,0.140,28.896,0.667,-0.327
339,9287A,SAN PEDRO MANRIQUE,SORIA,1096,42.026,-2.231,9.000,26.253,,,0.220,28.142,-1.890,-0.313
340,0372C,PORQUERES,GIRONA,157,42.104,2.764,9.000,31.397,,,0.185,32.154,-0.757,-0.308
341,1279X,"SALAS, CAMUÑO",ASTURIAS,240,43.425,-6.231,9.000,24.181,,,0.256,27.226,-3.045,-0.304
342,2630X,PUERTO DE SAN ISIDRO,LEON,1510,43.062,-5.377,9.000,19.188,,,0.356,25.457,-6.269,-0.290
343,8376,JABALOYAS,TERUEL,1430,40.236,-1.412,9.000,26.234,,,0.241,28.709,-2.476,-0.281
344,1561I,VEGA DE ESPINAREDA  ,LEON,770,42.766,-6.674,9.000,28.109,,,0.111,26.342,1.767,-0.280
345,4070Y,ABIA DE OBISPALIA,CUENCA,1020,40.019,-2.395,9.000,31.216,,,0.102,29.100,2.116,-0.272
346,3298X,SAN PABLO DE LOS MONTES,TOLEDO,917,39.547,-4.351,9.000,31.128,,,0.090,28.588,2.540,-0.258
347,8309X,UTIEL,VALENCIA,758,39.576,-1.245,9.000,32.331,,,0.109,30.313,2.018,-0.232
348,9207,"VALLE DE HECHO, HECHO",HUESCA,860,42.741,-0.751,9.000,28.165,,,0.194,28.946,-0.781,-0.231
349,1226X,"ALLER, FELECHOSA",ASTURIAS,750,43.095,-5.477,9.000,23.984,,,0.256,26.789,-2.805,-0.229
350,1477V,VILAGARCÍA DE AROUSA,PONTEVEDRA,32,42.585,-8.775,9.000,25.911,,,0.198,26.797,-0.886,-0.229
351,7119B,CARAVACA DE LA CRUZ,MURCIA,643,38.103,-1.877,9.000,33.658,,,0.086,30.885,2.773,-0.226
352,B334X,LLUCMAJOR,ILLES BALEARS,140,39.496,2.892,9.000,32.804,,,0.190,33.407,-0.603,-0.221
353,3021Y,ZAOREJAS,GUADALAJARA,1250,40.758,-2.200,9.000,28.487,,,0.170,28.440,0.047,-0.219
354,2059B,LA RIBA DE ESCALOTE,SORIA,1042,41.350,-2.783,9.000,28.695,,,0.161,28.286,0.409,-0.204
355,B957,EIVISSA,BALEARES,3,38.922,1.441,9.000,30.701,,,0.252,33.238,-2.537,-0.195
356,6302A,ABLA,ALMERIA,869,37.141,-2.780,9.000,32.059,,,0.126,30.479,1.580,-0.193
357,1234P,"MIERES, BAIÑA",ASTURIAS,170,43.275,-5.819,9.000,24.888,,,0.258,27.613,-2.725,-0.190
358,5911A,GRAZALEMA,CADIZ,913,36.761,-5.374,9.000,29.381,,,0.174,29.361,0.020,-0.189
359,1730E,O ROSAL,PONTEVEDRA,55,41.944,-8.848,9.000,26.813,,,0.182,27.007,-0.193,-0.182
360,9145X,LEZA,ARABA/ALAVA,575,42.567,-2.633,9.000,28.010,,,0.196,28.669,-0.659,-0.178
361,9238X,NAVASCUÉS/NABASKOZE,NAVARRA,612,42.718,-1.117,9.000,30.179,,,0.148,29.240,0.939,-0.173
362,6340X,GARRUCHA,ALMERIA,28,37.169,-1.829,9.000,28.750,,,0.290,32.451,-3.702,-0.169
363,8013X,NOVELDA,ALICANTE,233,38.386,-0.758,9.000,32.905,,,0.151,32.032,0.872,-0.163
364,1496X,VIGO ,PONTEVEDRA,120,42.231,-8.724,9.000,25.152,,,0.229,26.817,-1.665,-0.162
365,5995B,VEJER DE LA FRONTERA,CADIZ,186,36.246,-5.965,9.000,29.671,,,0.208,30.647,-0.977,-0.159
366,0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177,41.330,1.677,9.000,30.956,,,0.209,31.956,-1.000,-0.156
367,9751,SOPEIRA,HUESCA,760,42.319,0.747,9.000,29.868,,,0.183,30.014,-0.147,-0.155
368,9946X,HORTA DE SANT JOAN,TARRAGONA,495,40.953,0.312,9.000,30.688,,,0.185,30.906,-0.218,-0.154
369,1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100,43.144,-4.813,9.000,23.299,,,0.274,26.435,-3.136,-0.153
370,6325O,ALMERÍA AEROPUERTO,ALMERIA,21,36.846,-2.357,9.000,30.833,,,0.225,32.362,-1.529,-0.152
371,2235U,CERVERA DE PISUERGA,PALENCIA,1140,42.871,-4.520,9.000,26.671,,,0.181,26.620,0.051,-0.112
372,C129Z,TAZACORTE,SANTA CRUZ DE TENERIFE,62,28.596,-17.915,9.000,28.498,,,0.191,28.719,-0.221,-0.104
373,2471Y,SAN RAFAEL,SEGOVIA,1237,40.719,-4.212,9.000,27.622,,,0.183,27.544,0.077,-0.087
374,9843A,SEIRA,HUESCA,825,42.477,0.434,9.000,29.467,,,0.193,29.679,-0.212,-0.081
375,8025,ALACANT/ALICANTE,ALICANTE,81,38.373,-0.494,9.000,31.031,,,0.229,32.439,-1.408,-0.080
376,6069X,BENAHAVÍS,MALAGA,392,36.544,-5.025,9.000,30.499,,,0.189,30.575,-0.076,-0.077
377,7067Y,NERPIO,ALBACETE,1485,38.088,-2.413,9.000,28.277,,,0.212,29.099,-0.822,-0.075
378,8472A,MONTANEJOS,CASTELLON,601,40.088,-0.547,9.000,29.923,,,0.211,30.697,-0.775,-0.067
379,2005Y,"VINUESA, QUINTANAREJO",SORIA,1197,41.968,-2.783,9.000,27.042,,,0.209,27.726,-0.684,-0.065
380,2302N,MONTERRUBIO DE LA DEMANDA,BURGOS,1197,42.146,-3.110,9.000,25.689,,,0.243,27.495,-1.806,-0.064
381,1521X,BECERREÁ,LUGO,1080,42.864,-7.185,9.000,21.447,,,0.312,25.492,-4.045,-0.062
382,1495,VIGO AEROPUERTO,PONTEVEDRA,255,42.239,-8.624,9.000,25.596,,,0.220,26.613,-1.016,-0.056
383,0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647,41.408,1.885,9.000,30.797,,,0.201,31.157,-0.361,-0.049
384,5972X,SAN FERNANDO,CADIZ,28,36.466,-6.206,9.000,28.689,,,0.253,30.727,-2.038,-0.036
385,C917E,"EL PINAR, LA DEHESA",STA. CRUZ DE TENERIFE,713,27.725,-18.115,9.000,26.857,,,0.221,27.821,-0.964,-0.034
386,2285B,VILLADIEGO,BURGOS,869,42.524,-4.001,8.000,28.549,,,0.161,27.513,1.036,-0.026
387,9141V,NÁJERA,LA RIOJA,500,42.414,-2.727,9.000,29.748,,,0.165,28.831,0.917,-0.020
388,9218A,ISABA/IZABA,NAVARRA,838,42.863,-0.925,9.000,28.338,,,0.209,28.851,-0.513,-0.016
389,1174I,"CILLORIGO DE LIÉBANA, TAMA",CANTABRIA,250,43.183,-4.602,9.000,25.977,,,0.258,28.074,-2.097,-0.012
390,6364X,ALBOX,ALMERIA,508,37.407,-2.151,9.000,34.457,,,0.099,31.315,3.142,-0.000
391,9772X,LA POBLA DE CÉRVOLES,LLEIDA,673,41.366,0.914,9.000,30.019,,,0.215,30.676,-0.657,0.000
392,1505,LUGO AEROPUERTO,LUGO,442,43.111,-7.458,9.000,24.998,,,0.239,26.424,-1.427,0.003
393,5060X,VÉLEZ BLANCO - TOPARES,ALMERIA,1190,37.861,-2.228,9.000,30.129,,,0.186,29.827,0.302,0.008
394,9136X,"ANGUIANO, VALVANERA",LA RIOJA,1006,42.231,-2.871,9.000,25.509,,,0.269,27.918,-2.409,0.009
395,8414A,VALENCIA AEROPUERTO,VALENCIA,56,39.485,-0.475,9.000,31.469,,,0.212,31.999,-0.530,0.013
396,9188,ENCISO,LA RIOJA,855,42.149,-2.273,9.000,27.243,,,0.235,28.509,-1.267,0.015
397,6367B,HUÉRCAL-OVERA,ALMERIA,300,37.391,-1.944,9.000,32.109,,,0.188,31.801,0.308,0.020
398,6155A,MÁLAGA AEROPUERTO,MALAGA,7,36.666,-4.482,9.000,31.392,,,0.200,31.479,-0.087,0.022
399,2096B,LICERAS,SORIA,1150,41.374,-3.251,9.000,28.972,,,0.164,27.859,1.113,0.026
400,9262P,MONREAL/ELO,NAVARRA,585,42.701,-1.496,9.000,28.196,,,0.226,29.121,-0.925,0.027
401,5412X,PRIEGO DE CÓRDOBA,CORDOBA,550,37.485,-4.208,9.000,34.486,,,0.069,30.246,4.240,0.033
402,9513X,MUNIESA,TERUEL,800,41.031,-0.806,9.000,29.589,,,0.205,29.792,-0.203,0.037
403,6201X,ALGARROBO,MALAGA,35,36.756,-4.044,9.000,29.642,,,0.259,31.591,-1.949,0.041
404,9145Y,CENICERO,LA RIOJA,429,42.483,-2.639,9.000,29.780,,,0.175,28.971,0.808,0.045
405,8059C,ALCOI/ALCOY,ALICANTE,530,38.711,-0.460,9.000,32.356,,,0.173,31.482,0.874,0.050
406,7195X,"CARAVACA DE LA CRUZ, LOS ROYOS",MURCIA,985,37.926,-2.058,9.000,30.835,,,0.183,30.253,0.582,0.054
407,4051Y,ALCÁZAR DEL REY,CUENCA,875,40.061,-2.807,9.000,32.309,,,0.105,29.155,3.154,0.057
408,9947X,LA POBLA DE MASSALUCA,TARRAGONA,370,41.177,0.353,9.000,31.672,,,0.183,31.055,0.617,0.062
409,5515D,VÍZNAR,GRANADA,1258,37.237,-3.551,9.000,29.291,,,0.204,29.365,-0.074,0.068
