rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmax_media_verano,tmax_normal_verano,tmax_anomalia,tmax_tendencia,tmax_esperada,residual,score_refugio
45,0171X,IGUALADA,BARCELONA,313,41.579,1.618,9.000,31.316,,,-0.068,31.569,-0.253,-2.560
46,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4,43.357,-1.792,9.000,25.485,,,0.058,29.755,-4.271,-2.531
47,1033X,ARESO,NAVARRA,520,43.085,-1.951,9.000,24.175,,,0.072,28.857,-4.682,-2.518
48,B158X,"CALVIÀ, ES CAPDELLÀ",BALEARES,50,39.551,2.466,9.000,31.495,,,-0.009,33.349,-1.854,-2.466
49,6001,TARIFA,CADIZ,32,36.014,-5.599,9.000,25.643,,,0.106,31.203,-5.560,-2.453
50,1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,4,43.357,-1.792,9.000,25.128,,,0.078,29.755,-4.627,-2.448
51,9590D,CAP DE REC,LLEIDA,1940,42.430,1.667,8.000,20.023,,,0.187,28.230,-8.208,-2.447
52,C038N,HARÍA,LAS PALMAS,277,29.144,-13.489,9.000,25.101,,,0.091,30.142,-5.040,-2.445
53,1249I,OVIEDO,ASTURIAS,336,43.353,-5.874,6.000,22.702,,,0.077,27.248,-4.546,-2.430
54,1012P,IRUN,GIPUZKOA,120,43.326,-1.797,9.000,24.474,,,0.096,29.554,-5.081,-2.408
55,B301,"LLUCMAJOR, CAP BLANC",BALEARES,113,39.380,2.785,9.000,30.698,,,0.025,33.459,-2.760,-2.406
56,1021Y,ARTICUTZA (AUTOMATICA),NAVARRA,305,43.212,-1.798,9.000,23.662,,,0.112,29.265,-5.604,-2.403
57,1347T,BURELA,LUGO,80,43.651,-7.357,9.000,21.649,,,0.103,26.894,-5.245,-2.387
58,1069Y,"ABADIÑO, URKIOLA",BIZKAIA,747,43.099,-2.644,9.000,22.104,,,0.127,28.112,-6.008,-2.379
59,1363X,AS PONTES,A CORUÑA,343,43.446,-7.861,9.000,23.994,,,0.015,26.269,-2.274,-2.366
60,1400,FISTERRA,A CORUÑA,230,42.925,-9.291,9.000,20.686,,,0.110,26.042,-5.357,-2.350
61,1074C,AMOREBIETA-ETXANO,BIZKAIA,100,43.203,-2.706,9.000,25.256,,,0.071,29.223,-3.966,-2.321
62,C619X,AGAETE,LAS PALMAS,5,28.101,-15.713,9.000,26.119,,,0.075,30.070,-3.951,-2.277
63,C839X,LA GRACIOSA,LAS PALMAS,19,29.230,-13.510,9.000,26.288,,,0.086,30.567,-4.278,-2.271
64,B860X,CIUTADELLA,ILLES BALEARS,20,39.993,3.854,9.000,30.679,,,0.052,33.854,-3.175,-2.271
65,B362X,"CAMPOS, CAN SION",ILLES BALEARS,40,39.406,3.064,9.000,31.831,,,0.014,33.711,-1.880,-2.257
66,B691Y,SA POBLA,BALEARES,32,39.749,3.017,9.000,32.177,,,-0.001,33.550,-1.373,-2.251
67,C419L,LOMO DEL BALO,SANTA CRUZ DE TENERIFE,403,28.207,-16.792,8.000,26.978,,,0.013,28.791,-1.813,-2.251
68,1056K,FORUA,BIZKAIA,45,43.343,-2.671,9.000,25.275,,,0.081,29.277,-4.002,-2.239
69,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,28.445,-13.863,9.000,27.346,,,0.064,30.741,-3.395,-2.224
70,5192,VILLARRODRIGO,JAEN,862,38.489,-2.638,8.000,33.035,,,-0.134,29.958,3.078,-2.222
71,C689E,MASPALOMAS,LAS PALMAS,6,27.736,-15.596,9.000,25.853,,,0.100,30.285,-4.432,-2.176
72,1210X,CABO PEÑAS,ASTURIAS,100,43.656,-5.849,9.000,21.329,,,0.156,27.558,-6.229,-2.166
73,1021X,"ERRENTERIA, AÑARBE",GIPUZKOA,165,43.214,-1.879,9.000,25.557,,,0.086,29.484,-3.927,-2.164
74,C148F,SAN ANDRÉS Y SAUCES,STA. CRUZ DE TENERIFE,362,28.805,-17.782,9.000,24.576,,,0.078,28.138,-3.562,-2.139
75,1341B,"TARAMUNDI, OURIA",ASTURIAS,340,43.416,-7.061,9.000,20.884,,,0.146,26.660,-5.776,-2.133
76,C248E,ANTIGUA,LAS PALMAS,252,28.417,-14.019,9.000,27.054,,,0.068,30.265,-3.211,-2.133
77,1044X,"ARAMAIO, ETXAGUEN",ARABA/ALAVA,617,43.058,-2.590,9.000,23.415,,,0.125,28.394,-4.979,-2.106
78,1331A,CASTROPOL,ASTURIAS,40,43.525,-7.031,9.000,23.117,,,0.097,27.175,-4.059,-2.100
79,1111,SANTANDER,CANTABRIA,52,43.491,-3.801,7.000,22.188,,,0.172,28.673,-6.485,-2.088
80,C239N,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,1,28.209,-14.023,9.000,28.827,,,0.035,30.816,-1.989,-2.085
81,9115X,VALDEZCARAY,LA RIOJA,1630,42.255,-2.968,9.000,20.087,,,0.177,26.718,-6.632,-2.083
82,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,1960,40.355,-5.690,8.000,19.934,,,0.151,25.693,-5.759,-2.080
83,1176A,TRESVISO,CANTABRIA,940,43.256,-4.668,9.000,20.425,,,0.169,26.746,-6.321,-2.077
84,C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",LAS PALMAS,269,28.078,-15.453,9.000,24.041,,,0.150,29.717,-5.676,-2.064
85,C656V,TEROR,LAS PALMAS,683,28.075,-15.547,9.000,24.924,,,0.100,28.916,-3.992,-2.055
86,C929I,HIERRO AEROPUERTO,SANTA CRUZ DE TENERIFE,32,27.819,-17.889,9.000,25.375,,,0.093,29.133,-3.757,-2.048
87,B954,"IBIZA, AEROPUERTO",ILLES BALEARS,6,38.876,1.384,9.000,29.643,,,0.091,33.227,-3.584,-2.022
88,C658L,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,269,28.075,-15.451,9.000,24.347,,,0.146,29.719,-5.372,-2.020
89,1010X,BERA,NAVARRA,54,43.279,-1.676,9.000,25.885,,,0.100,29.753,-3.867,-2.017
90,0341X,TONA,BARCELONA,607,41.847,2.223,8.000,28.854,,,0.053,31.192,-2.338,-2.016
91,1221D,PAJARES-VALGRANDE,ASTURIAS,1480,42.979,-5.776,9.000,18.126,,,0.204,25.363,-7.238,-2.007
92,0244X,VILASSAR DE DALT,BARCELONA,56,41.505,2.363,9.000,29.581,,,0.072,32.419,-2.838,-1.983
93,9585,LA MOLINA,GIRONA,1699,42.333,1.939,9.000,22.253,,,0.187,28.842,-6.589,-1.977
94,C919K,TACORON-LAPILLAS-TORTUGA,STA. CRUZ DE TENERIFE,98,27.665,-18.019,8.000,27.172,,,0.044,29.020,-1.848,-1.967
95,B496X,SON SERVERA,ILLES BALEARS,25,39.630,3.384,9.000,29.600,,,0.116,33.787,-4.187,-1.963
96,B656A,SANTA MARÍA DEL CAMÍ,BALEARES,121,39.652,2.800,9.000,32.456,,,0.015,33.330,-0.873,-1.956
97,5860E,"MOGUER, EL ARENOSILLO",HUELVA,41,37.098,-6.738,9.000,27.863,,,0.059,30.173,-2.310,-1.952
98,0260X,FOGARS DE MONTCLÚS,BARCELONA,936,41.760,2.431,9.000,26.433,,,0.121,30.725,-4.292,-1.943
99,1048X,ARETXABALETA,GIPUZKOA,308,43.025,-2.466,9.000,25.417,,,0.100,29.032,-3.616,-1.940
100,1109X,SANTANDER AEROPUERTO,CANTABRIA,3,43.429,-3.831,9.000,24.369,,,0.126,28.776,-4.407,-1.924
101,C019V,YAIZA PLAYA BLANCA,LAS PALMAS,6,28.859,-13.835,9.000,26.500,,,0.117,30.604,-4.105,-1.923
