rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmin_media_verano,noches_trop_anio,noches_ecua_anio,tmin_tendencia,tmin_esperada,residual,score_refugio_noche
183,1078C,BALMASEDA,BIZKAIA,210.000,43.181,-3.210,10.000,14.467,1.200,0.000,0.173,15.868,-1.400,-1.667
184,2117D,ARANDA DE DUERO,BURGOS,790.000,41.666,-3.743,10.000,12.540,0.900,0.000,0.183,14.118,-1.577,-1.658
185,9280B,LARRAGA,NAVARRA,375.000,42.549,-1.858,10.000,15.210,2.800,0.000,0.143,16.053,-0.842,-1.653
186,1096X,"BARCENA DE CICERO, TRETO",CANTABRIA,10.000,43.397,-3.470,10.000,15.945,2.400,0.000,0.131,16.502,-0.557,-1.652
187,B526X,ARTÀ,BALEARES,110.000,39.689,3.351,10.000,18.759,28.000,0.700,0.123,20.950,-2.191,-1.652
188,6258X,LANJARÓN,GRANADA,708.000,36.923,-3.493,10.000,16.127,4.000,0.000,0.168,17.589,-1.462,-1.652
189,9228T,RONCESVALLES/ORREAGA,NAVARRA,947.000,43.008,-1.326,10.000,11.887,0.200,0.000,0.186,13.473,-1.586,-1.649
190,1489A,A LAMA,PONTEVEDRA,395.000,42.407,-8.451,10.000,13.062,1.200,0.000,0.136,13.622,-0.561,-1.644
191,2611D,VILLAFÁFILA,ZAMORA,690.000,41.856,-5.592,10.000,13.010,0.500,0.000,0.146,13.748,-0.738,-1.644
192,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353.000,42.452,-2.331,10.000,15.877,4.800,0.000,0.106,16.035,-0.159,-1.638
193,C439J,GÜÍMAR,SANTA CRUZ DE TENERIFE,115.000,28.318,-16.382,10.000,19.215,30.100,0.000,0.094,20.889,-1.673,-1.637
194,1203D,COLUNGA,ASTURIAS,30.000,43.492,-5.247,9.000,15.862,1.000,0.000,0.103,15.698,0.164,-1.637
195,2096B,LICERAS,SORIA,1150.000,41.374,-3.251,10.000,13.080,3.100,0.000,0.098,12.922,0.158,-1.621
196,9698U,TALARN,LLEIDA,807.000,42.205,0.865,10.000,15.873,6.600,0.000,0.072,15.402,0.471,-1.615
197,8309X,UTIEL,VALENCIA,758.000,39.576,-1.245,10.000,15.238,1.000,0.000,0.172,16.511,-1.274,-1.613
198,B691Y,SA POBLA,BALEARES,32.000,39.749,3.017,10.000,19.273,33.900,1.000,0.094,21.126,-1.854,-1.585
199,1226X,"ALLER, FELECHOSA",ASTURIAS,750.000,43.095,-5.477,10.000,11.866,0.000,0.000,0.159,12.740,-0.875,-1.579
200,2604B,MEDINA DE RIOSECO,VALLADOLID,731.000,41.876,-5.040,10.000,12.715,0.800,0.000,0.164,13.761,-1.046,-1.575
201,1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255.000,43.055,-2.232,10.000,15.004,2.200,0.000,0.164,16.114,-1.109,-1.566
202,B346X,PORRERES,ILLES BALEARS,120.000,39.522,3.019,6.000,19.609,37.000,1.000,0.059,20.890,-1.281,-1.563
203,9244X,SOS DEL REY CATÓLICO,ZARAGOZA,626.000,42.491,-1.213,10.000,14.917,3.800,0.000,0.122,15.238,-0.321,-1.560
204,1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100.000,43.144,-4.813,10.000,11.089,0.000,0.000,0.136,11.435,-0.346,-1.558
205,2539,VALLADOLID AEROPUERTO,VALLADOLID,846.000,41.712,-4.856,10.000,12.488,0.200,0.000,0.163,13.434,-0.946,-1.553
206,2624C,RIAÑO,LEON,1090.000,42.958,-5.008,10.000,10.442,0.000,0.000,0.171,11.525,-1.083,-1.551
207,1033X,ARESO,NAVARRA,520.000,43.085,-1.951,10.000,13.802,0.800,0.100,0.176,15.047,-1.246,-1.549
208,1561I,VEGA DE ESPINAREDA  ,LEON,770.000,42.766,-6.674,10.000,11.017,0.000,0.000,0.188,12.421,-1.405,-1.524
209,0149D,MANRESA (LA CULLA),BARCELONA,291.000,41.720,1.840,9.000,17.628,13.000,0.111,0.113,18.311,-0.683,-1.513
210,1002Y,"BAZTAN, IRURITA",NAVARRA,183.000,43.136,-1.543,10.000,15.294,2.600,0.000,0.178,16.629,-1.335,-1.493
211,9381I,CALAMOCHA,TERUEL,884.000,40.926,-1.293,10.000,13.867,0.800,0.000,0.179,15.085,-1.219,-1.489
212,9918Y,"TAMARITE DE LITERA, LA MELUSA",HUESCA,218.000,41.781,0.377,10.000,16.611,9.500,0.000,0.161,18.049,-1.439,-1.486
213,2914C,BOADILLA FUENTE SAN ESTEBAN,SALAMANCA,785.000,40.786,-6.203,9.000,13.209,0.444,0.000,0.151,13.792,-0.583,-1.486
214,5625X,LA RAMBLA,CORDOBA,200.000,37.639,-4.764,10.000,17.498,20.800,0.000,0.122,18.869,-1.371,-1.483
215,1179B,CABRALES,ASTURIAS,458.000,43.311,-4.853,10.000,14.107,0.100,0.000,0.125,14.101,0.006,-1.476
216,9073X,"AGURAIN/SALVATIERRA, OPAKUA",ARABA/ALAVA,660.000,42.830,-2.360,10.000,13.096,1.500,0.300,0.184,14.451,-1.355,-1.475
217,1064L,"OROZKO, IBARRA",BIZKAIA,270.000,43.096,-2.860,10.000,14.262,0.800,0.000,0.196,15.790,-1.528,-1.459
218,2290Y,PEDROSA DEL PRÍNCIPE,BURGOS,771.000,42.251,-4.199,10.000,12.092,1.000,0.000,0.197,13.659,-1.567,-1.452
219,3209Y,BRIHUEGA,GUADALAJARA,835.000,40.765,-2.874,10.000,14.015,0.600,0.000,0.164,14.817,-0.802,-1.440
220,2517A,FUENTE EL SOL,VALLADOLID,755.000,41.173,-4.940,10.000,12.863,1.500,0.000,0.183,14.142,-1.279,-1.437
221,8489X,VILLAFRANCA DEL CID/VILAFRANCA,CASTELLON,1130.000,40.433,-0.256,10.000,13.300,0.700,0.000,0.195,14.714,-1.415,-1.405
222,8198Y,ALMANSA,ALBACETE,710.000,38.851,-1.063,10.000,15.335,2.700,0.000,0.212,17.249,-1.913,-1.399
223,3040Y,BETETA,CUENCA,1214.000,40.572,-2.076,9.000,11.879,0.222,0.000,0.210,13.589,-1.710,-1.398
224,1025A,SEGURA,GIPUZKOA,255.000,43.016,-2.257,10.000,14.895,2.500,0.000,0.181,16.129,-1.234,-1.396
225,2734D,ASTORGA,LEON,919.000,42.477,-6.074,10.000,11.760,0.100,0.000,0.152,12.180,-0.420,-1.386
226,5516D,SIERRA NEVADA 'RADIOTELESCOPIO',GRANADA,2856.000,37.063,-3.387,6.000,11.039,0.000,0.000,0.002,8.212,2.827,-1.382
227,2276B,VILLAELES DE VALDAVIA,PALENCIA,908.000,42.569,-4.575,10.000,11.176,0.000,0.000,0.206,12.723,-1.546,-1.370
228,5860E,"MOGUER, EL ARENOSILLO",HUELVA,41.000,37.098,-6.738,10.000,18.334,21.900,0.200,0.102,19.175,-0.841,-1.363
229,9394X,CALATAYUD,ZARAGOZA,582.000,41.331,-1.645,10.000,16.014,6.400,0.000,0.114,16.009,0.005,-1.362
230,1056K,FORUA,BIZKAIA,45.000,43.343,-2.671,10.000,15.617,3.100,0.000,0.174,16.680,-1.063,-1.357
231,2742R,BUSTILLO DEL PÁRAMO,LEON,850.000,42.466,-5.780,10.000,12.012,0.000,0.000,0.163,12.595,-0.583,-1.342
232,4089A,ALBERCA DE ZANCARA,CUENCA,858.000,39.517,-2.496,10.000,16.787,6.900,0.000,0.061,15.652,1.135,-1.342
233,1109X,SANTANDER AEROPUERTO,CANTABRIA,3.000,43.429,-3.831,10.000,16.346,5.000,0.000,0.122,16.379,-0.033,-1.335
234,5960,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27.000,36.751,-6.056,10.000,17.232,14.200,0.000,0.206,19.709,-2.477,-1.327
235,2401X,PALENCIA,PALENCIA,736.000,42.009,-4.561,10.000,13.013,0.200,0.000,0.175,13.831,-0.818,-1.326
236,2916A,VITIGUDINO,SALAMANCA,769.000,41.011,-6.438,10.000,13.427,1.600,0.000,0.142,13.631,-0.204,-1.323
237,1026X,ORDIZIA,GIPUZKOA,290.000,43.058,-2.184,10.000,15.266,2.500,0.000,0.163,15.977,-0.711,-1.316
238,B662X,BINISSALEM,BALEARES,105.000,39.678,2.874,10.000,18.806,29.200,0.600,0.136,20.802,-1.996,-1.315
239,1521I,O PÁRAMO,LUGO,403.000,42.845,-7.499,10.000,13.166,0.000,0.000,0.161,13.660,-0.494,-1.313
240,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,370.000,42.888,-8.411,10.000,13.446,0.500,0.000,0.137,13.439,0.006,-1.310
241,7195X,"CARAVACA DE LA CRUZ, LOS ROYOS",MURCIA,985.000,37.926,-2.058,10.000,15.218,3.500,0.000,0.177,16.276,-1.059,-1.304
242,3531X,TORRECILLA DE LOS ANGELES,CACERES,459.000,40.255,-6.412,10.000,15.794,7.300,0.000,0.101,15.469,0.325,-1.301
243,C668V,AGAETE - SUERTE ALTA,LAS PALMAS,352.000,28.094,-15.675,9.000,18.904,18.111,3.111,0.143,20.263,-1.359,-1.300
244,1354C,FERROL,A CORUÑA,4.000,43.476,-8.262,9.000,16.090,2.111,0.000,0.069,14.708,1.381,-1.298
245,9012E,SANTA GADEA DE ALFOZ,BURGOS,915.000,42.951,-3.957,10.000,11.866,0.100,0.000,0.177,12.677,-0.811,-1.295
246,9352A,ALMAZUL,SORIA,1000.000,41.575,-2.140,10.000,13.156,0.200,0.000,0.172,13.856,-0.700,-1.290
247,2296A,ÓLVEGA,SORIA,1039.000,41.776,-1.977,10.000,12.134,0.600,0.000,0.207,13.619,-1.485,-1.283
248,2946X,SAELICES EL CHICO,SALAMANCA,680.000,40.635,-6.600,10.000,13.694,1.100,0.000,0.160,14.198,-0.503,-1.282
249,1390X,"CARBALLO, DEPURADORA",A CORUÑA,98.000,43.204,-8.711,10.000,13.402,0.100,0.000,0.182,14.308,-0.906,-1.280
250,1442U,BOIRO,A CORUÑA,10.000,42.644,-8.892,10.000,15.358,1.700,0.000,0.118,14.980,0.378,-1.272
251,1476R,"ROIS, CASAS DO PORTO",A CORUÑA,210.000,42.750,-8.715,10.000,14.547,0.600,0.000,0.120,14.110,0.437,-1.265
252,2945A,EL BODÓN BASE AÉREA,SALAMANCA,805.000,40.485,-6.577,10.000,12.729,0.300,0.000,0.189,13.759,-1.030,-1.264
253,9751,SOPEIRA,HUESCA,760.000,42.319,0.747,10.000,15.503,1.500,0.000,0.137,15.490,0.013,-1.263
254,8354X,ALBARRACÍN,TERUEL,1130.000,40.420,-1.441,10.000,13.396,1.000,0.000,0.183,14.285,-0.890,-1.225
255,1199X,"PILOÑA, BARGAÉU",ASTURIAS,280.000,43.378,-5.397,10.000,14.593,0.100,0.000,0.147,14.631,-0.037,-1.223
256,1186P,"AMIEVA, PANIZALES",ASTURIAS,370.000,43.267,-5.119,10.000,14.030,0.300,0.000,0.162,14.413,-0.383,-1.216
257,1309C,"IBIAS, SAN ANTOLIN",ASTURIAS,780.000,43.027,-6.885,10.000,12.611,0.800,0.000,0.121,12.133,0.478,-1.211
258,9262P,MONREAL/ELO,NAVARRA,585.000,42.701,-1.496,10.000,13.866,1.900,0.000,0.201,15.178,-1.312,-1.210
259,8337X,TURÍS,VALENCIA,186.000,39.392,-0.625,10.000,17.949,19.500,0.000,0.147,19.341,-1.391,-1.209
260,1631E,A POBRA DE TRIVES,OURENSE,840.000,42.339,-7.282,10.000,12.027,0.400,0.000,0.154,12.165,-0.137,-1.173
261,3175,TORREJÓN DE ARDOZ,MADRID,607.000,40.489,-3.444,10.000,16.538,13.600,0.000,0.070,15.773,0.765,-1.167
262,9531Y,MONTALBÁN,TERUEL,895.000,40.829,-0.793,10.000,14.578,5.900,0.100,0.164,15.285,-0.707,-1.158
263,1221D,PAJARES-VALGRANDE,ASTURIAS,1480.000,42.979,-5.776,10.000,9.394,0.200,0.000,0.157,9.534,-0.140,-1.147
264,B158X,"CALVIÀ, ES CAPDELLÀ",BALEARES,50.000,39.551,2.466,10.000,18.693,27.800,0.500,0.166,20.971,-2.278,-1.146
265,1078I,GÜEÑES,BIZKAIA,208.000,43.203,-3.105,9.000,14.745,1.111,0.000,0.201,15.901,-1.156,-1.140
266,9775X,EL SOLERÀS,LLEIDA,392.000,41.414,0.678,10.000,17.817,20.800,0.200,0.076,17.639,0.178,-1.138
267,9321X,EJEA DE LOS CABALLEROS,ZARAGOZA,321.000,42.121,-1.140,8.000,16.686,10.750,0.125,0.123,16.825,-0.139,-1.134
268,9136X,"ANGUIANO, VALVANERA",LA RIOJA,1006.000,42.231,-2.871,10.000,11.936,0.200,0.000,0.207,13.142,-1.205,-1.133
269,3427Y,OROPESA,TOLEDO,345.000,39.993,-5.114,10.000,15.455,8.100,0.400,0.179,16.610,-1.154,-1.132
270,0061X,PONTONS,BARCELONA,632.000,41.417,1.519,10.000,15.148,1.800,0.000,0.228,16.905,-1.757,-1.127
271,0363X,SANT HILARI,GIRONA,810.000,41.881,2.513,10.000,13.985,0.700,0.000,0.253,16.204,-2.219,-1.122
272,1037X,LEGAZPI,GIPUZKOA,460.000,43.052,-2.337,10.000,13.971,1.400,0.000,0.205,15.186,-1.215,-1.120
273,1279X,"SALAS, CAMUÑO",ASTURIAS,240.000,43.425,-6.231,10.000,14.412,0.000,0.000,0.155,14.466,-0.054,-1.119
274,2536D,MORALES DEL TORO,ZAMORA,710.000,41.548,-5.271,10.000,13.402,1.900,0.000,0.174,13.976,-0.574,-1.116
275,9707,LLIMIANA,LLEIDA,515.000,42.067,0.907,10.000,16.278,6.400,0.000,0.156,16.773,-0.495,-1.110
276,9274X,IRURTZUN,NAVARRA,432.000,42.919,-1.835,10.000,14.701,1.600,0.000,0.189,15.578,-0.877,-1.105
277,9344C,ARCOS DE JALÓN,SORIA,863.000,41.216,-2.293,10.000,14.192,2.300,0.000,0.166,14.623,-0.430,-1.105
278,0413A,MAÇANET DE CABRENYS,GIRONA,355.000,42.387,2.756,10.000,16.710,8.300,0.100,0.185,17.946,-1.237,-1.100
279,3110C,BUITRAGO DEL LOZOYA,MADRID,1030.000,41.007,-3.614,10.000,12.184,0.100,0.000,0.217,13.543,-1.359,-1.099
280,1111,SANTANDER,CANTABRIA,52.000,43.491,-3.801,7.000,17.011,3.857,0.000,0.102,16.138,0.873,-1.092
281,B614E,MANACOR,BALEARES,100.000,39.557,3.218,10.000,19.326,37.000,0.900,0.114,21.028,-1.702,-1.090
282,2453E,GOTARRENDURA,AVILA,920.000,40.829,-4.742,10.000,13.498,4.100,0.000,0.152,13.718,-0.219,-1.089
283,9263X,"ARANGUREN, ILUNDAIN",NAVARRA,572.000,42.776,-1.532,10.000,13.662,2.100,0.100,0.218,15.173,-1.511,-1.087
284,5530E,GRANADA AEROPUERTO,GRANADA,560.000,37.190,-3.790,10.000,16.728,9.400,0.000,0.182,17.951,-1.224,-1.079
285,3103,PANTANO EL VADO,GUADALAJARA,910.000,41.004,-3.302,10.000,14.522,0.700,0.000,0.138,14.182,0.340,-1.078
286,2775X,VILLARDECIERVOS,ZAMORA,850.000,41.941,-6.280,10.000,10.624,0.100,0.000,0.255,12.745,-2.121,-1.070
287,1069Y,"ABADIÑO, URKIOLA",BIZKAIA,747.000,43.099,-2.644,10.000,13.060,0.400,0.000,0.189,13.797,-0.736,-1.069
288,2966D,ALCAÑICES,ZAMORA,840.000,41.683,-6.301,10.000,12.653,0.800,0.000,0.168,12.945,-0.292,-1.069
289,9141V,NÁJERA,LA RIOJA,500.000,42.414,-2.727,10.000,14.897,1.100,0.000,0.171,15.275,-0.379,-1.065
290,1234P,"MIERES, BAIÑA",ASTURIAS,170.000,43.275,-5.819,10.000,15.701,1.600,0.000,0.120,15.018,0.683,-1.065
291,2804F,VILLADEPERA,ZAMORA,790.000,41.534,-6.142,10.000,13.930,2.700,0.000,0.120,13.316,0.614,-1.065
292,2664B,VALENCIA DE DON JUAN,LEON,788.000,42.296,-5.505,10.000,12.740,0.600,0.000,0.171,13.074,-0.334,-1.062
293,0009X,ALFORJA,TARRAGONA,406.000,41.214,0.963,10.000,16.912,8.100,0.000,0.173,17.811,-0.899,-1.053
294,1477U,VILAGARCIA DE AROUSA,PONTEVEDRA,36.000,42.582,-8.770,7.000,15.887,2.000,0.000,0.109,14.952,0.935,-1.046
295,1435C,NOIA,A CORUÑA,128.000,42.800,-8.876,10.000,15.214,0.900,0.000,0.117,14.374,0.840,-1.039
296,9585,LA MOLINA,GIRONA,1699.000,42.333,1.939,10.000,10.771,0.000,0.000,0.209,11.844,-1.073,-1.031
297,1082,BILBAO AEROPUERTO,BIZKAIA,42.000,43.298,-2.906,10.000,16.292,6.600,0.000,0.155,16.634,-0.343,-1.024
298,C406G,"LA OROTAVA, CAÑADAS TEIDE",SANTA CRUZ DE TENERIFE,2150.000,28.224,-16.626,10.000,12.037,1.200,0.000,0.157,12.022,0.015,-1.009
299,1363X,AS PONTES,A CORUÑA,343.000,43.446,-7.861,10.000,12.880,0.000,0.000,0.186,13.404,-0.524,-1.006
300,8439X,SEGORBE,CASTELLON,400.000,39.796,-0.485,10.000,16.575,5.400,0.000,0.220,18.206,-1.631,-0.998
301,4489X,ALCONCHEL,BADAJOZ,170.000,38.485,-7.282,10.000,16.967,14.600,0.500,0.143,17.531,-0.564,-0.972
302,5702X,CARMONA,SEVILLA,50.000,37.566,-5.741,10.000,19.040,33.200,0.600,0.065,19.207,-0.167,-0.957
303,1049N,ELGETA,GIPUZKOA,470.000,43.138,-2.496,10.000,14.226,0.800,0.000,0.200,15.029,-0.803,-0.957
304,9121X,HARO,LA RIOJA,465.000,42.575,-2.855,10.000,15.002,2.100,0.100,0.172,15.277,-0.275,-0.948
305,2568D,"SANTERVÁS DE LA VEGA, VILLAPÚN",PALENCIA,985.000,42.524,-4.851,10.000,11.559,0.300,0.000,0.200,12.315,-0.756,-0.946
306,C459Z,PUERTO DE LA CRUZ,SANTA CRUZ DE TENERIFE,25.000,28.418,-16.548,10.000,20.733,61.300,0.100,-0.014,21.155,-0.421,-0.946
307,B605X,"MURO, S'ALBUFERA",BALEARES,2.000,39.797,3.105,10.000,19.233,32.900,0.500,0.153,21.259,-2.026,-0.940
308,C316I,ARURE,STA. CRUZ DE TENERIFE,916.000,28.128,-17.315,8.000,16.435,21.750,5.875,0.131,17.187,-0.752,-0.936
309,0367,GIRONA AEROPUERTO,GIRONA,143.000,41.911,2.763,10.000,17.499,15.100,0.000,0.195,19.173,-1.674,-0.933
310,3100B,ARANJUEZ,MADRID,540.000,40.067,-3.546,10.000,16.917,17.800,0.100,0.081,16.295,0.622,-0.926
311,1223P,"LENA, RONZÓN",ASTURIAS,370.000,43.133,-5.823,10.000,14.357,0.300,0.000,0.161,14.239,0.119,-0.924
312,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127.000,43.567,-6.044,10.000,15.499,0.000,0.000,0.142,14.935,0.564,-0.923
313,8193E,JALANCE,VALENCIA,372.000,39.208,-1.094,10.000,17.466,15.300,0.000,0.165,18.477,-1.011,-0.918
314,B496X,SON SERVERA,BALEARES,25.000,39.630,3.384,10.000,19.609,41.900,1.100,0.114,21.368,-1.759,-0.912
315,1154H,"TORRELAVEGA, SIERRAPANDO",CANTABRIA,110.000,43.359,-4.027,10.000,15.964,2.200,0.000,0.158,15.887,0.077,-0.910
316,1505,LUGO AEROPUERTO,LUGO,442.000,43.111,-7.458,10.000,12.904,0.000,0.000,0.190,13.336,-0.433,-0.898
317,1495,VIGO AEROPUERTO,PONTEVEDRA,255.000,42.239,-8.624,10.000,14.872,2.300,0.000,0.135,14.274,0.598,-0.896
318,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,459.000,42.777,-1.650,10.000,14.587,1.500,0.000,0.213,15.620,-1.033,-0.892
319,1701X,RIBADAVIA,OURENSE,112.000,42.300,-8.129,10.000,14.868,1.800,0.000,0.172,15.038,-0.170,-0.891
320,2789H,POZUELO DE TABARA,ZAMORA,711.000,41.786,-5.909,9.000,13.528,0.778,0.000,0.171,13.585,-0.057,-0.884
321,1272B,"TINEO, SOUTU",ASTURIAS,280.000,43.290,-6.387,10.000,15.010,0.800,0.000,0.136,14.321,0.689,-0.884
322,1406X,MAZARICOS,A CORUÑA,340.000,42.935,-8.994,10.000,13.746,0.200,0.000,0.151,13.324,0.422,-0.883
323,0294B,LA BISBAL (D'EMPORDA 3),GIRONA,51.000,41.968,3.042,9.000,18.571,29.222,0.000,0.126,19.639,-1.069,-0.879
324,1327A,"VILLAYÓN, ONETA",ASTURIAS,410.000,43.466,-6.673,10.000,14.235,0.300,0.000,0.138,13.539,0.696,-0.873
325,1477V,VILAGARCÍA DE AROUSA,PONTEVEDRA,32.000,42.585,-8.775,10.000,15.998,1.600,0.000,0.119,14.966,1.032,-0.865
326,1283U,CABO BUSTO,ASTURIAS,60.000,43.569,-6.470,10.000,16.131,0.900,0.000,0.120,15.068,1.063,-0.864
327,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5.000,39.561,2.737,10.000,19.671,41.500,1.100,0.111,21.260,-1.589,-0.863
328,1342X,RIBADEO,LUGO,43.000,43.541,-7.083,10.000,15.615,1.000,0.000,0.138,14.933,0.681,-0.858
329,9245X,CÁSEDA,NAVARRA,440.000,42.521,-1.366,10.000,15.782,4.900,0.000,0.166,15.970,-0.187,-0.851
330,1109,SANTANDER AEROPUERTO,CANTABRIA,3.000,43.424,-3.826,7.000,16.995,7.143,0.000,0.122,16.384,0.611,-0.841
331,2482B,MIGUELAÑEZ,SEGOVIA,870.000,41.126,-4.376,10.000,14.387,5.000,0.000,0.134,13.881,0.506,-0.837
332,1302F,DEGAÑA,ASTURIAS,1310.000,42.955,-6.473,10.000,10.016,0.300,0.000,0.174,10.030,-0.014,-0.836
333,3085Y,PASTRANA,GUADALAJARA,920.000,40.408,-2.953,8.000,16.197,7.625,0.000,0.078,14.647,1.550,-0.825
334,8155Y,MOTILLA DEL PALANCAR,CUENCA,830.000,39.555,-1.915,10.000,16.011,5.300,0.000,0.156,15.964,0.047,-0.816
335,1466A,SILLEDA,PONTEVEDRA,435.000,42.701,-8.258,10.000,13.287,1.000,0.000,0.175,13.333,-0.046,-0.808
336,2030,SORIA,SORIA,1081.000,41.775,-2.483,10.000,13.000,0.100,0.000,0.188,13.250,-0.250,-0.801
337,9590D,CAP DE REC,LLEIDA,1940.000,42.430,1.667,6.000,9.327,0.000,0.000,0.238,10.635,-1.308,-0.793
338,9894Y,SARIÑENA,HUESCA,300.000,41.799,-0.161,10.000,17.383,14.200,0.000,0.136,17.483,-0.100,-0.791
339,1387E,A CORUÑA AEROPUERTO,A CORUÑA,98.000,43.307,-8.372,10.000,14.768,0.500,0.000,0.158,14.368,0.400,-0.790
340,4051Y,ALCÁZAR DEL REY,CUENCA,875.000,40.061,-2.807,10.000,16.004,9.000,0.000,0.108,15.117,0.887,-0.786
341,5361X,MONTORO,CORDOBA,155.000,38.013,-4.330,10.000,18.608,28.800,0.100,0.102,18.986,-0.377,-0.784
342,9178X,CAMPEZO/KANPEZU,ARABA/ALAVA,570.000,42.671,-2.346,10.000,13.708,1.800,0.000,0.230,14.948,-1.241,-0.780
343,1658,FOLGOSO DO COUREL,LUGO,612.000,42.589,-7.192,10.000,12.483,0.300,0.100,0.204,13.029,-0.546,-0.768
344,9122I,LABASTIDA,ARABA/ALAVA,612.000,42.604,-2.777,10.000,14.236,2.400,0.100,0.191,14.650,-0.413,-0.763
345,0114X,PRATS DE LLUÇANÈS,BARCELONA,700.000,42.007,2.027,10.000,15.262,2.100,0.000,0.227,16.421,-1.159,-0.758
346,9390,DAROCA,ZARAGOZA,774.000,41.114,-1.410,10.000,14.954,4.200,0.100,0.187,15.400,-0.446,-0.755
347,9377Y,EL PEDREGAL,GUADALAJARA,1185.000,40.779,-1.568,10.000,12.855,0.600,0.000,0.221,13.771,-0.916,-0.755
348,C648C,AGÜIMES,LAS PALMAS,306.000,27.902,-15.454,10.000,20.092,32.800,10.100,0.101,20.667,-0.575,-0.753
349,4468X,PUEBLA DE OBANDO,BADAJOZ,392.000,39.177,-6.601,10.000,16.225,16.200,0.400,0.135,16.377,-0.152,-0.748
350,2503B,"OLMEDO, DEPÓSITO DE AGUA",VALLADOLID,786.000,41.280,-4.692,10.000,14.134,3.100,0.000,0.166,14.031,0.104,-0.748
351,3245Y,TEMBLEQUE,TOLEDO,635.000,39.696,-3.506,10.000,16.223,13.200,0.000,0.134,16.134,0.089,-0.747
352,8270X,BICORP,VALENCIA,305.000,39.134,-0.790,10.000,18.552,25.600,0.000,0.115,18.928,-0.376,-0.744
353,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55.000,28.090,-15.416,8.000,20.527,59.875,0.125,0.039,21.652,-1.124,-0.742
354,4541X,EL GRANADO,HUELVA,60.000,37.554,-7.520,10.000,17.885,15.800,0.100,0.159,18.514,-0.629,-0.741
355,5612B,LA RODA DE ANDALUCÍA,SEVILLA,410.000,37.194,-4.770,10.000,17.736,23.200,0.300,0.130,18.238,-0.502,-0.732
356,B893,"MENORCA, AEROPUERTO",BALEARES,91.000,39.855,4.216,10.000,20.204,51.400,1.300,0.064,21.245,-1.042,-0.725
357,0149X,MANRESA,BARCELONA,291.000,41.720,1.840,10.000,17.640,12.600,0.000,0.173,18.311,-0.671,-0.721
358,2456B,AREVALO,AVILA,820.000,41.071,-4.730,10.000,13.644,2.400,0.000,0.192,14.002,-0.358,-0.715
359,2755X,BENAVENTE,ZAMORA,715.000,42.011,-5.667,10.000,14.291,1.000,0.000,0.144,13.513,0.778,-0.714
360,2593D,VILLALÓN DE CAMPOS,VALLADOLID,782.000,42.094,-5.041,10.000,13.042,0.800,0.000,0.198,13.400,-0.358,-0.710
361,1400,FISTERRA,A CORUÑA,230.000,42.925,-9.291,10.000,15.058,1.500,0.200,0.117,13.699,1.359,-0.701
362,9855E,"CAPELLA, LAGUARRES",HUESCA,600.000,42.201,0.466,10.000,15.410,4.000,0.000,0.206,16.155,-0.746,-0.700
363,2400E,AUTILLA DEL PINO,PALENCIA,874.000,41.996,-4.603,10.000,12.188,1.300,0.000,0.229,13.225,-1.037,-0.688
364,9198X,CANFRANC,HUESCA,1197.000,42.749,-0.516,10.000,12.073,0.000,0.000,0.221,12.851,-0.778,-0.688
365,0284X,CASTELL D'ARO,GIRONA,14.000,41.808,3.031,10.000,18.440,25.800,0.000,0.169,19.898,-1.458,-0.687
366,2565,CORESES,ZAMORA,702.000,41.555,-5.631,5.000,14.857,2.800,0.000,0.131,13.873,0.984,-0.686
367,1740,"SANTILLANA DEL MAR, ALTAMIRA",CANTABRIA,150.000,43.377,-4.124,10.000,15.633,1.200,0.000,0.183,15.665,-0.033,-0.685
368,2555B,FUENTESAUCO,ZAMORA,811.000,41.237,-5.481,10.000,13.715,2.100,0.000,0.177,13.658,0.057,-0.669
369,4492F,BARCARROTA,BADAJOZ,377.000,38.473,-6.923,10.000,15.463,8.400,0.200,0.220,16.772,-1.309,-0.665
370,9808X,"AÍNSA-SOBRARBE, LA SERRETA",HUESCA,610.000,42.422,0.138,10.000,15.941,6.000,0.000,0.164,15.851,0.091,-0.661
371,B373X,"CAMPOS, SALINES LLEVANT",BALEARES,3.000,39.351,3.012,10.000,19.450,39.800,1.800,0.154,21.504,-2.054,-0.653
372,1719,A CAÑIZA,PONTEVEDRA,560.000,42.218,-8.281,10.000,13.423,1.400,0.000,0.168,13.089,0.334,-0.652
373,1060X,AMURRIO,ARABA/ALAVA,240.000,43.050,-3.006,10.000,15.137,3.200,0.000,0.214,15.896,-0.759,-0.638
374,1207U,"GIJÓN, CAMPUS",ASTURIAS,26.000,43.523,-5.621,10.000,15.685,2.200,0.000,0.177,15.558,0.127,-0.620
