indicativo,nombre,provincia,altitud_m,anios,noches_trop_peor_anio,peor_anio,noches_trop_mejor_anio,noches_trop_ultimo_anio,noches_trop_anio_medio,racha_max_historica,racha_max_en_un_anio,noches_ecua_peor_anio,tmin_p95,peor_noche,peor_noche_fecha,noche_mas_fria,noches_fuera_jja_anio
B691Y,SA POBLA,BALEARES,32.0,9,52,2022,18,36,37.7,22,17,3,22.9,27.7,2019-07-07,-1.5,5.6
C117Z,TIJARAFE,STA. CRUZ DE TENERIFE,733.0,9,52,2023,11,18,27.6,16,16,16,25.0,34.7,2023-08-12,5.5,11.9
5624X,AGUILAR DE LA FRONTERA,CORDOBA,309.0,9,52,2025,19,52,34.4,15,15,3,22.7,27.1,2021-08-15,-3.5,2.6
3469A,CÁCERES,CACERES,394.0,9,53,2022,20,43,35.7,19,19,4,23.1,27.2,2022-07-13,-4.6,2.3
3436D,GARGANTA LA OLLA,CACERES,690.0,9,53,2022,29,49,38.1,25,25,4,22.9,27.7,2021-08-14,-3.7,2.4
9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,258.0,9,53,2022,28,52,37.4,23,20,2,22.8,27.4,2024-07-30,-4.4,2.4
3254Y,MORA,TOLEDO,717.0,8,53,2022,22,49,39.6,21,21,4,22.8,26.5,2021-08-14,-11.0,1.0
4147X,VALDEPEÑAS,CIUDAD REAL,700.0,9,53,2025,27,53,38.9,22,22,3,22.6,26.1,2023-08-10,-7.1,1.6
4584X,EL CERRO DE ANDÉVALO,HUELVA,270.0,9,53,2025,21,53,35.4,12,12,5,22.3,28.4,2021-08-15,0.2,5.7
0370E,GIRONA,GIRONA,76.0,9,54,2022,20,46,35.9,17,17,1,21.9,25.2,2023-08-23,-4.9,1.4
3094B,TARANCÓN,CUENCA,819.0,8,54,2025,22,54,37.0,22,22,3,23.0,26.0,2021-08-13,-8.5,1.1
4386B,LLERENA,BADAJOZ,655.0,9,54,2025,19,54,37.8,19,19,5,23.0,27.9,2018-08-03,-4.4,4.4
B605X,"MURO, S'ALBUFERA",BALEARES,2.0,9,54,2022,21,41,37.7,15,15,1,23.1,26.3,2019-07-07,-1.3,6.1
4121,CIUDAD REAL,CIUDAD REAL,626.0,9,54,2023,26,53,44.7,22,22,4,22.7,26.8,2023-08-10,-6.3,1.3
3423I,MADRIGAL DE LA VERA,CACERES,464.0,9,54,2022,19,46,34.4,18,18,6,22.9,26.5,2018-08-06,-4.3,1.7
0421X,ESPOLLA,GIRONA,100.0,9,54,2022,22,46,34.9,13,12,4,22.1,26.3,2018-08-20,-3.2,1.7
9924X,FRAGA,HUESCA,170.0,9,55,2022,32,52,41.1,20,20,0,22.7,24.5,2018-08-04,-5.7,2.9
3448X,SERRADILLA,CACERES,406.0,9,55,2025,22,55,41.3,24,24,6,23.5,28.9,2018-08-04,-3.6,4.0
5891X,LAS CABEZAS DE SAN JUAN,SEVILLA,105.0,9,55,2025,19,55,39.4,17,17,5,22.2,27.2,2025-08-17,-1.9,4.1
3455X,JARAICEJO,CACERES,559.0,9,55,2025,26,55,41.7,24,24,6,23.5,28.1,2023-08-22,-2.7,5.0
5788X,"TOMARES, ZAUDÍN",SEVILLA,84.0,7,55,2025,26,55,42.0,23,23,4,22.5,27.9,2022-07-25,-0.1,5.6
5473X,AZUAGA,BADAJOZ,581.0,9,56,2025,16,56,32.8,23,23,2,22.7,27.2,2025-08-17,-3.7,3.1
C648N,"TELDE, CENTRO FORESTAL DORAMAS",LAS PALMAS,344.0,9,56,2023,13,37,34.7,16,16,13,24.0,31.2,2020-08-27,8.8,13.9
B870C,"CIUTADELLA, CALA GALDANA",BALEARES,43.0,9,56,2022,13,27,32.3,13,13,2,22.7,26.2,2022-08-13,-1.5,7.3
6106X,ANTEQUERA,MALAGA,408.0,8,56,2025,24,56,39.4,15,15,4,23.4,26.7,2021-07-23,-4.1,5.5
5246,SANTA ELENA,JAEN,770.0,6,56,2025,20,56,38.7,20,20,4,23.4,28.8,2017-07-13,-5.6,3.2
4347X,ZORITA,CACERES,413.0,9,57,2025,20,57,43.9,24,24,9,23.3,28.6,2023-08-23,-2.5,7.6
4358X,DON BENITO,BADAJOZ,274.0,9,57,2022,22,52,35.9,22,22,3,23.3,26.5,2023-08-09,-4.7,3.7
5582A,LOJA,GRANADA,593.0,5,57,2017,21,33,44.4,21,21,5,23.4,27.5,2022-06-17,-3.4,3.4
9975X,RASQUERA,TARRAGONA,112.0,8,57,2025,30,57,42.9,19,19,1,23.4,25.4,2024-08-23,-5.7,4.6
3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,9,57,2022,31,47,41.2,35,35,6,24.0,27.4,2022-07-14,-13.0,1.1
9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249.0,9,57,2022,30,51,40.0,23,20,1,22.9,28.1,2024-07-30,-4.9,2.4
5210X,VILLANUEVA DEL ARZOBISPO,JAEN,680.0,8,58,2025,25,58,42.1,19,19,2,22.3,26.8,2021-08-15,-8.0,1.9
3195,"MADRID, RETIRO",MADRID,667.0,8,58,2022,31,50,47.1,25,25,8,23.7,26.2,2022-07-14,-7.4,2.0
3260B,TOLEDO,TOLEDO,513.0,9,58,2022,28,51,45.4,24,24,3,23.6,26.4,2023-07-19,-13.4,1.2
B373X,"CAMPOS, SALINES LLEVANT",BALEARES,3.0,9,58,2023,32,48,48.0,29,15,3,23.6,26.6,2019-07-07,-3.9,10.1
