indicativo,temporada,nombre,provincia,altitud,dias_tmin,dias_tmax,noches_calefaccion,noches_frias,heladas,heladas_fuertes,calefaccion_nucleo,heladas_nucleo,dias_terraza,dias_terraza_20,dias_lluvia,racha_terraza,racha_sin_terraza,racha_heladas,tmin_p05,tmin_min,tmin_min_fecha,tmax_max,tmax_max_fecha
0034X,2024-25,VALLS,TARRAGONA,233,151,151,130,56,8,1,86,8,32,12,27,9,34,4,0.1,-3.5,2025-01-15,25.8,2025-03-31
0034X,2025-26,VALLS,TARRAGONA,233,151,151,137,58,4,0,86,2,45,17,33,8,48,2,1.1,-0.8,2026-01-01,22.9,2025-11-01
0042Y,2017-18,TARRAGONA ,TARRAGONA,55,151,151,129,46,1,0,80,1,56,28,22,10,19,1,1.6,-0.1,2018-02-13,23.9,2018-01-21
0042Y,2018-19,TARRAGONA ,TARRAGONA,55,151,151,129,27,1,0,86,1,62,32,13,11,11,1,2.7,-1.0,2019-01-11,24.9,2019-03-04
0042Y,2019-20,TARRAGONA ,TARRAGONA,55,152,152,113,14,0,0,71,0,59,31,22,8,21,0,4.1,2.8,2019-11-19,27.1,2019-11-02
0042Y,2020-21,TARRAGONA ,TARRAGONA,55,151,151,109,27,2,0,76,2,56,25,22,16,29,2,2.1,-0.2,2021-01-11,26.1,2021-03-17
0042Y,2021-22,TARRAGONA ,TARRAGONA,55,151,151,117,18,0,0,78,0,49,19,12,9,23,0,3.2,0.3,2022-01-06,24.6,2021-11-01
0042Y,2022-23,TARRAGONA ,TARRAGONA,55,151,151,100,30,1,0,80,1,70,43,12,17,17,1,1.2,-0.6,2023-01-23,28.6,2023-03-31
0042Y,2023-24,TARRAGONA ,TARRAGONA,55,151,151,98,9,0,0,69,0,82,46,18,19,11,0,4.8,2.3,2024-01-13,28.0,2023-11-14
0042Y,2024-25,TARRAGONA ,TARRAGONA,55,151,151,111,20,0,0,79,0,57,30,23,18,13,0,3.5,2.1,2025-01-14,26.2,2025-03-31
0042Y,2025-26,TARRAGONA ,TARRAGONA,55,151,151,115,16,1,0,76,1,58,34,31,18,28,1,4.0,-1.4,2026-01-07,24.0,2025-11-02
0061X,2017-18,PONTONS,BARCELONA,632,149,149,144,116,29,6,86,26,10,4,23,4,74,7,-2.6,-4.3,2018-02-13,21.5,2017-11-17
0061X,2018-19,PONTONS,BARCELONA,632,144,144,141,109,23,1,90,21,24,11,14,5,46,8,-1.5,-3.1,2019-01-04,23.9,2019-03-16
0061X,2019-20,PONTONS,BARCELONA,632,151,151,146,98,16,1,88,11,15,6,27,3,84,4,-1.1,-3.1,2020-01-01,22.8,2020-02-03
0061X,2020-21,PONTONS,BARCELONA,632,151,151,148,97,15,2,88,12,18,4,21,4,111,8,-1.6,-4.4,2021-01-06,24.6,2020-11-02
