indicativo,temporada,nombre,provincia,altitud,dias_tmin,dias_tmax,noches_calefaccion,noches_frias,heladas,heladas_fuertes,calefaccion_nucleo,heladas_nucleo,dias_terraza,dias_terraza_20,dias_lluvia,racha_terraza,racha_sin_terraza,racha_heladas,tmin_p05,tmin_min,tmin_min_fecha,tmax_max,tmax_max_fecha
1541B,2019-20,VILLABLINO,LEON,958,151,151,149,134,67,31,90,50,13,8,69,4,76,14,-5.0,-6.6,2020-01-12,24.1,2020-02-23
1541B,2021-22,VILLABLINO,LEON,958,151,151,151,138,87,49,90,57,27,9,48,8,28,31,-6.8,-8.7,2022-01-28,23.1,2022-02-02
1541B,2022-23,VILLABLINO,LEON,958,143,143,140,110,70,33,80,51,18,8,54,6,57,23,-6.9,-8.7,2023-01-23,22.4,2023-03-28
1541B,2023-24,VILLABLINO,LEON,958,152,152,148,129,65,18,90,53,33,17,76,7,58,14,-5.3,-8.5,2024-01-08,26.9,2024-03-22
1541B,2024-25,VILLABLINO,LEON,958,151,151,151,134,58,26,90,45,16,7,54,3,72,15,-6.3,-8.2,2025-01-01,26.6,2025-03-31
1541B,2025-26,VILLABLINO,LEON,958,148,148,148,132,58,14,87,35,19,9,80,6,35,12,-4.3,-7.0,2026-01-01,23.9,2026-03-17
1542,2018-19,PUERTO DE LEITARIEGOS,ASTURIAS,1530,151,151,151,148,73,18,90,43,0,0,29,0,151,13,-4.6,-7.4,2019-02-03,16.2,2019-03-27
1542,2019-20,PUERTO DE LEITARIEGOS,ASTURIAS,1530,129,129,129,122,60,17,91,37,0,0,49,0,128,11,-3.8,-4.9,2020-02-18,16.3,2020-02-22
1542,2020-21,PUERTO DE LEITARIEGOS,ASTURIAS,1530,151,151,151,142,76,31,90,54,1,0,26,1,150,29,-7.3,-12.6,2021-01-07,18.5,2021-03-31
1542,2021-22,PUERTO DE LEITARIEGOS,ASTURIAS,1530,143,143,143,141,73,20,83,41,1,0,32,1,75,14,-4.6,-6.3,2022-03-05,18.2,2022-02-02
1542,2022-23,PUERTO DE LEITARIEGOS,ASTURIAS,1530,151,151,151,139,66,32,90,50,0,0,38,0,151,12,-6.7,-9.9,2023-03-02,17.0,2023-03-28
1542,2023-24,PUERTO DE LEITARIEGOS,ASTURIAS,1530,148,148,148,136,61,27,91,38,2,1,62,2,127,16,-5.1,-8.1,2024-01-08,20.6,2024-03-22
1542,2024-25,PUERTO DE LEITARIEGOS,ASTURIAS,1530,151,151,151,137,76,27,90,51,1,0,47,1,150,10,-4.7,-7.4,2025-02-08,18.0,2025-03-31
1549,2017-18,PONFERRADA,LEON,532,151,151,143,124,52,12,87,38,8,2,58,2,94,11,-3.7,-5.1,2017-12-06,20.1,2018-02-26
1549,2018-19,PONFERRADA,LEON,532,151,151,149,115,39,15,89,36,35,23,38,13,90,21,-4.2,-5.9,2019-01-07,24.2,2019-03-24
1549,2019-20,PONFERRADA,LEON,532,152,152,146,89,28,8,88,27,26,12,61,5,92,8,-2.9,-4.9,2020-01-02,25.2,2020-03-11
1549,2020-21,PONFERRADA,LEON,532,151,151,139,95,31,14,85,28,29,14,50,5,68,19,-5.1,-8.4,2021-01-09,25.3,2021-03-31
1549,2021-22,PONFERRADA,LEON,532,151,151,148,108,39,14,90,33,14,2,26,3,50,21,-3.5,-4.6,2022-01-15,20.9,2022-03-15
1549,2022-23,PONFERRADA,LEON,532,151,151,140,85,32,16,89,27,22,10,58,5,47,11,-3.8,-4.8,2023-02-28,24.6,2023-03-29
1549,2023-24,PONFERRADA,LEON,532,152,152,141,95,20,2,88,18,27,12,61,10,53,6,-1.9,-3.6,2023-12-19,28.8,2024-03-22
1549,2024-25,PONFERRADA,LEON,532,151,151,144,87,33,8,90,31,23,11,43,7,82,7,-3.0,-4.8,2025-01-15,26.2,2025-03-31
1549,2025-26,PONFERRADA,LEON,532,151,151,146,104,15,2,88,12,28,17,70,13,101,3,-1.5,-3.8,2026-01-05,24.9,2026-03-17
1561I,2017-18,VEGA DE ESPINAREDA  ,LEON,770,151,151,150,136,79,21,89,57,9,3,49,6,97,17,-4.9,-5.9,2017-12-06,20.9,2017-11-15
1561I,2018-19,VEGA DE ESPINAREDA  ,LEON,770,151,151,151,136,59,17,90,45,31,13,48,12,102,24,-4.3,-6.4,2019-01-06,22.8,2019-02-25
1561I,2019-20,VEGA DE ESPINAREDA  ,LEON,770,152,152,151,118,44,12,91,34,19,9,63,5,94,14,-3.6,-5.2,2020-01-05,24.0,2020-03-11
1561I,2020-21,VEGA DE ESPINAREDA  ,LEON,770,151,151,150,117,47,20,90,36,20,10,60,5,97,19,-5.7,-8.8,2021-01-08,23.7,2021-03-31
1561I,2021-22,VEGA DE ESPINAREDA  ,LEON,770,151,151,151,128,62,18,90,41,21,3,42,3,30,21,-3.6,-5.3,2022-01-15,21.8,2022-02-02
1561I,2022-23,VEGA DE ESPINAREDA  ,LEON,770,151,151,149,107,54,29,89,45,19,6,66,5,81,23,-5.3,-7.1,2023-03-02,23.0,2023-03-28
1561I,2023-24,VEGA DE ESPINAREDA  ,LEON,770,152,152,148,116,42,13,91,30,28,13,72,9,61,13,-4.2,-6.2,2024-01-08,28.3,2024-03-22
1561I,2024-25,VEGA DE ESPINAREDA  ,LEON,770,151,151,147,116,49,17,90,38,18,4,50,7,89,8,-4.4,-7.9,2024-12-31,25.3,2025-03-31
1561I,2025-26,VEGA DE ESPINAREDA  ,LEON,770,151,151,150,122,42,4,90,29,23,13,73,12,109,5,-2.8,-5.3,2026-01-05,23.1,2026-03-17
1583X,2018-19,O BARCO DE VALDEORRAS,OURENSE,315,151,151,146,98,23,11,88,22,30,20,37,13,90,17,-3.9,-5.2,2019-01-06,24.5,2019-03-16
1583X,2019-20,O BARCO DE VALDEORRAS,OURENSE,315,132,132,114,56,14,0,71,14,21,9,44,5,32,3,-1.5,-2.2,2020-01-02,25.3,2020-03-11
1583X,2020-21,O BARCO DE VALDEORRAS,OURENSE,315,151,151,135,73,21,9,82,19,26,13,49,6,88,16,-3.4,-6.5,2021-01-09,27.6,2021-03-31
1583X,2021-22,O BARCO DE VALDEORRAS,OURENSE,315,151,151,143,92,34,6,86,32,16,3,30,6,57,21,-2.7,-4.3,2022-01-29,21.7,2022-03-27
1583X,2022-23,O BARCO DE VALDEORRAS,OURENSE,315,151,151,122,69,26,3,79,22,22,14,38,4,48,11,-2.7,-3.4,2023-01-29,24.8,2023-03-28
1583X,2023-24,O BARCO DE VALDEORRAS,OURENSE,315,151,152,129,66,5,0,84,5,24,14,49,13,63,2,0.3,-1.2,2023-12-19,28.3,2024-03-22
1583X,2024-25,O BARCO DE VALDEORRAS,OURENSE,315,150,150,130,63,15,0,82,15,20,9,41,7,78,4,-1.2,-2.6,2024-12-15,28.0,2025-03-31
1583X,2025-26,O BARCO DE VALDEORRAS,OURENSE,315,151,151,131,60,6,0,80,5,30,20,65,16,102,3,0.1,-1.7,2025-12-27,24.7,2026-03-17
1631E,2017-18,A POBRA DE TRIVES,OURENSE,840,151,151,150,126,55,14,89,43,1,0,74,1,129,12,-3.7,-5.2,2018-02-08,18.0,2017-11-22
1631E,2018-19,A POBRA DE TRIVES,OURENSE,840,151,151,151,129,33,3,90,29,15,5,52,9,115,17,-2.5,-4.3,2019-01-12,21.5,2019-03-16
1631E,2019-20,A POBRA DE TRIVES,OURENSE,840,152,152,150,105,29,2,90,24,10,3,70,3,93,4,-2.0,-3.2,2019-12-03,22.5,2020-03-11
1631E,2020-21,A POBRA DE TRIVES,OURENSE,840,151,151,149,109,33,14,90,27,6,2,60,2,134,16,-4.2,-7.8,2021-01-08,23.8,2021-03-31
1631E,2021-22,A POBRA DE TRIVES,OURENSE,840,151,151,151,122,38,6,90,29,1,0,36,1,89,20,-2.5,-3.9,2022-01-14,19.1,2022-01-01
1631E,2022-23,A POBRA DE TRIVES,OURENSE,840,151,151,147,100,44,13,88,36,7,2,63,3,131,17,-4.1,-6.3,2023-02-28,22.8,2023-03-28
1631E,2023-24,A POBRA DE TRIVES,OURENSE,840,152,152,145,104,24,4,89,21,9,3,71,4,119,6,-1.8,-4.6,2024-01-08,24.4,2024-03-22
1631E,2024-25,A POBRA DE TRIVES,OURENSE,840,151,151,147,100,32,8,90,28,7,2,50,3,142,7,-3.0,-4.5,2024-12-15,23.3,2025-03-31
1631E,2025-26,A POBRA DE TRIVES,OURENSE,840,151,151,147,113,27,4,89,21,10,3,78,2,114,5,-1.8,-4.4,2026-01-05,20.3,2026-03-17
1639X,2017-18,CHANDREXA DE QUEIXA,OURENSE,990,150,150,150,130,71,22,90,50,1,0,77,1,112,17,-4.6,-6.7,2018-02-08,18.3,2017-11-20
1639X,2018-19,CHANDREXA DE QUEIXA,OURENSE,990,151,151,151,130,43,11,90,35,15,3,51,4,107,18,-3.3,-4.8,2019-01-12,20.6,2019-02-25
1639X,2019-20,CHANDREXA DE QUEIXA,OURENSE,990,150,150,148,119,42,7,88,31,9,5,65,3,48,5,-2.8,-4.2,2019-12-03,22.2,2020-03-11
1639X,2020-21,CHANDREXA DE QUEIXA,OURENSE,990,151,151,150,111,47,16,90,35,8,2,67,3,122,21,-5.3,-9.2,2021-01-08,22.8,2021-03-31
1639X,2021-22,CHANDREXA DE QUEIXA,OURENSE,990,149,149,147,125,59,10,88,38,4,1,46,2,80,21,-3.3,-4.7,2022-01-22,20.5,2022-02-02
1639X,2022-23,CHANDREXA DE QUEIXA,OURENSE,990,148,148,146,96,51,22,87,42,7,3,58,3,60,21,-4.9,-7.8,2023-02-28,20.5,2023-03-27
1639X,2023-24,CHANDREXA DE QUEIXA,OURENSE,990,152,152,143,108,33,5,87,25,16,8,70,4,66,7,-1.8,-4.6,2024-01-08,24.2,2024-03-22
1639X,2024-25,CHANDREXA DE QUEIXA,OURENSE,990,151,151,145,103,40,12,89,32,5,3,53,2,142,8,-3.5,-6.1,2024-12-31,24.7,2025-03-31
1639X,2025-26,CHANDREXA DE QUEIXA,OURENSE,990,151,151,148,117,34,4,89,23,7,3,72,2,113,5,-1.9,-5.0,2026-01-05,20.4,2026-03-19
1658,2017-18,FOLGOSO DO COUREL,LUGO,612,141,141,135,112,35,4,77,27,4,0,75,2,35,11,-2.6,-3.6,2017-11-30,18.5,2017-11-20
1658,2018-19,FOLGOSO DO COUREL,LUGO,612,139,139,137,99,24,5,84,23,25,13,57,9,32,11,-2.6,-4.6,2019-01-03,24.4,2019-03-27
1658,2019-20,FOLGOSO DO COUREL,LUGO,612,150,150,142,90,22,0,85,17,16,8,57,4,59,4,-1.6,-2.7,2019-12-03,23.4,2020-02-23
1658,2020-21,FOLGOSO DO COUREL,LUGO,612,129,129,119,84,34,10,64,25,21,8,51,5,28,14,-3.8,-8.4,2021-01-08,25.7,2021-03-31
1658,2021-22,FOLGOSO DO COUREL,LUGO,612,135,135,130,99,30,1,81,24,13,7,38,3,31,11,-2.1,-3.2,2022-01-22,22.3,2022-02-02
1658,2022-23,FOLGOSO DO COUREL,LUGO,612,142,142,131,77,32,4,84,28,16,7,64,6,83,7,-2.7,-4.9,2023-03-02,22.2,2023-03-29
1658,2023-24,FOLGOSO DO COUREL,LUGO,612,152,152,138,83,17,1,86,17,29,11,66,8,65,6,-1.0,-3.4,2023-12-19,27.7,2024-03-22
1658,2024-25,FOLGOSO DO COUREL,LUGO,612,147,147,135,77,24,0,85,21,15,7,56,8,59,4,-2.0,-3.0,2025-02-08,26.5,2025-03-31
1658,2025-26,FOLGOSO DO COUREL,LUGO,612,150,150,140,96,14,1,84,11,23,8,86,10,60,4,-0.7,-3.5,2026-01-05,23.3,2026-03-17
1679A,2017-18,MONFORTE DE LEMOS,LUGO,291,151,151,143,116,46,13,85,30,12,4,59,2,66,12,-3.8,-5.9,2018-02-24,21.2,2018-03-27
1679A,2018-19,MONFORTE DE LEMOS,LUGO,291,151,151,146,121,46,8,88,34,45,29,42,13,60,18,-3.0,-7.0,2019-01-07,26.0,2019-02-26
1679A,2019-20,MONFORTE DE LEMOS,LUGO,291,142,142,129,82,33,1,82,27,30,17,40,5,31,7,-1.8,-3.5,2020-01-21,24.8,2020-03-11
1679A,2020-21,MONFORTE DE LEMOS,LUGO,291,145,145,133,87,24,8,78,18,34,21,55,5,34,4,-3.0,-7.5,2021-01-09,28.7,2021-03-31
1679A,2021-22,MONFORTE DE LEMOS,LUGO,291,151,151,150,108,47,13,89,39,35,11,43,7,36,22,-4.7,-6.4,2022-01-23,24.2,2022-03-27
1679A,2022-23,MONFORTE DE LEMOS,LUGO,291,150,150,131,88,36,17,78,29,33,20,40,6,40,11,-4.6,-6.6,2023-02-11,25.8,2023-03-29
1679A,2023-24,MONFORTE DE LEMOS,LUGO,291,152,152,136,90,13,2,86,12,38,20,59,13,57,5,-0.8,-4.0,2024-01-20,28.5,2024-03-22
1679A,2024-25,MONFORTE DE LEMOS,LUGO,291,139,139,129,72,24,3,73,18,37,20,45,7,23,6,-2.2,-4.7,2025-01-18,29.2,2025-03-31
1679A,2025-26,MONFORTE DE LEMOS,LUGO,291,150,150,138,85,24,3,83,16,33,22,70,11,76,9,-1.7,-5.0,2025-12-27,26.3,2026-03-19
1690A,2017-18,OURENSE,OURENSE,146,151,151,135,103,23,2,79,18,19,5,58,3,35,8,-1.6,-4.0,2018-02-24,22.5,2018-03-27
1690A,2018-19,OURENSE,OURENSE,146,151,151,140,83,20,5,85,20,45,37,42,13,51,16,-1.9,-5.3,2019-01-06,26.7,2019-03-26
1690A,2019-20,OURENSE,OURENSE,146,152,152,126,67,12,0,78,12,43,21,64,9,65,3,-0.5,-1.2,2019-12-29,25.4,2020-02-23
1690A,2020-21,OURENSE,OURENSE,146,151,151,131,68,17,5,79,15,48,26,52,11,35,4,-1.4,-5.6,2021-01-09,29.1,2021-03-31
1690A,2021-22,OURENSE,OURENSE,146,151,151,138,80,25,4,81,24,43,24,36,8,31,13,-2.8,-4.1,2022-01-23,24.8,2022-02-22
1690A,2022-23,OURENSE,OURENSE,146,133,133,105,60,27,2,75,23,40,18,44,8,33,11,-2.5,-3.4,2023-01-31,26.3,2023-03-29
1690A,2023-24,OURENSE,OURENSE,146,152,152,118,55,3,0,74,3,52,31,52,13,34,1,1.5,-1.9,2024-01-20,30.4,2024-03-22
1690A,2024-25,OURENSE,OURENSE,146,150,151,120,58,15,0,76,12,46,28,48,12,21,5,-0.6,-1.9,2025-01-16,30.3,2025-03-31
1690A,2025-26,OURENSE,OURENSE,146,151,151,129,58,7,0,81,7,43,27,61,17,63,5,0.3,-3.0,2025-12-27,26.3,2026-03-19
1696O,2017-18,BEARIZ,OURENSE,610,151,151,147,123,73,25,87,49,6,0,76,5,98,12,-5.2,-7.7,2018-02-24,19.9,2017-11-16
1696O,2018-19,BEARIZ,OURENSE,610,151,151,149,124,69,26,88,48,29,18,55,12,44,18,-5.4,-7.6,2019-01-06,23.9,2019-03-24
1696O,2019-20,BEARIZ,OURENSE,610,149,149,144,98,49,12,85,37,19,10,82,4,48,8,-3.6,-5.9,2020-01-01,23.5,2020-02-23
1696O,2020-21,BEARIZ,OURENSE,610,146,146,140,99,53,16,81,31,22,8,73,5,84,9,-4.0,-7.1,2021-01-12,26.2,2021-03-31
1696O,2021-22,BEARIZ,OURENSE,610,151,151,150,122,66,27,89,46,23,6,55,4,31,22,-5.5,-7.3,2022-01-29,22.0,2022-03-24
1696O,2022-23,BEARIZ,OURENSE,610,151,151,144,100,57,25,86,46,20,14,71,6,82,16,-5.6,-8.1,2023-03-02,24.3,2023-03-28
1696O,2023-24,BEARIZ,OURENSE,610,152,152,143,112,37,10,87,28,37,24,80,13,37,5,-3.8,-6.7,2023-12-19,29.3,2024-03-22
1696O,2024-25,BEARIZ,OURENSE,610,150,150,147,105,55,18,87,42,23,12,63,6,35,8,-4.5,-6.0,2025-01-15,27.5,2025-03-31
1696O,2025-26,BEARIZ,OURENSE,610,141,141,136,97,46,7,77,29,20,14,82,4,58,9,-2.8,-5.7,2025-12-27,24.2,2026-03-17
1700X,2017-18,O CARBALLIÑO,OURENSE,400,143,143,136,109,44,4,80,34,15,2,61,5,48,11,-2.7,-3.8,2018-02-24,20.8,2018-02-26
1700X,2018-19,O CARBALLIÑO,OURENSE,400,147,147,142,101,24,8,84,21,35,25,45,9,86,16,-3.0,-5.4,2019-01-06,26.0,2019-03-24
1700X,2019-20,O CARBALLIÑO,OURENSE,400,152,152,137,85,22,1,83,21,24,17,70,5,93,7,-1.7,-3.6,2020-01-02,24.1,2020-03-18
1700X,2020-21,O CARBALLIÑO,OURENSE,400,149,149,135,84,28,6,78,24,29,19,66,5,75,9,-2.9,-5.0,2021-01-13,27.2,2021-03-31
1700X,2021-22,O CARBALLIÑO,OURENSE,400,148,148,144,105,38,6,84,28,25,10,45,6,36,15,-2.8,-4.8,2022-01-29,23.6,2022-02-22
1700X,2022-23,O CARBALLIÑO,OURENSE,400,147,147,128,81,33,8,79,28,23,16,64,7,79,11,-3.0,-5.7,2023-03-02,24.7,2023-03-28
1700X,2023-24,O CARBALLIÑO,OURENSE,400,152,152,138,92,20,6,86,19,31,19,71,10,68,5,-1.5,-5.2,2023-12-19,30.3,2024-03-22
1700X,2024-25,O CARBALLIÑO,OURENSE,400,151,151,137,83,33,6,84,29,23,12,51,7,81,7,-2.8,-4.2,2024-12-15,27.4,2025-03-31
1700X,2025-26,O CARBALLIÑO,OURENSE,400,151,151,142,99,19,1,86,15,24,14,76,9,108,9,-2.0,-4.1,2025-12-27,24.5,2026-03-24
1701X,2017-18,RIBADAVIA,OURENSE,112,151,151,137,100,19,2,82,16,16,5,62,3,66,7,-1.2,-4.4,2018-02-24,21.5,2018-02-25
1701X,2018-19,RIBADAVIA,OURENSE,112,151,151,141,82,15,2,85,15,43,33,45,13,44,10,-1.4,-3.5,2019-01-07,27.0,2019-03-24
1701X,2019-20,RIBADAVIA,OURENSE,112,151,151,122,58,4,0,77,3,36,21,58,8,33,1,0.3,-2.2,2020-01-21,25.7,2020-03-18
1701X,2020-21,RIBADAVIA,OURENSE,112,149,149,128,70,15,2,76,13,41,21,48,6,34,8,-1.2,-3.8,2021-01-11,29.3,2021-03-31
1701X,2021-22,RIBADAVIA,OURENSE,112,135,135,127,81,17,1,67,14,31,11,33,8,24,7,-1.5,-3.4,2022-01-23,24.3,2022-03-27
1701X,2022-23,RIBADAVIA,OURENSE,112,151,151,117,58,25,3,76,21,37,19,61,8,47,11,-2.5,-3.5,2023-02-28,26.9,2023-03-28
1701X,2023-24,RIBADAVIA,OURENSE,112,152,152,123,54,4,0,78,4,40,23,64,10,42,2,1.4,-0.9,2024-01-12,31.6,2024-03-22
1701X,2024-25,RIBADAVIA,OURENSE,112,151,151,125,64,11,0,78,8,38,22,46,8,40,5,-0.5,-1.3,2025-03-02,29.6,2025-03-31
1701X,2025-26,RIBADAVIA,OURENSE,112,151,151,129,56,6,0,80,6,37,23,70,17,76,4,0.9,-2.1,2025-12-27,26.3,2026-03-24
1706A,2017-18,ALLARIZ,OURENSE,492,144,144,136,108,46,10,79,33,10,0,58,6,75,9,-3.4,-5.6,2017-12-03,19.8,2018-02-26
1706A,2018-19,ALLARIZ,OURENSE,492,127,127,122,81,27,11,62,23,27,18,35,12,64,20,-4.4,-7.0,2019-01-07,24.2,2019-03-24
1706A,2019-20,ALLARIZ,OURENSE,492,151,151,139,86,31,3,83,26,20,13,59,4,47,5,-2.5,-5.4,2020-01-01,23.3,2020-02-23
1706A,2020-21,ALLARIZ,OURENSE,492,149,149,137,83,32,14,84,22,24,9,58,5,40,10,-3.5,-8.4,2021-01-09,26.6,2021-03-31
1706A,2021-22,ALLARIZ,OURENSE,492,146,146,139,103,39,13,81,31,16,5,39,6,29,15,-3.7,-6.8,2022-01-29,21.8,2022-02-22
1706A,2022-23,ALLARIZ,OURENSE,492,151,151,138,77,41,15,86,34,22,9,61,6,82,11,-4.8,-6.5,2023-02-28,24.1,2023-03-29
1706A,2023-24,ALLARIZ,OURENSE,492,151,151,136,83,22,2,83,18,36,16,64,10,65,5,-1.3,-5.4,2023-12-19,27.9,2024-03-22
1706A,2024-25,ALLARIZ,OURENSE,492,151,151,138,78,23,9,87,19,31,13,53,9,37,3,-3.2,-5.4,2025-01-15,27.4,2025-03-31
1706A,2025-26,ALLARIZ,OURENSE,492,151,151,140,99,28,6,85,19,24,18,58,9,109,8,-2.5,-4.3,2025-12-27,23.9,2026-03-24
1719,2017-18,A CAÑIZA,PONTEVEDRA,560,151,151,145,96,12,0,87,9,7,0,69,5,96,3,-0.6,-1.3,2017-11-30,19.8,2018-02-26
1719,2018-19,A CAÑIZA,PONTEVEDRA,560,151,151,147,62,1,0,88,1,28,17,56,12,71,1,0.9,-0.8,2019-02-03,24.1,2019-03-24
1719,2019-20,A CAÑIZA,PONTEVEDRA,560,152,152,143,68,1,0,86,1,23,11,76,4,57,1,0.8,-0.6,2019-12-04,22.5,2020-02-23
1719,2020-21,A CAÑIZA,PONTEVEDRA,560,149,149,133,66,17,3,80,15,26,10,63,6,54,9,-1.1,-4.5,2021-01-09,26.3,2021-03-31
1719,2021-22,A CAÑIZA,PONTEVEDRA,560,150,150,143,79,1,0,85,0,18,4,49,3,27,1,1.0,-1.0,2022-03-07,21.8,2022-02-22
1719,2022-23,A CAÑIZA,PONTEVEDRA,560,147,147,130,62,15,0,83,12,16,7,59,6,83,4,-0.9,-2.9,2023-03-02,22.7,2023-03-28
1719,2023-24,A CAÑIZA,PONTEVEDRA,560,151,151,135,60,4,0,84,4,24,15,79,7,47,2,0.6,-1.9,2024-01-08,28.9,2024-03-22
1719,2024-25,A CAÑIZA,PONTEVEDRA,560,151,151,127,69,5,0,83,3,20,8,52,4,68,2,0.7,-1.3,2025-02-08,27.2,2025-03-31
1719,2025-26,A CAÑIZA,PONTEVEDRA,560,151,151,140,77,4,0,86,3,20,11,72,8,108,2,0.6,-0.6,2025-12-25,23.7,2026-03-17
1723X,2017-18,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,151,151,133,97,26,0,79,21,22,4,69,5,39,7,-1.9,-3.0,2017-12-05,20.8,2018-02-26
1723X,2018-19,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,151,151,136,75,19,3,83,19,42,28,55,14,67,10,-1.9,-3.8,2019-01-06,27.3,2019-03-24
1723X,2019-20,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,151,151,120,60,9,0,72,9,30,26,62,8,52,3,-0.1,-1.2,2019-12-04,25.1,2020-02-23
1723X,2020-21,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,151,151,125,64,19,5,72,18,47,25,54,11,53,5,-1.7,-4.8,2021-01-08,29.8,2021-03-31
1723X,2021-22,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,150,150,138,86,22,2,80,20,58,27,43,9,19,12,-2.0,-3.1,2022-01-23,23.7,2022-03-24
1723X,2022-23,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,137,137,99,49,16,1,58,12,35,18,65,11,32,6,-1.9,-3.1,2023-03-02,26.0,2023-03-28
1723X,2023-24,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,152,152,118,59,5,0,74,5,45,32,75,15,59,2,0.5,-1.2,2024-01-20,30.5,2024-03-22
1723X,2024-25,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,151,151,123,64,17,0,77,16,54,31,59,12,14,6,-0.9,-2.2,2025-01-18,28.7,2025-03-31
1723X,2025-26,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,150,150,126,63,10,0,79,8,43,23,85,17,48,5,-0.3,-2.5,2025-12-27,26.9,2026-03-17
1730E,2017-18,O ROSAL,PONTEVEDRA,55,123,123,97,49,6,0,48,6,22,5,77,14,41,3,0.1,-1.2,2017-12-06,21.8,2017-11-18
1730E,2018-19,O ROSAL,PONTEVEDRA,55,151,151,113,41,5,0,75,5,35,25,60,14,64,3,0.5,-2.3,2019-01-05,26.0,2019-03-25
1730E,2019-20,O ROSAL,PONTEVEDRA,55,151,151,106,39,1,0,66,1,28,14,75,5,52,1,1.7,-0.7,2020-01-12,24.5,2020-03-18
1730E,2020-21,O ROSAL,PONTEVEDRA,55,151,151,103,41,10,0,59,10,39,21,65,7,75,3,-0.3,-2.1,2021-01-13,29.3,2021-03-31
1730E,2021-22,O ROSAL,PONTEVEDRA,55,151,151,117,42,3,0,69,3,41,21,45,8,25,2,0.9,-1.0,2022-01-24,23.1,2022-03-24
1730E,2022-23,O ROSAL,PONTEVEDRA,55,135,135,84,35,3,0,54,2,35,15,62,9,47,1,1.1,-0.9,2023-01-31,23.9,2023-02-17
1730E,2023-24,O ROSAL,PONTEVEDRA,55,152,152,93,20,2,0,62,2,39,25,84,12,60,2,1.8,-0.8,2023-12-19,29.4,2024-03-22
1730E,2024-25,O ROSAL,PONTEVEDRA,55,151,151,95,35,3,0,65,3,46,20,60,12,16,2,2.3,-1.0,2025-01-16,26.9,2025-03-31
1730E,2025-26,O ROSAL,PONTEVEDRA,55,151,151,108,35,0,0,65,0,32,19,87,11,48,0,2.0,0.7,2025-12-31,27.8,2026-03-31
1735X,2018-19,XINZO DE LIMIA,OURENSE,616,149,149,149,128,72,36,90,52,19,11,42,10,78,25,-7.7,-10.5,2019-01-05,22.3,2019-03-24
1735X,2019-20,XINZO DE LIMIA,OURENSE,616,152,152,150,114,53,30,90,40,15,8,66,3,58,8,-5.0,-8.6,2020-01-12,23.3,2020-03-11
1735X,2020-21,XINZO DE LIMIA,OURENSE,616,148,148,147,108,65,32,88,41,11,3,57,2,64,19,-7.1,-10.9,2021-01-09,24.5,2021-03-31
1735X,2021-22,XINZO DE LIMIA,OURENSE,616,151,151,151,127,83,44,90,55,5,1,33,2,61,35,-8.3,-11.5,2022-01-29,20.3,2022-02-22
1735X,2022-23,XINZO DE LIMIA,OURENSE,616,150,150,147,106,57,40,89,44,9,3,63,3,108,16,-7.4,-9.3,2023-02-28,22.6,2023-03-28
1735X,2023-24,XINZO DE LIMIA,OURENSE,616,152,152,143,112,46,13,88,34,20,7,63,4,66,6,-4.6,-8.0,2023-12-19,27.2,2024-03-22
1735X,2024-25,XINZO DE LIMIA,OURENSE,616,150,150,147,108,51,27,90,41,10,8,36,3,93,8,-6.3,-9.3,2025-01-15,24.3,2025-03-31
1735X,2025-26,XINZO DE LIMIA,OURENSE,616,151,151,148,122,51,13,89,34,14,4,66,4,113,13,-4.8,-7.2,2025-12-27,21.4,2026-02-22
1738U,2017-18,MUIÑOS,OURENSE,730,151,151,149,123,36,1,89,29,3,0,68,3,132,10,-2.3,-3.9,2018-02-08,18.5,2017-11-18
1738U,2018-19,MUIÑOS,OURENSE,730,151,151,149,99,19,0,90,16,18,10,52,9,107,4,-1.0,-2.6,2019-01-13,23.2,2019-03-15
1738U,2019-20,MUIÑOS,OURENSE,730,151,151,149,95,12,0,89,11,13,5,68,4,57,3,-0.6,-2.2,2020-01-12,22.3,2020-02-23
1738U,2020-21,MUIÑOS,OURENSE,730,151,151,145,90,28,11,88,25,17,9,57,3,84,18,-4.3,-6.4,2021-01-08,23.6,2021-03-31
1738U,2021-22,MUIÑOS,OURENSE,730,146,146,144,109,16,0,83,10,13,1,40,3,31,4,-1.0,-2.2,2022-01-24,20.2,2022-02-22
1738U,2022-23,MUIÑOS,OURENSE,730,150,150,144,89,35,10,86,30,12,4,58,4,95,10,-3.5,-5.1,2023-03-02,23.5,2023-03-28
1738U,2023-24,MUIÑOS,OURENSE,730,152,152,141,94,18,1,88,15,35,19,62,12,37,4,-1.1,-3.5,2023-12-18,28.1,2024-03-22
1738U,2024-25,MUIÑOS,OURENSE,730,151,151,143,90,26,2,90,22,18,7,54,4,89,5,-2.0,-3.5,2024-12-15,24.3,2025-03-31
